# 1TCM with k1:1.00; k2:0.25
# Times[minutes] Activity[kBq/ml]
0.000000e+00 0.000000e+00
3.011960e-01 0.000000e+00
6.023920e-01 0.000000e+00
9.035880e-01 1.335560e+01
1.204784e+00 3.143933e+01
1.505980e+00 5.266887e+01
1.807176e+00 6.214887e+01
2.108372e+00 6.872640e+01
2.409568e+00 7.350075e+01
2.710764e+00 7.710649e+01
3.011960e+00 7.989449e+01
3.313156e+00 8.207247e+01
3.614352e+00 8.376580e+01
3.915548e+00 8.506202e+01
4.216744e+00 8.602320e+01
4.517940e+00 8.669907e+01
4.819136e+00 8.712779e+01
5.120332e+00 8.734206e+01
5.421528e+00 8.737034e+01
5.722724e+00 8.723764e+01
6.023920e+00 8.696605e+01
6.325116e+00 8.657515e+01
6.626312e+00 8.608218e+01
6.927508e+00 8.550238e+01
7.228704e+00 8.484908e+01
7.529900e+00 8.413394e+01
7.831096e+00 8.336726e+01
8.132292e+00 8.256027e+01
8.433488e+00 8.172052e+01
8.734684e+00 8.085439e+01
9.035880e+00 7.996945e+01
9.337076e+00 7.907135e+01
9.638272e+00 7.816368e+01
9.939468e+00 7.725262e+01
1.024066e+01 7.634077e+01
1.054186e+01 7.543139e+01
1.084306e+01 7.452780e+01
1.114425e+01 7.363124e+01
1.144545e+01 7.274518e+01
1.174664e+01 7.186961e+01
1.204784e+01 7.100775e+01
1.234904e+01 7.015895e+01
1.265023e+01 6.932581e+01
1.295143e+01 6.850760e+01
1.325262e+01 6.770601e+01
1.355382e+01 6.692063e+01
1.385502e+01 6.615207e+01
1.415621e+01 6.540055e+01
1.445741e+01 6.466546e+01
1.475860e+01 6.394790e+01
1.505980e+01 6.324660e+01
1.536100e+01 6.256235e+01
1.566219e+01 6.189455e+01
1.596339e+01 6.124241e+01
1.626458e+01 6.060673e+01
1.656578e+01 5.998631e+01
1.686698e+01 5.938103e+01
1.716817e+01 5.879088e+01
1.746937e+01 5.821478e+01
1.777056e+01 5.765287e+01
1.807176e+01 5.710482e+01
1.837296e+01 5.656963e+01
1.867415e+01 5.604742e+01
1.897535e+01 5.553787e+01
1.927654e+01 5.504004e+01
1.957774e+01 5.455385e+01
1.987894e+01 5.407919e+01
2.018013e+01 5.361523e+01
2.048133e+01 5.316148e+01
2.078252e+01 5.271825e+01
2.108372e+01 5.228479e+01
2.138492e+01 5.186037e+01
2.168611e+01 5.144529e+01
2.198731e+01 5.103915e+01
2.228850e+01 5.064131e+01
2.258970e+01 5.025130e+01
2.289090e+01 4.986953e+01
2.319209e+01 4.949540e+01
2.349329e+01 4.912836e+01
2.379448e+01 4.876822e+01
2.409568e+01 4.841517e+01
2.439688e+01 4.806871e+01
2.469807e+01 4.772835e+01
2.499927e+01 4.739396e+01
2.530046e+01 4.706575e+01
2.560166e+01 4.674326e+01
2.590286e+01 4.642609e+01
2.620405e+01 4.611397e+01
2.650525e+01 4.580729e+01
2.680644e+01 4.550567e+01
2.710764e+01 4.520875e+01
2.740884e+01 4.491617e+01
2.771003e+01 4.462823e+01
2.801123e+01 4.434483e+01
2.831242e+01 4.406564e+01
2.861362e+01 4.379035e+01
2.891482e+01 4.351875e+01
2.921601e+01 4.325130e+01
2.951721e+01 4.298771e+01
2.981840e+01 4.272768e+01
3.011960e+01 4.247097e+01
3.042080e+01 4.221750e+01
3.072199e+01 4.196763e+01
3.102319e+01 4.172110e+01
3.132438e+01 4.147767e+01
3.162558e+01 4.123711e+01
3.192678e+01 4.099931e+01
3.222797e+01 4.076470e+01
3.252917e+01 4.053307e+01
3.283036e+01 4.030419e+01
3.313156e+01 4.007786e+01
3.343276e+01 3.985390e+01
3.373395e+01 3.963267e+01
3.403515e+01 3.941416e+01
3.433634e+01 3.919815e+01
3.463754e+01 3.898448e+01
3.493874e+01 3.877297e+01
3.523993e+01 3.856355e+01
3.554113e+01 3.835667e+01
3.584232e+01 3.815215e+01
3.614352e+01 3.794981e+01
3.644472e+01 3.774950e+01
3.674591e+01 3.755107e+01
3.704711e+01 3.735453e+01
3.734830e+01 3.716027e+01
3.764950e+01 3.696811e+01
3.795070e+01 3.677791e+01
3.825189e+01 3.658952e+01
3.855309e+01 3.640281e+01
3.885428e+01 3.621767e+01
3.915548e+01 3.603463e+01
3.945668e+01 3.585353e+01
3.975787e+01 3.567422e+01
4.005907e+01 3.549659e+01
4.036026e+01 3.532051e+01
4.066146e+01 3.514586e+01
4.096266e+01 3.497285e+01
4.126385e+01 3.480169e+01
4.156505e+01 3.463223e+01
4.186624e+01 3.446435e+01
4.216744e+01 3.429794e+01
4.246864e+01 3.413289e+01
4.276983e+01 3.396910e+01
4.307103e+01 3.380688e+01
4.337222e+01 3.364633e+01
4.367342e+01 3.348731e+01
4.397462e+01 3.332973e+01
4.427581e+01 3.317347e+01
4.457701e+01 3.301845e+01
4.487820e+01 3.286456e+01
4.517940e+01 3.271201e+01
4.548060e+01 3.256100e+01
4.578179e+01 3.241143e+01
4.608299e+01 3.226319e+01
4.638418e+01 3.211618e+01
4.668538e+01 3.197032e+01
4.698658e+01 3.182552e+01
4.728777e+01 3.168170e+01
4.758897e+01 3.153932e+01
4.789016e+01 3.139831e+01
4.819136e+01 3.125857e+01
4.849256e+01 3.112001e+01
4.879375e+01 3.098254e+01
4.909495e+01 3.084609e+01
4.939614e+01 3.071059e+01
4.969734e+01 3.057595e+01
4.999854e+01 3.044267e+01
5.029973e+01 3.031064e+01
5.060093e+01 3.017977e+01
5.090212e+01 3.004998e+01
5.120332e+01 2.992119e+01
5.150452e+01 2.979332e+01
5.180571e+01 2.966631e+01
5.210691e+01 2.954010e+01
5.240810e+01 2.941498e+01
5.270930e+01 2.929104e+01
5.301050e+01 2.916820e+01
5.331169e+01 2.904636e+01
5.361289e+01 2.892546e+01
5.391408e+01 2.880544e+01
5.421528e+01 2.868622e+01
5.451648e+01 2.856775e+01
5.481767e+01 2.844997e+01
5.511887e+01 2.833331e+01
5.542006e+01 2.821771e+01
5.572126e+01 2.810308e+01
5.602246e+01 2.798937e+01
5.632365e+01 2.787650e+01
5.662485e+01 2.776441e+01
5.692604e+01 2.765304e+01
5.722724e+01 2.754235e+01
5.752844e+01 2.743228e+01
5.782963e+01 2.732316e+01
5.813083e+01 2.721501e+01
5.843202e+01 2.710778e+01
5.873322e+01 2.700138e+01
5.903442e+01 2.689577e+01
5.933561e+01 2.679088e+01
5.963681e+01 2.668666e+01
5.993800e+01 2.658307e+01
6.023920e+01 2.648005e+01
6.054040e+01 2.637764e+01
6.084159e+01 2.627616e+01
6.114279e+01 2.617556e+01
6.144398e+01 2.607575e+01
6.174518e+01 2.597670e+01
6.204638e+01 2.587834e+01
6.234757e+01 2.578062e+01
6.264877e+01 2.568349e+01
6.294996e+01 2.558692e+01
6.325116e+01 2.549086e+01
6.355236e+01 2.539530e+01
6.385355e+01 2.530059e+01
6.415475e+01 2.520668e+01
6.445594e+01 2.511351e+01
6.475714e+01 2.502103e+01
6.505834e+01 2.492918e+01
6.535953e+01 2.483792e+01
6.566073e+01 2.474721e+01
6.596192e+01 2.465700e+01
6.626312e+01 2.456727e+01
6.656432e+01 2.447796e+01
6.686551e+01 2.438924e+01
6.716671e+01 2.430128e+01
6.746790e+01 2.421402e+01
6.776910e+01 2.412740e+01
6.807030e+01 2.404140e+01
6.837149e+01 2.395595e+01
6.867269e+01 2.387102e+01
6.897388e+01 2.378658e+01
6.927508e+01 2.370258e+01
6.957628e+01 2.361900e+01
6.987747e+01 2.353580e+01
7.017867e+01 2.345307e+01
7.047986e+01 2.337103e+01
7.078106e+01 2.328964e+01
7.108226e+01 2.320884e+01
7.138345e+01 2.312859e+01
7.168465e+01 2.304886e+01
7.198584e+01 2.296961e+01
7.228704e+01 2.289079e+01
7.258824e+01 2.281239e+01
7.288943e+01 2.273436e+01
7.319063e+01 2.265669e+01
7.349182e+01 2.257934e+01
7.379302e+01 2.250251e+01
7.409422e+01 2.242628e+01
7.439541e+01 2.235063e+01
7.469661e+01 2.227550e+01
7.499780e+01 2.220086e+01
7.529900e+01 2.212668e+01
7.560020e+01 2.205291e+01
7.590139e+01 2.197954e+01
7.620259e+01 2.190652e+01
7.650378e+01 2.183385e+01
7.680498e+01 2.176148e+01
7.710618e+01 2.168941e+01
7.740737e+01 2.161770e+01
7.770857e+01 2.154655e+01
7.800976e+01 2.147593e+01
7.831096e+01 2.140580e+01
7.861216e+01 2.133612e+01
7.891335e+01 2.126685e+01
7.921455e+01 2.119798e+01
7.951574e+01 2.112946e+01
7.981694e+01 2.106128e+01
8.011814e+01 2.099341e+01
8.041933e+01 2.092582e+01
8.072053e+01 2.085850e+01
8.102172e+01 2.079143e+01
8.132292e+01 2.072471e+01
8.162412e+01 2.065849e+01
8.192531e+01 2.059274e+01
8.222651e+01 2.052743e+01
8.252770e+01 2.046252e+01
8.282890e+01 2.039799e+01
8.313010e+01 2.033380e+01
8.343129e+01 2.026994e+01
8.373249e+01 2.020637e+01
8.403368e+01 2.014308e+01
8.433488e+01 2.008005e+01
8.463608e+01 2.001725e+01
8.493727e+01 1.995468e+01
8.523847e+01 1.989231e+01
8.553966e+01 1.983037e+01
8.584086e+01 1.976887e+01
8.614206e+01 1.970778e+01
8.644325e+01 1.964707e+01
8.674445e+01 1.958671e+01
8.704564e+01 1.952667e+01
8.734684e+01 1.946694e+01
8.764804e+01 1.940748e+01
8.794923e+01 1.934829e+01
8.825043e+01 1.928934e+01
8.855162e+01 1.923061e+01
