# Serial 2TCM (k4=0) with k1:0.50; k2:0.50; k3:0.01
# Times[minutes] Activity[kBq/ml]
0.000000e+00 -7.006687e+00
3.011960e-01 -2.201462e+00
6.023920e-01 -7.602829e+00
9.035880e-01 -1.584528e+00
1.204784e+00 2.610067e+01
1.505980e+00 2.897690e+01
1.807176e+00 1.844566e+01
2.108372e+00 2.440523e+01
2.409568e+00 2.545693e+01
2.710764e+00 2.534905e+01
3.011960e+00 5.323909e+01
3.313156e+00 3.526396e+01
3.614352e+00 4.217051e+01
3.915548e+00 1.895300e+01
4.216744e+00 4.395385e+01
4.517940e+00 3.533547e+01
4.819136e+00 1.583840e+01
5.120332e+00 2.911752e+01
5.421528e+00 3.317979e+01
5.722724e+00 2.599256e+01
6.023920e+00 2.421164e+01
6.325116e+00 2.363961e+01
6.626312e+00 5.052064e+01
6.927508e+00 2.379897e+01
7.228704e+00 1.539267e+01
7.529900e+00 3.827212e+01
7.831096e+00 1.128537e+01
8.132292e+00 2.171532e+00
8.433488e+00 2.465162e+01
8.734684e+00 2.445471e+01
9.035880e+00 3.050217e+01
9.337076e+00 2.156256e+01
9.638272e+00 3.380543e+01
9.939468e+00 2.646199e+01
1.024066e+01 1.552207e+01
1.054186e+01 1.964005e+01
1.084306e+01 1.990492e+01
1.114425e+01 3.129398e+01
1.144545e+01 2.968508e+01
1.174664e+01 2.004545e+01
1.204784e+01 9.773232e+00
1.234904e+01 2.840291e+01
1.265023e+01 1.419511e+01
1.295143e+01 1.342031e+01
1.325262e+01 1.815444e+01
1.355382e+01 1.026231e+01
1.385502e+01 7.144605e+00
1.415621e+01 2.136906e+01
1.445741e+01 1.214596e+01
1.475860e+01 3.082567e+01
1.505980e+01 2.232812e+01
1.536100e+01 1.686218e+01
1.566219e+01 1.395084e+01
1.596339e+01 2.414321e+01
1.626458e+01 2.892736e+01
1.656578e+01 2.027139e+01
1.686698e+01 1.685824e+01
1.716817e+01 2.780536e+01
1.746937e+01 1.623733e+01
1.777056e+01 8.865451e+00
1.807176e+01 1.229207e+01
1.837296e+01 2.258462e+01
1.867415e+01 7.078166e+00
1.897535e+01 1.056542e+01
1.927654e+01 2.292963e+01
1.957774e+01 5.397835e+00
1.987894e+01 1.070021e+01
2.018013e+01 1.534664e+01
2.048133e+01 1.347386e+01
2.078252e+01 3.588171e+01
2.108372e+01 2.024813e+01
2.138492e+01 2.493945e+01
2.168611e+01 1.384332e+01
2.198731e+01 8.045752e+00
2.228850e+01 2.136812e+01
2.258970e+01 2.250930e+01
2.289090e+01 1.577321e+01
2.319209e+01 2.495006e+01
2.349329e+01 2.039450e+01
2.379448e+01 6.805670e+00
2.409568e+01 1.259535e+01
2.439688e+01 1.408804e+01
2.469807e+01 2.519590e+01
2.499927e+01 2.057153e+01
2.530046e+01 1.197432e+01
2.560166e+01 1.561827e+01
2.590286e+01 1.163963e+01
2.620405e+01 2.016013e+00
2.650525e+01 5.496199e+00
2.680644e+01 1.756168e+01
2.710764e+01 9.915903e+00
2.740884e+01 1.749464e+01
2.771003e+01 1.140112e+01
2.801123e+01 4.620620e+00
2.831242e+01 2.198306e+01
2.861362e+01 6.299337e+00
2.891482e+01 2.393351e+01
2.921601e+01 1.185746e+01
2.951721e+01 1.452784e+01
2.981840e+01 1.950351e+01
3.011960e+01 6.836492e+00
3.042080e+01 2.191896e+01
3.072199e+01 1.601519e+01
3.102319e+01 7.238717e+00
3.132438e+01 1.556741e+01
3.162558e+01 1.300900e+01
3.192678e+01 1.886196e+01
3.222797e+01 6.032469e+00
3.252917e+01 2.164987e+01
3.283036e+01 1.687881e+01
3.313156e+01 9.105467e+00
3.343276e+01 1.571488e+01
3.373395e+01 1.579844e+01
3.403515e+01 1.396525e+01
3.433634e+01 -3.376560e+00
3.463754e+01 1.442040e+01
3.493874e+01 6.838162e+00
3.523993e+01 1.265078e+01
3.554113e+01 2.331171e+01
3.584232e+01 7.694439e+00
3.614352e+01 1.068545e+01
3.644472e+01 1.034280e+01
3.674591e+01 1.809465e+01
3.704711e+01 8.824030e+00
3.734830e+01 1.384459e+01
3.764950e+01 1.236120e+01
3.795070e+01 1.460971e+01
3.825189e+01 -4.150766e+00
3.855309e+01 6.877804e+00
3.885428e+01 1.525218e+01
3.915548e+01 1.298140e+01
3.945668e+01 8.580399e+00
3.975787e+01 1.804510e+01
4.005907e+01 8.566305e+00
4.036026e+01 2.433049e+01
4.066146e+01 2.246645e+01
4.096266e+01 1.678295e+01
4.126385e+01 3.435574e+01
4.156505e+01 1.398605e+01
4.186624e+01 7.221237e+00
4.216744e+01 1.838590e+01
4.246864e+01 1.273590e+01
4.276983e+01 1.685854e+01
4.307103e+01 2.839212e+01
