# Serial 2TCM (k4=0) with k1:0.50; k2:0.50; k3:0.25
# Times[minutes] Activity[kBq/ml]
0.000000e+00 0.000000e+00
3.011960e-01 0.000000e+00
6.023920e-01 0.000000e+00
9.035880e-01 6.677802e+00
1.204784e+00 1.530386e+01
1.505980e+00 2.505655e+01
1.807176e+00 2.852470e+01
2.108372e+00 3.063238e+01
2.409568e+00 3.202443e+01
2.710764e+00 3.305273e+01
3.011960e+00 3.389620e+01
3.313156e+00 3.464764e+01
3.614352e+00 3.535251e+01
3.915548e+00 3.603538e+01
4.216744e+00 3.670811e+01
4.517940e+00 3.737734e+01
4.819136e+00 3.804523e+01
5.120332e+00 3.871277e+01
5.421528e+00 3.938031e+01
5.722724e+00 4.004785e+01
6.023920e+00 4.071527e+01
6.325116e+00 4.138231e+01
6.626312e+00 4.204867e+01
6.927508e+00 4.271401e+01
7.228704e+00 4.337792e+01
7.529900e+00 4.403996e+01
7.831096e+00 4.469973e+01
8.132292e+00 4.535796e+01
8.433488e+00 4.601403e+01
8.734684e+00 4.666731e+01
9.035880e+00 4.731825e+01
9.337076e+00 4.796671e+01
9.638272e+00 4.861190e+01
9.939468e+00 4.925472e+01
1.024066e+01 4.989448e+01
1.054186e+01 5.053116e+01
1.084306e+01 5.116497e+01
1.114425e+01 5.179530e+01
1.144545e+01 5.242288e+01
1.174664e+01 5.304679e+01
1.204784e+01 5.366796e+01
1.234904e+01 5.428544e+01
1.265023e+01 5.490007e+01
1.295143e+01 5.551109e+01
1.325262e+01 5.611909e+01
1.355382e+01 5.672363e+01
1.385502e+01 5.732489e+01
1.415621e+01 5.792291e+01
1.445741e+01 5.851734e+01
1.475860e+01 5.910877e+01
1.505980e+01 5.969661e+01
1.536100e+01 6.028135e+01
1.566219e+01 6.086281e+01
1.596339e+01 6.144074e+01
1.626458e+01 6.201570e+01
1.656578e+01 6.258726e+01
1.686698e+01 6.315556e+01
1.716817e+01 6.372079e+01
1.746937e+01 6.428262e+01
1.777056e+01 6.484134e+01
1.807176e+01 6.539700e+01
1.837296e+01 6.594932e+01
1.867415e+01 6.649859e+01
1.897535e+01 6.704487e+01
1.927654e+01 6.758790e+01
1.957774e+01 6.812788e+01
1.987894e+01 6.866496e+01
2.018013e+01 6.919893e+01
2.048133e+01 6.972976e+01
2.078252e+01 7.025783e+01
2.108372e+01 7.078295e+01
2.138492e+01 7.130495e+01
2.168611e+01 7.182417e+01
2.198731e+01 7.234060e+01
2.228850e+01 7.285410e+01
2.258970e+01 7.336461e+01
2.289090e+01 7.387251e+01
2.319209e+01 7.437765e+01
2.349329e+01 7.487993e+01
2.379448e+01 7.537940e+01
2.409568e+01 7.587631e+01
2.439688e+01 7.637055e+01
2.469807e+01 7.686201e+01
2.499927e+01 7.735077e+01
2.530046e+01 7.783705e+01
2.560166e+01 7.832077e+01
2.590286e+01 7.880181e+01
2.620405e+01 7.928018e+01
2.650525e+01 7.975619e+01
2.680644e+01 8.022974e+01
2.710764e+01 8.070076e+01
2.740884e+01 8.116917e+01
2.771003e+01 8.163522e+01
2.801123e+01 8.209895e+01
2.831242e+01 8.256028e+01
2.861362e+01 8.301915e+01
2.891482e+01 8.347553e+01
2.921601e+01 8.392974e+01
2.951721e+01 8.438170e+01
2.981840e+01 8.483134e+01
3.011960e+01 8.527860e+01
3.042080e+01 8.572353e+01
3.072199e+01 8.616638e+01
3.102319e+01 8.660707e+01
3.132438e+01 8.704553e+01
3.162558e+01 8.748173e+01
3.192678e+01 8.791566e+01
3.222797e+01 8.834761e+01
3.252917e+01 8.877751e+01
3.283036e+01 8.920529e+01
3.313156e+01 8.963092e+01
3.343276e+01 9.005436e+01
3.373395e+01 9.047584e+01
3.403515e+01 9.089539e+01
3.433634e+01 9.131295e+01
3.463754e+01 9.172848e+01
3.493874e+01 9.214194e+01
3.523993e+01 9.255333e+01
3.554113e+01 9.296294e+01
3.584232e+01 9.337069e+01
3.614352e+01 9.377653e+01
3.644472e+01 9.418043e+01
3.674591e+01 9.458235e+01
3.704711e+01 9.498234e+01
3.734830e+01 9.538062e+01
3.764950e+01 9.577715e+01
3.795070e+01 9.617186e+01
3.825189e+01 9.656473e+01
3.855309e+01 9.695571e+01
3.885428e+01 9.734480e+01
3.915548e+01 9.773230e+01
3.945668e+01 9.811813e+01
3.975787e+01 9.850226e+01
4.005907e+01 9.888465e+01
4.036026e+01 9.926527e+01
4.066146e+01 9.964409e+01
4.096266e+01 1.000213e+02
4.126385e+01 1.003969e+02
4.156505e+01 1.007709e+02
4.186624e+01 1.011433e+02
4.216744e+01 1.015141e+02
4.246864e+01 1.018832e+02
4.276983e+01 1.022505e+02
4.307103e+01 1.026164e+02
4.337222e+01 1.029807e+02
4.367342e+01 1.033436e+02
4.397462e+01 1.037050e+02
4.427581e+01 1.040647e+02
4.457701e+01 1.044229e+02
4.487820e+01 1.047795e+02
4.517940e+01 1.051346e+02
4.548060e+01 1.054883e+02
4.578179e+01 1.058406e+02
4.608299e+01 1.061914e+02
4.638418e+01 1.065408e+02
4.668538e+01 1.068887e+02
4.698658e+01 1.072351e+02
4.728777e+01 1.075799e+02
4.758897e+01 1.079235e+02
4.789016e+01 1.082658e+02
4.819136e+01 1.086067e+02
4.849256e+01 1.089463e+02
4.879375e+01 1.092844e+02
4.909495e+01 1.096212e+02
4.939614e+01 1.099565e+02
4.969734e+01 1.102903e+02
4.999854e+01 1.106230e+02
5.029973e+01 1.109545e+02
5.060093e+01 1.112847e+02
5.090212e+01 1.116136e+02
5.120332e+01 1.119411e+02
5.150452e+01 1.122674e+02
5.180571e+01 1.125923e+02
5.210691e+01 1.129158e+02
5.240810e+01 1.132382e+02
5.270930e+01 1.135594e+02
5.301050e+01 1.138795e+02
5.331169e+01 1.141983e+02
5.361289e+01 1.145159e+02
5.391408e+01 1.148323e+02
5.421528e+01 1.151474e+02
5.451648e+01 1.154613e+02
5.481767e+01 1.157738e+02
5.511887e+01 1.160853e+02
5.542006e+01 1.163958e+02
5.572126e+01 1.167051e+02
5.602246e+01 1.170133e+02
5.632365e+01 1.173203e+02
5.662485e+01 1.176262e+02
5.692604e+01 1.179308e+02
5.722724e+01 1.182343e+02
5.752844e+01 1.185366e+02
5.782963e+01 1.188378e+02
5.813083e+01 1.191381e+02
5.843202e+01 1.194373e+02
5.873322e+01 1.197355e+02
5.903442e+01 1.200326e+02
5.933561e+01 1.203285e+02
5.963681e+01 1.206234e+02
5.993800e+01 1.209172e+02
6.023920e+01 1.212098e+02
6.054040e+01 1.215013e+02
6.084159e+01 1.217920e+02
6.114279e+01 1.220816e+02
6.144398e+01 1.223703e+02
6.174518e+01 1.226580e+02
6.204638e+01 1.229447e+02
6.234757e+01 1.232303e+02
6.264877e+01 1.235149e+02
6.294996e+01 1.237985e+02
6.325116e+01 1.240810e+02
6.355236e+01 1.243624e+02
6.385355e+01 1.246430e+02
6.415475e+01 1.249227e+02
6.445594e+01 1.252015e+02
6.475714e+01 1.254794e+02
6.505834e+01 1.257563e+02
6.535953e+01 1.260323e+02
6.566073e+01 1.263072e+02
6.596192e+01 1.265812e+02
6.626312e+01 1.268542e+02
6.656432e+01 1.271263e+02
6.686551e+01 1.273974e+02
6.716671e+01 1.276677e+02
6.746790e+01 1.279371e+02
6.776910e+01 1.282057e+02
6.807030e+01 1.284734e+02
6.837149e+01 1.287402e+02
6.867269e+01 1.290062e+02
6.897388e+01 1.292712e+02
6.927508e+01 1.295353e+02
6.957628e+01 1.297984e+02
6.987747e+01 1.300607e+02
7.017867e+01 1.303220e+02
7.047986e+01 1.305826e+02
7.078106e+01 1.308424e+02
7.108226e+01 1.311014e+02
7.138345e+01 1.313596e+02
7.168465e+01 1.316170e+02
7.198584e+01 1.318735e+02
7.228704e+01 1.321292e+02
7.258824e+01 1.323840e+02
7.288943e+01 1.326379e+02
7.319063e+01 1.328910e+02
7.349182e+01 1.331432e+02
7.379302e+01 1.333946e+02
7.409422e+01 1.336454e+02
7.439541e+01 1.338953e+02
7.469661e+01 1.341445e+02
7.499780e+01 1.343930e+02
7.529900e+01 1.346407e+02
7.560020e+01 1.348875e+02
7.590139e+01 1.351336e+02
7.620259e+01 1.353789e+02
7.650378e+01 1.356234e+02
7.680498e+01 1.358670e+02
7.710618e+01 1.361099e+02
7.740737e+01 1.363519e+02
7.770857e+01 1.365933e+02
7.800976e+01 1.368341e+02
7.831096e+01 1.370741e+02
7.861216e+01 1.373134e+02
7.891335e+01 1.375519e+02
7.921455e+01 1.377898e+02
7.951574e+01 1.380269e+02
7.981694e+01 1.382632e+02
8.011814e+01 1.384988e+02
8.041933e+01 1.387336e+02
8.072053e+01 1.389677e+02
8.102172e+01 1.392010e+02
8.132292e+01 1.394336e+02
8.162412e+01 1.396656e+02
8.192531e+01 1.398969e+02
8.222651e+01 1.401276e+02
8.252770e+01 1.403575e+02
8.282890e+01 1.405869e+02
8.313010e+01 1.408155e+02
8.343129e+01 1.410434e+02
8.373249e+01 1.412706e+02
8.403368e+01 1.414972e+02
8.433488e+01 1.417230e+02
8.463608e+01 1.419481e+02
8.493727e+01 1.421724e+02
8.523847e+01 1.423961e+02
8.553966e+01 1.426192e+02
8.584086e+01 1.428417e+02
8.614206e+01 1.430635e+02
8.644325e+01 1.432848e+02
8.674445e+01 1.435054e+02
8.704564e+01 1.437253e+02
8.734684e+01 1.439446e+02
8.764804e+01 1.441633e+02
8.794923e+01 1.443813e+02
8.825043e+01 1.445987e+02
