name_en,surface,ground,rice,wheat,maize
Henan,0.45,0.68,2.75,1.96,1.84
Neimeng,0.26,0.68,2.45,2.02,1.74
Ningxia,0.0305,0.68,2.74,2.17,1.96
Qinghai,0.37,0.68,2.45,2.03,1.85
Shandong,0.24,0.68,2.54,2.04,1.91
Shanxi,0.25,0.68,2.45,2.09,1.83
Shaanxi,0.19,0.68,1.8,1.89,1.83
Gansu,0.34,0.68,2.45,2.05,1.85
