id,name,description,provider,created_at,updated_at
1,Anthropic,"Anthropic Models
- Haiku x.y
- Sonnet x.y
- Opus x.y",ANTHROPIC,2025-09-03 23:25:18.662301+00:00,2025-09-03 23:25:18.662318+00:00
2,DeepSeek,Deepseek Vx and Ry Models,DEEPSEEK,2025-09-03 23:25:18.663104+00:00,2025-09-03 23:25:18.663112+00:00
3,Gemini,"Google Gemini Models
- x.y Flash
- x.y Pro",GEMINI,2025-09-03 23:25:18.663518+00:00,2025-09-03 23:25:18.663526+00:00
4,Groq,Modelli forniti da Groq,GROQ,2025-09-05 09:50:09.192808+00:00,2025-09-05 09:50:48.267491+00:00
5,LM Studio,Local provider        using LMStudio (on Mac) at localhost:1234. (/v1),LMSTUDIO,2025-09-03 23:25:18.663896+00:00,2025-09-03 23:25:18.663904+00:00
6,Mistral,"Mistral Models
- Mistral
- Devstral
- Codestral
- Mixtral",MISTRAL,2025-09-03 23:25:18.664216+00:00,2025-09-03 23:25:18.664221+00:00
7,Ollama,Ollama provided models,OLLAMA,2025-09-03 23:25:18.664500+00:00,2025-09-03 23:25:18.664507+00:00
8,OpenAi,"OppenAi Models
- Gpt 4.x
- o1-xxx
- o3-xxx",OPENAI,2025-09-03 23:25:18.664787+00:00,2025-09-03 23:25:18.664793+00:00
9,OpenRouter,Proxy to many Models,OPENROUTER,2025-09-03 23:25:18.665043+00:00,2025-09-03 23:25:18.665050+00:00
