,mom26,resid_mom,mom_rank,resid_rank,ml_rank,score
GOOG,0.7694910930154746,0.6298480878722044,1.0,1.0,0.5,0.8
GOOGL,0.7587836925141367,0.6192151531467551,0.9743589743589743,0.9743589743589743,0.5,0.7846153846153845
TMO,0.4247535484095095,0.31468475841804905,0.8717948717948718,0.9487179487179487,0.5,0.7461538461538462
AMD,0.494958689541517,0.27098118993802156,0.9487179487179487,0.8461538461538461,0.5,0.7384615384615385
LLY,0.39493633506994774,0.31404645520894664,0.8461538461538461,0.9230769230769231,0.5,0.7307692307692308
TSLA,0.4683125645703776,0.24664252165042375,0.9230769230769231,0.8205128205128205,0.5,0.7230769230769232
JNJ,0.3810247881813076,0.3134268853142334,0.8205128205128205,0.8974358974358975,0.5,0.7153846153846153
AMAT,0.4364142814270582,0.22819189964091754,0.8974358974358975,0.7948717948717948,0.5,0.7076923076923076
MRK,0.37492342362697917,0.31282731150210746,0.7948717948717948,0.8717948717948718,0.5,0.7
AAPL,0.3625204672261271,0.22131927442253346,0.7692307692307693,0.7692307692307693,0.5,0.6615384615384616
AVGO,0.3120781138526596,0.1344892426851488,0.7435897435897436,0.717948717948718,0.5,0.6384615384615384
ABBV,0.2815458883141344,0.18122416512689388,0.717948717948718,0.7435897435897436,0.5,0.6384615384615384
WMT,0.15379143295985154,0.08592921300502426,0.6410256410256411,0.6923076923076923,0.5,0.6000000000000001
BAC,0.20492252541121014,0.039895962670475404,0.6666666666666666,0.6410256410256411,0.5,0.5923076923076923
PEP,0.11879252419539443,0.045163757503918836,0.5641025641025641,0.6666666666666666,0.5,0.5692307692307692
NVDA,0.20793255778070252,-0.01109410655048454,0.6923076923076923,0.5384615384615384,0.5,0.5692307692307692
CSCO,0.15229143506480214,0.0341014114950145,0.5897435897435898,0.6153846153846154,0.5,0.5615384615384615
JPM,0.15318757295888696,0.005148200181989859,0.6153846153846154,0.5897435897435898,0.5,0.5615384615384615
XOM,0.10870235547620055,0.002816604716040255,0.5128205128205128,0.5641025641025641,0.5,0.523076923076923
QCOM,0.11456496414646034,-0.04201643755183859,0.5384615384615384,0.48717948717948717,0.5,0.5076923076923077
UNH,0.08753712671250957,-0.01640787976510502,0.48717948717948717,0.5128205128205128,0.5,0.49999999999999994
MA,0.05602266914402998,-0.0852823617921665,0.46153846153846156,0.41025641025641024,0.5,0.46153846153846156
BRK-B,0.02598417745738213,-0.07749170973369819,0.41025641025641024,0.4358974358974359,0.5,0.45384615384615384
KO,0.008109789947061685,-0.07573228653838897,0.358974358974359,0.46153846153846156,0.5,0.4461538461538462
AMZN,0.0412897496403799,-0.09808739237902095,0.4358974358974359,0.38461538461538464,0.5,0.4461538461538462
V,0.022142418114263318,-0.10308794397248214,0.38461538461538464,0.358974358974359,0.5,0.4230769230769231
MSFT,-0.013134570607772678,-0.1441497363993694,0.3333333333333333,0.3333333333333333,0.5,0.4
HD,-0.03986672251308898,-0.17751963436215035,0.28205128205128205,0.28205128205128205,0.5,0.36923076923076925
CRM,-0.023577178412084066,-0.18542329310854117,0.3076923076923077,0.23076923076923078,0.5,0.3615384615384616
PG,-0.08201609438809998,-0.14911461542445728,0.20512820512820512,0.3076923076923077,0.5,0.35384615384615387
ORCL,-0.05462796230861555,-0.18273372488306242,0.2564102564102564,0.2564102564102564,0.5,0.3538461538461538
LIN,-0.07782794043871943,-0.19204254360759093,0.23076923076923078,0.20512820512820512,0.5,0.3307692307692308
ADBE,-0.08301583571524107,-0.2266528743458347,0.1794871794871795,0.15384615384615385,0.5,0.30000000000000004
COST,-0.11099216777827603,-0.2058874832082303,0.1282051282051282,0.1794871794871795,0.5,0.2923076923076923
META,-0.09453129829965223,-0.23755310613564598,0.15384615384615385,0.1282051282051282,0.5,0.2846153846153846
TXN,-0.1319843406848289,-0.2652781778696816,0.07692307692307693,0.10256410256410256,0.5,0.25384615384615383
INTU,-0.12602394350421187,-0.2800199023264073,0.10256410256410256,0.05128205128205128,0.5,0.24615384615384617
NKE,-0.14439665747376962,-0.27836156544795293,0.05128205128205128,0.07692307692307693,0.5,0.23846153846153847
NFLX,-0.2860057761331507,-0.4469420768969979,0.02564102564102564,0.02564102564102564,0.5,0.2153846153846154
