time[minutes]	plasma[kBq/cc]
0.00000	0.000000e+000
0.02000	0.000000e+000
0.04100	0.000000e+000
0.06305	0.000000e+000
0.08620	0.000000e+000
0.11051	0.000000e+000
0.13604	0.000000e+000
0.16284	0.000000e+000
0.19098	0.000000e+000
0.22053	0.000000e+000
0.25156	0.000000e+000
0.28414	0.000000e+000
0.31834	0.000000e+000
0.35426	0.000000e+000
0.39197	0.000000e+000
0.43157	0.000000e+000
0.47315	0.000000e+000
0.51681	0.000000e+000
0.56265	0.000000e+000
0.61078	0.000000e+000
0.66132	4.245855e+000
0.71439	2.657148e+001
0.77010	3.359809e+001
0.82861	3.864302e+001
0.89004	4.337400e+001
0.95454	4.798205e+001
1.02227	5.249185e+001
1.09338	5.691276e+001
1.16805	6.125414e+001
1.24645	6.552665e+001
1.32878	6.974223e+001
1.41522	7.391384e+001
1.50598	7.805534e+001
1.60128	5.385496e+001
1.70134	4.796258e+001
1.80641	4.418050e+001
1.91673	4.097272e+001
2.03256	3.824536e+001
2.15419	3.593401e+001
2.28190	3.397835e+001
2.41600	3.232255e+001
2.55680	3.091582e+001
2.70464	2.971279e+001
2.85987	2.867371e+001
3.02286	2.776439e+001
3.19400	2.695604e+001
3.37370	2.622492e+001
3.56239	2.555190e+001
3.76051	2.492195e+001
3.96853	2.432359e+001
4.18696	2.374832e+001
4.41631	2.319012e+001
4.65712	2.264489e+001
4.90998	2.211007e+001
5.17548	2.158425e+001
5.45425	2.106682e+001
5.74696	2.055774e+001
6.05431	2.005737e+001
6.37703	1.956627e+001
6.71588	1.908511e+001
7.07167	1.861462e+001
7.44526	1.815548e+001
7.83752	1.770830e+001
8.24940	1.727360e+001
8.68187	1.685180e+001
9.13596	1.644317e+001
9.61276	1.604784e+001
10.11340	1.566580e+001
10.63907	1.529692e+001
11.19102	1.494089e+001
11.77057	1.459729e+001
12.37910	1.426556e+001
13.01805	1.394503e+001
13.68896	1.363493e+001
14.39340	1.333442e+001
15.13307	1.304260e+001
15.90973	1.275852e+001
16.72521	1.248121e+001
17.58148	1.220973e+001
18.48055	1.194315e+001
19.42458	1.168059e+001
20.41581	1.142126e+001
21.45660	1.116442e+001
22.54943	1.090946e+001
23.69690	1.065583e+001
24.90174	1.040314e+001
26.16683	1.015106e+001
27.49517	9.899415e+000
28.88993	9.648096e+000
30.35442	9.397104e+000
31.89215	9.146523e+000
33.50675	8.896506e+000
35.20209	8.647268e+000
36.98220	8.399069e+000
38.85131	8.152200e+000
40.81387	7.906976e+000
42.87456	7.663717e+000
45.03829	7.422744e+000
47.31021	7.184364e+000
49.69572	6.948866e+000
52.20050	6.716510e+000
54.83053	6.487524e+000
57.59205	6.262099e+000
60.49166	6.040387e+000
63.53624	5.822497e+000
66.73305	5.608495e+000
70.08970	5.398407e+000
73.61419	5.192217e+000
77.31490	4.989876e+000
81.20064	4.791302e+000
85.28068	4.596385e+000
89.56471	4.405000e+000
94.06295	4.217007e+000
98.78609	4.032262e+000
103.74540	3.850626e+000
108.95267	3.671972e+000
114.42030	3.496193e+000
120.00000	3.327918e+000
