,SGRPN,SMEMN,SMEMSB1,SMEMSB2
1828,OFLOW,PKCF2,2,3
1829,OFLOW,PKCF2,2,4
1830,OFLOW,PKCF2,2,5
1831,OFLOW,OCON,2,1
1832,OFLOW,OCON,2,2
3162,PWATER,AGWO,2,
3816,OFLOW,,3,
4164,PWTGAS,SODOXM,,
4165,PWTGAS,SOHT,,
4169,PQUAL,SOQUAL,1,
4198,PWATER,IFWO,1,
4286,IQUAL,SOQS,1,
4287,IQUAL,SOQS,2,
4316,ROFLOW,ROVOL,1,
4317,IWTGAS,SOTMP,,
4318,IWTGAS,SODOX,,
4319,IWTGAS,SOCO2,,
4400,ROFLOW,ROVOL,1,1
4401,ROFLOW,ROHEAT,1,1
4402,ROFLOW,RODQAL,1,1
4403,ROFLOW,OXCF1,1,1
4404,ROFLOW,OXCF1,2,1
4405,ROFLOW,NUCF1,1,1
4406,ROFLOW,NUCF1,2,1
4407,ROFLOW,NUCF1,3,1
4409,ROFLOW,NUCF1,4,1
4410,ROFLOW,PKCF1,3,1
4411,ROFLOW,PKCF1,4,1
4412,ROFLOW,PKCF1,5,1
6151,OFLOW,PKCF2,1,2
7102,OFLOW,OSED,4,1
7103,OFLOW,OSED,4,2
7104,OFLOW,OSED,4,3
7105,OFLOW,ODQAL,4,1
7106,OFLOW,OSQAL,4,1
7107,OFLOW,OSQAL,4,2
7108,OFLOW,OSQAL,4,3
7109,OFLOW,OXCF2,4,1
7110,OFLOW,OXCF2,4,2
7111,OFLOW,NUCF9,4,1
7112,OFLOW,NUCF9,4,2
7113,OFLOW,NUCF9,4,3
7114,OFLOW,NUCF9,4,4
7115,OFLOW,OSNH4,4,1
7116,OFLOW,OSNH4,4,2
7117,OFLOW,OSNH4,4,3
7118,OFLOW,OSPO4,4,1
7119,OFLOW,OSPO4,4,2
7120,OFLOW,OSPO4,4,3
7121,OFLOW,PKCF2,4,1
7122,OFLOW,PKCF2,4,3
7123,OFLOW,PKCF2,4,4
7124,OFLOW,PKCF2,4,5
7125,OFLOW,OCON,4,1
7126,OFLOW,OCON,4,2
7984,PWATER,IGWI,,
7986,PWATER,CEPE,,
7987,PWATER,AGWET,,
7988,PWATER,UZET,,
7989,PWATER,LZET,,
7990,PWATER,BASET,,
0,INFLOW,,,
1,INFLOW,IVOL,,
2,INFLOW,ISED,1,
3,INFLOW,ISED,2,
4,INFLOW,ISED,3,
8,INFLOW,IHEAT,,
9,INFLOW,OXIF,1,
10,INFLOW,NUIF1,2,
11,INFLOW,NUIF1,1,
12,INFLOW,NUIF1,4,
13,INFLOW,NUIF2,2,2
14,INFLOW,NUIF2,3,2
17,INFLOW,OXIF,2,
20,INFLOW,PKIF,3,
23,INFLOW,PKIF,4,
26,INFLOW,PKIF,5,
70,INFLOW,IVOL,1,
263,INPUT,ONE,,
264,INPUT,TWO,1,1
312,INPUT,ONE,1,1
378,INFLOW,IHEAT,1,1
379,INFLOW,ISED,1,1
380,INFLOW,ISED,2,1
381,INFLOW,ISED,3,1
382,INFLOW,IDQAL,1,1
383,INFLOW,ISQAL,1,1
384,INFLOW,ISQAL,2,1
385,INFLOW,ISQAL,3,1
386,INFLOW,OXIF,1,1
387,INFLOW,OXIF,2,1
388,INFLOW,NUIF1,1,1
389,INFLOW,NUIF1,2,1
390,INFLOW,NUIF1,3,1
391,INFLOW,NUIF1,4,1
392,INFLOW,NUIF2,1,1
393,INFLOW,NUIF2,2,1
394,INFLOW,NUIF2,3,1
395,INFLOW,NUIF2,1,2
398,INFLOW,PKIF,1,1
399,INFLOW,PKIF,3,1
400,INFLOW,PKIF,4,1
401,INFLOW,PKIF,5,1
402,INFLOW,ICON,1,1
403,INFLOW,ICON,2,1
603,INFLOW,IHEAT,1,
668,INFLOW,IDQAL,1,
1543,INPUT,MEAN,7,
1544,INPUT,MEAN,3,
1545,INPUT,MEAN,4,
1546,INPUT,MEAN,2,
1547,INPUT,MEAN,6,
1548,INPUT,MEAN,1,
1549,INPUT,MEAN,8,
1550,INPUT,MEAN,5,
4284,EXTNL,SURLI,,
4285,EXTNL,SLSED,,
4286,EXTNL,SLIQO,1,1
4287,EXTNL,SLIQO,2,1
4317,EXTNL,SLITMP,,
4318,EXTNL,SLIDOX,,
4319,EXTNL,SLICO2,,
4400,INFLOW,IVOL,1,1
6151,INFLOW,PKIF,2,1
7954,INPUT,MEAN,13,
7987,INPUT,MEAN,9,
7988,INPUT,MEAN,10,
7989,INPUT,MEAN,11,
7990,INPUT,MEAN,12,
7992,INPUT,MEAN,14,
7993,INPUT,MEAN,15,
