,SGRPN,SMEMN,SMEMSB1,SMEMSB2
0,ROFLOW,,,
1,PWATER,PERO,,
2,SEDMNT,WSSD,1,
5,SEDMNT,SCRSD,1,
8,PWTGAS,POHT,,
9,PWTGAS,PODOXM,,
10,PQUAL,POQUAL,1,
11,PQUAL,POQUAL,2,
12,PQUAL,SOQUAL,3,
15,PQUAL,IOQUAL,3,
16,PQUAL,AOQUAL,3,
17,PQUAL,SOQUAL,4,
18,PQUAL,IOQUAL,4,
19,PQUAL,AOQUAL,4,
26,PQUAL,POQUAL,4,
27,IWATER,SURO,,
28,SOLIDS,SOSLD,,
31,IWTGAS,SOHT,,
32,IWTGAS,SODOXM,,
33,IQUAL,SOQUAL,1,
34,IQUAL,SOQUAL,2,
35,IQUAL,SOQUAL,3,
36,IQUAL,SOQUAL,4,
66,OUTPUT,TIMSER,1,
195,PWATER,AGWO,1,
263,PWATER,SURO,,
264,OUTPUT,TIMSER,1,1
312,SEDMNT,SOSED,1,1
313,PWATER,IFWO,,
331,PWATER,AGWO,,
332,PWTGAS,IOHT,,
333,PWTGAS,AOHT,,
334,PWTGAS,IODOXM,,
335,PWTGAS,AODOXM,,
337,PQUAL,IOQUAL,1,
338,PQUAL,AOQUAL,1,
339,PQUAL,IOQUAL,2,
340,PQUAL,AOQUAL,2,
377,OFLOW,OVOL,1,1
378,OFLOW,OHEAT,1,1
379,OFLOW,OSED,1,1
380,OFLOW,OSED,1,2
381,OFLOW,OSED,1,3
382,OFLOW,ODQAL,1,1
383,OFLOW,OSQAL,1,1
384,OFLOW,OSQAL,1,2
385,OFLOW,OSQAL,1,3
386,OFLOW,OXCF2,1,1
387,OFLOW,OXCF2,1,2
388,OFLOW,NUCF9,1,1
389,OFLOW,NUCF9,1,2
390,OFLOW,NUCF9,1,3
391,OFLOW,NUCF9,1,4
392,OFLOW,OSNH4,1,1
393,OFLOW,OSNH4,1,2
394,OFLOW,OSNH4,1,3
395,OFLOW,OSPO4,1,1
396,OFLOW,OSPO4,1,2
397,OFLOW,OSPO4,1,3
398,OFLOW,PKCF2,1,1
399,OFLOW,PKCF2,1,3
400,OFLOW,PKCF2,1,4
401,OFLOW,PKCF2,1,5
402,OFLOW,OCON,1,1
403,OFLOW,OCON,1,2
404,OFLOW,OVOL,1,
668,PQUAL,SOQUAL,5,
669,PQUAL,IOQUAL,5,
670,PQUAL,AOQUAL,5,
684,IQUAL,SOQUAL,5,
685,OFLOW,,2,
743,PQUAL,AOQUAL,6,
766,OFLOW,,1,
1127,PQUAL,SOQUAL,2,
1146,SOLIDS,SOSLD,1,
1214,ROFLOW,ROVOL,,
1222,OFLOW,OSED,2,1
1223,OFLOW,OSED,2,2
1224,OFLOW,OSED,2,3
1249,OFLOW,OVOL,2,
1518,SEDMNT,SOSED,1,
1525,PQUAL,POQUAL,3,
1543,PWATER,LZS,,
1545,PWATER,PET,,
1547,PWATER,UZS,,
1549,PWATER,SUPY,,
1550,PWATER,TAET,,
1551,IWATER,PET,,
1552,IWATER,SUPY,,
1554,IWATER,IMPEV,,
1807,OFLOW,OHEAT,2,1
1811,OFLOW,ODQAL,2,1
1812,OFLOW,OSQAL,2,1
1813,OFLOW,OSQAL,2,2
1814,OFLOW,OSQAL,2,3
1815,OFLOW,OXCF2,2,1
1816,OFLOW,OXCF2,2,2
1817,OFLOW,NUCF9,2,1
1818,OFLOW,NUCF9,2,2
1819,OFLOW,NUCF9,2,3
1820,OFLOW,NUCF9,2,4
1821,OFLOW,OSNH4,2,1
1822,OFLOW,OSNH4,2,2
1823,OFLOW,OSNH4,2,3
1824,OFLOW,OSPO4,2,1
1825,OFLOW,OSPO4,2,2
1826,OFLOW,OSPO4,2,3
1827,OFLOW,PKCF2,2,1
