model	E_kin	U	eb1_1	eb2_1	mu	t	tb1_1	tb2_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	var_U_1	var_eb1_1	var_eb2_1	var_mu_1	var_t_1	var_tb1_1	var_tb2_1	E0_1	sector_1	githash	version	DoS(0.01i)	time
1D_2_4b	-0.96591085	4	1.1524059	-1.1524067	2	1	0.61046529	0.61046028	0.99999977	-0.96591085	0.10360211	0.099340041	3.9006609	0.99999952	-0.67486309	-0.84430633	-0.84430216	0.041635616	0.094250227	0.094249373	0.037950006	0.41855365	1.7736584	1.7736627	-9.9324079	R0:N6:S0:1	8d6f65b	v1.0.0	0.00195311	2022-04-27@13:58
1D_2_4b	-0.96607632	4	1.1908332	-1.1005699	1.95	1	0.60944255	0.60999342	0.99995197	-0.96607632	0.10357908	0.099943724	3.9004164	0.99981994	-0.6747241	-0.84643524	-0.84510075	0.041628924	0.094791602	0.094478368	0.038044415	0.41834114	1.7723035	1.7740703	-9.6251376	R0:N6:S0:1	8d6f65b	v1.0.0	0.0019807	2022-04-27@13:58
1D_2_4b	-0.96610569	4	1.22968	-1.0487409	1.9	1	0.60694605	0.60962042	0.99997919	-0.96610569	0.10356291	0.10010392	3.9003113	0.99979239	-0.67468493	-0.84673254	-0.84539765	0.04162387	0.094933607	0.094580992	0.038049607	0.418316	1.7721589	1.7743109	-9.3166903	R0:N6:S0:1	8d6f65b	v1.0.0	0.00205269	2022-04-27@13:58
1D_2_4b	-0.96608964	4	1.2745429	-0.9846239	1.85	1	0.60510127	0.60663102	0.99999409	-0.96608964	0.10358556	0.10007838	3.9001208	0.9999004	-0.67466617	-0.84635133	-0.84573696	0.041630482	0.094919891	0.094751839	0.038021557	0.41835355	1.772994	1.7740415	-8.9580559	R0:N6:S0:1	8d6f65b	v1.0.0	0.00218612	2022-04-27@13:58
1D_2_4b	-0.96597121	4	1.3192796	-0.92347389	1.8	1	0.60249316	0.60401165	1.0000366	-0.96597121	0.10357576	0.099790175	3.9001309	1.0000395	-0.67472547	-0.84491521	-0.84537209	0.041626318	0.094667288	0.094742825	0.037929896	0.41852761	1.7743041	1.7740101	-8.6106751	R0:N6:S0:1	8d6f65b	v1.0.0	0.00239351	2022-04-27@13:58
1D_2_4b	-0.96576936	4	1.3637082	-0.86541687	1.75	1	0.59995979	0.60112194	1.0000397	-0.96576936	0.10347141	0.099422298	3.9004455	1.0000661	-0.67484916	-0.84320849	-0.84383623	0.041591371	0.09433995	0.094460661	0.037787046	0.41881229	1.7753646	1.7747934	-8.2752264	R0:N6:S0:1	8d6f65b	v1.0.0	0.00270033	2022-04-27@13:58
1D_2_4b	-0.96552309	4	1.4079663	-0.81017807	1.7	1	0.59712776	0.59871319	1.0000545	-0.96552309	0.10334832	0.098944055	3.9008695	1.0000932	-0.67500901	-0.84106519	-0.8419474	0.041550318	0.093910651	0.094080752	0.037617983	0.41915518	1.7765419	1.7757329	-7.9509458	R0:N6:S0:1	8d6f65b	v1.0.0	0.00316303	2022-04-27@13:58
1D_2_4b	-0.96550238	4	1.4051545	-0.73957659	1.65	1	0.58566685	0.5922246	1.0000383	-0.96550238	0.10309369	0.099697133	3.9007381	0.99978238	-0.67489807	-0.84233514	-0.84133605	0.041467488	0.094588725	0.094236129	0.037538385	0.41923881	1.7758505	1.7783501	-7.5607209	R0:N6:S0:1	8d6f65b	v1.0.0	0.0039239	2022-04-27@13:58
1D_2_4b	-0.9656378	4	1.3580969	-0.66849648	1.6	1	0.56721787	0.5832487	0.99988963	-0.9656378	0.10252628	0.10185466	3.9005382	0.99880355	-0.67457218	-0.8476472	-0.8402332	0.041284469	0.096515054	0.094498763	0.037519048	0.41913592	1.7718074	1.784439	-7.1651387	R0:N6:S0:1	8d6f65b	v1.0.0	0.00516351	2022-04-27@13:58
1D_2_4b	-0.96555559	4	1.371709	-0.60600373	1.55	1	0.55965602	0.57800577	0.99981429	-0.96555559	0.10223505	0.10246542	3.9006864	0.99842408	-0.67452922	-0.84869412	-0.83868438	0.041189515	0.097062156	0.09439704	0.037422497	0.41927705	1.7708475	1.7873562	-6.8093117	R0:N6:S0:1	8d6f65b	v1.0.0	0.00760384	2022-04-27@13:58
1D_2_4b	-0.96519725	4	1.36472	-0.53018049	1.5	1	0.54522156	0.56869893	0.99980337	-0.96519725	0.10180683	0.10273814	3.9010074	0.99812724	-0.67460403	-0.84731106	-0.83569231	0.041048519	0.0973115	0.094158016	0.037120883	0.41980604	1.7716883	1.7915393	-6.394394	R0:N6:S0:1	8d6f65b	v1.0.0	0.0139309	2022-04-27@13:58
1D_2_4b	-0.96490493	4	1.332959	-0.45712998	1.45	1	0.52841126	0.55674919	0.99957386	-0.96490493	0.10101309	0.10419729	3.9016221	0.99709031	-0.6745601	-0.84958221	-0.83079033	0.04078908	0.098614385	0.093687065	0.036842354	0.4202483	1.7690767	1.7995538	-5.9887058	R0:N6:S0:1	8d6f65b	v1.0.0	0.0397975	2022-04-27@13:58
1D_2_4b	-0.9658994	4	1.2030043	-0.38766037	1.4	1	0.50131567	0.54136972	0.99246339	-0.9658994	0.099585061	0.11231873	3.9001339	0.99377369	-0.67320985	-0.87186427	-0.83108641	0.040328494	0.10581346	0.095281362	0.037300376	0.41893644	1.7521869	1.8165622	-5.5961172	R0:N6:S0:1	8d6f65b	v1.0.0	0.468909	2022-04-27@13:58
1D_2_4b	-0.96760945	4	1.051687	-0.33790641	1.35	1	0.48241019	0.52769614	0.94871677	-0.96760945	0.097754836	0.12902577	3.8954613	0.98775645	-0.67009362	-0.91937916	-0.84087609	0.039742202	0.12041187	0.099902487	0.038994773	0.41483462	1.7164838	1.8409849	-5.2929425	R0:N6:S0:1	8d6f65b	v1.0.0	0.340704	2022-04-27@13:58
1D_2_4b	-0.97027387	4	0.90915394	-0.30510544	1.3	1	0.47032862	0.51716507	0.928438	-0.97027387	0.095715913	0.15352537	3.8871681	0.97965325	-0.66536734	-0.98349803	-0.86127411	0.039089604	0.1412861	0.1079211	0.041729017	0.40832516	1.6665507	1.8707103	-5.0665119	R0:N6:S0:1	8d6f65b	v1.0.0	0.261624	2022-04-27@13:58
1D_2_4b	-0.97485743	4	0.75915014	-0.27769974	1.25	1	0.45948259	0.50624937	0.91319763	-0.97485743	0.093227736	0.19041295	3.8723868	0.96860013	-0.65820792	-1.0667762	-0.89796326	0.038289719	0.17157793	0.12197592	0.045725866	0.3987014	1.5993937	1.9097319	-4.8676615	R0:N6:S0:1	8d6f65b	v1.0.0	0.225671	2022-04-27@13:58
1D_2_4b	-0.98288608	4	0.60149918	-0.25384906	1.2	1	0.45034036	0.4948022	0.90107912	-0.98288608	0.090093991	0.24971767	3.8443823	0.95295001	-0.64679731	-1.1766949	-0.9649106	0.037276033	0.21758011	0.14799444	0.051674889	0.38410608	1.5087149	1.9618357	-4.6929637	R0:N6:S0:1	8d6f65b	v1.0.0	0.203942	2022-04-27@13:58
1D_2_4b	-0.99163209	4	0.48704454	-0.23396519	1.15	1	0.44704138	0.48420848	0.89060227	-0.99163209	0.086798523	0.31989978	3.808353	0.93587362	-0.63377401	-1.2827296	-1.0444712	0.036193613	0.26795933	0.18045682	0.057966321	0.36826766	1.4191341	2.0130757	-4.5400607	R0:N6:S0:1	8d6f65b	v1.0.0	0.189118	2022-04-27@13:58
1D_2_4b	-0.99942061	4	0.3996542	-0.21694656	1.1	1	0.4412743	0.47383776	0.88150145	-0.99942061	0.083422764	0.39363093	3.768041	0.91916403	-0.62100298	-1.3710636	-1.1248166	0.035060538	0.31632065	0.21557131	0.063555334	0.35356667	1.3428285	2.0600676	-4.3949277	R0:N6:S0:1	8d6f65b	v1.0.0	0.179021	2022-04-27@13:58
1D_2_4b	-1.0069935	4	0.3360887	-0.20251316	1.05	1	0.44105974	0.46421614	0.87301356	-1.0069935	0.080121512	0.47152261	3.7239582	0.9022596	-0.60793461	-1.4517786	-1.2063635	0.033933279	0.36308217	0.25244152	0.068948555	0.33902721	1.2760781	2.0971684	-4.2656539	R0:N6:S0:1	8d6f65b	v1.0.0	0.171751	2022-04-27@13:58
DoS(0.01i)	model	E_kin	U	eb1_1	eb2_1	mu	t	tb1_1	tb2_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	var_U_1	var_eb1_1	var_eb2_1	var_mu_1	var_t_1	var_tb1_1	var_tb2_1	E0_1	sector_1	githash	version	time	dependent_parameters	
0.00196005	1D_2_4b	-0.96609169	4	1.1442666	-1.1443208	2	1	0.60945369	0.60946766	1.0000002	-0.96609169	0.1036735	0.099812904	3.9001871	0.99999999	-0.67470857	-0.84591464	-0.84591596	0.041659171	0.094679978	0.094680023	0.038051871	0.41832246	1.7731597	1.7731606	-9.899986	R0:N6:S0:1	84c6a2b	v.1.0.7	2022-09-16@09:42	U=U_1;mu=mu_1;t=t_1
0.00198339	1D_2_4b	-0.96609866	4	1.190515	-1.0941646	1.95	1	0.60882461	0.60919401	0.99998976	-0.96609866	0.10364454	0.099897586	3.9002079	0.99994728	-0.6746995	-0.84615803	-0.84578814	0.041649867	0.094755064	0.094664227	0.038051012	0.41831997	1.7729243	1.7734532	-9.5989878	R0:N6:S0:1	84c6a2b	v.1.0.7	2022-09-16@09:42	U=U_1;mu=mu_1;t=t_1
0.00205571	1D_2_4b	-0.9660717	4	1.2363271	-1.0398501	1.9	1	0.60751016	0.60815917	1.000003	-0.9660717	0.10363489	0.099862532	3.9001859	0.99997579	-0.67470587	-0.84585438	-0.84573207	0.04164647	0.09472542	0.094685689	0.038025644	0.41836382	1.7732539	1.7735239	-9.2805916	R0:N6:S0:1	84c6a2b	v.1.0.7	2022-09-16@09:42	U=U_1;mu=mu_1;t=t_1
0.0021866	1D_2_4b	-0.96601062	4	1.2785458	-0.98212367	1.85	1	0.60506627	0.60619771	1.0000239	-0.96601062	0.1036069	0.099784497	3.9001783	1.0000186	-0.67472555	-0.845241	-0.84549741	0.041636871	0.094658499	0.094695837	0.037971915	0.41845938	1.7738566	1.773741	-8.9475086	R0:N6:S0:1	84c6a2b	v.1.0.7	2022-09-16@09:42	U=U_1;mu=mu_1;t=t_1
0.00239133	1D_2_4b	-0.96593825	4	1.3148262	-0.92365385	1.8	1	0.60152344	0.60359823	1.0000273	-0.96593825	0.10352447	0.099806305	3.900233	0.99998033	-0.67474237	-0.84486314	-0.84492004	0.041609657	0.09468008	0.094654345	0.037904677	0.41857577	1.7741773	1.7744861	-8.6106527	R0:N6:S0:1	84c6a2b	v.1.0.7	2022-09-16@09:42	U=U_1;mu=mu_1;t=t_1
0.00269889	1D_2_4b	-0.96585418	4	1.3451682	-0.86444069	1.75	1	0.59688168	0.60036074	1.0000135	-0.96585418	0.10338723	0.09993166	3.9003479	0.99986024	-0.67475561	-0.84472671	-0.84400267	0.041564698	0.094793538	0.094563565	0.03782396	0.41871274	1.7742146	1.7757667	-8.2700267	R0:N6:S0:1	84c6a2b	v.1.0.7	2022-09-16@09:42	U=U_1;mu=mu_1;t=t_1
0.00316322	1D_2_4b	-0.96575886	4	1.3695718	-0.8044842	1.7	1	0.59114099	0.59648525	0.99998087	-0.96575886	0.10319475	0.10016669	3.9005189	0.99965723	-0.67476401	-0.84484293	-0.84275107	0.041501836	0.095004374	0.094427245	0.037730036	0.41886944	1.7739639	1.777593	-7.9256348	R0:N6:S0:1	84c6a2b	v.1.0.7	2022-09-16@09:42	U=U_1;mu=mu_1;t=t_1
0.00390556	1D_2_4b	-0.96565944	4	1.3845042	-0.74057916	1.65	1	0.58310907	0.59160628	0.99996387	-0.96565944	0.10297551	0.10051483	3.9006101	0.99943754	-0.67474847	-0.84503124	-0.84159184	0.041430199	0.095317305	0.094370373	0.037621664	0.41904018	1.7737784	1.7797368	-7.5640205	R0:N6:S0:1	84c6a2b	v.1.0.7	2022-09-16@09:42	U=U_1;mu=mu_1;t=t_1
0.00519631	1D_2_4b	-0.96555678	4	1.3899652	-0.67272558	1.6	1	0.57278593	0.58572385	0.99996146	-0.96555678	0.10272837	0.100999	3.9006038	0.99919859	-0.67470411	-0.84532736	-0.84056071	0.041349424	0.095753106	0.094410353	0.037499628	0.41922219	1.773652	1.7822324	-7.1851958	R0:N6:S0:1	84c6a2b	v.1.0.7	2022-09-16@09:42	U=U_1;mu=mu_1;t=t_1
0.00766099	1D_2_4b	-0.9654342	4	1.3799666	-0.60280555	1.55	1	0.56019166	0.57756803	0.99985866	-0.9654342	0.10228012	0.101962	3.9007953	0.99862134	-0.67462907	-0.8469339	-0.83829751	0.041203368	0.096615848	0.094289037	0.037349551	0.41943826	1.772215	1.7867417	-6.7960794	R0:N6:S0:1	84c6a2b	v.1.0.7	2022-09-16@09:42	U=U_1;mu=mu_1;t=t_1
0.0136468	1D_2_4b	-0.96531697	4	1.3553998	-0.53299567	1.5	1	0.54492537	0.56844804	0.99971127	-0.96531697	0.10170344	0.10336795	3.9009934	0.99781931	-0.67450106	-0.84953763	-0.83560961	0.041015647	0.097870477	0.094181942	0.037190962	0.41964765	1.7698495	1.7927017	-6.4058755	R0:N6:S0:1	84c6a2b	v.1.0.7	2022-09-16@09:42	U=U_1;mu=mu_1;t=t_1
0.0388105	1D_2_4b	-0.96525105	4	1.3033883	-0.45712401	1.45	1	0.52470526	0.55617749	0.99947418	-0.96525105	0.10089631	0.10580186	3.9010131	0.99659254	-0.67422039	-0.85451671	-0.83255826	0.040752895	0.10004064	0.094276797	0.037037347	0.41978794	1.7657337	1.8013645	-5.9881541	R0:N6:S0:1	84c6a2b	v.1.0.7	2022-09-16@09:42	U=U_1;mu=mu_1;t=t_1
0.469169	1D_2_4b	-0.96593917	4	1.2048091	-0.38849039	1.4	1	0.50200208	0.54169287	0.99239289	-0.96593917	0.099601746	0.1123824	3.9000949	0.99376135	-0.67318858	-0.87222266	-0.83131276	0.04033412	0.10586969	0.09531437	0.037327751	0.41888227	1.7519557	1.8164044	-5.6000188	R0:N6:S0:1	84c6a2b	v.1.0.7	2022-09-16@09:42	U=U_1;mu=mu_1;t=t_1
0.340093	1D_2_4b	-0.96719683	4	1.06434	-0.33849635	1.35	1	0.48276068	0.5280951	0.9486025	-0.96719683	0.097820948	0.12728532	3.8962417	0.9882365	-0.67047305	-0.91437409	-0.83857257	0.039762184	0.11889912	0.09916344	0.038756654	0.41538314	1.7198564	1.8396339	-5.2942757	R0:N6:S0:1	84c6a2b	v.1.0.7	2022-09-16@09:42	U=U_1;mu=mu_1;t=t_1
0.261846	1D_2_4b	-0.97012414	4	0.90697986	-0.30317825	1.3	1	0.46894271	0.5162957	0.92852692	-0.97012414	0.095673981	0.15317531	3.88736	0.97973234	-0.66547389	-0.98213029	-0.86032955	0.039074993	0.14099355	0.10775273	0.041627933	0.40853348	1.667519	1.8710953	-5.0572434	R0:N6:S0:1	84c6a2b	v.1.0.7	2022-09-16@09:42	U=U_1;mu=mu_1;t=t_1
0.225764	1D_2_4b	-0.97528359	4	0.74968334	-0.27586333	1.25	1	0.45879558	0.50524888	0.91337139	-0.97528359	0.093118459	0.19269481	3.8712138	0.96804572	-0.65775748	-1.0712701	-0.90072248	0.038254738	0.17342867	0.12307698	0.045950611	0.39814618	1.5961761	1.9117585	-4.8607304	R0:N6:S0:1	84c6a2b	v.1.0.7	2022-09-16@09:42	U=U_1;mu=mu_1;t=t_1
0.20397	1D_2_4b	-0.9826696	4	0.60608475	-0.25367189	1.2	1	0.45126219	0.49473363	0.90100878	-0.9826696	0.090135638	0.24832705	3.8452598	0.95320659	-0.64706291	-1.1748095	-0.96283658	0.037289151	0.21654537	0.14718485	0.051559266	0.38440038	1.510208	1.9607674	-4.6921583	R0:N6:S0:1	84c6a2b	v.1.0.7	2022-09-16@09:42	U=U_1;mu=mu_1;t=t_1
0.189193	1D_2_4b	-0.99139421	4	0.48719786	-0.23426093	1.15	1	0.4458917	0.48433415	0.89061471	-0.99139421	0.086812566	0.31876954	3.8089617	0.93613438	-0.63403087	-1.2805276	-1.0430028	0.036197507	0.26713843	0.17993223	0.057827059	0.36859001	1.4205142	2.0130141	-4.5397959	R0:N6:S0:1	84c6a2b	v.1.0.7	2022-09-16@09:42	U=U_1;mu=mu_1;t=t_1
0.178839	1D_2_4b	-0.99995098	4	0.39922844	-0.21733891	1.1	1	0.44337414	0.47427042	0.88145915	-0.99995098	0.083415161	0.39634302	3.7664225	0.91861722	-0.62036375	-1.3755643	-1.1287499	0.035060305	0.31810148	0.21692258	0.063870614	0.35284009	1.3400669	2.059694	-4.3999452	R0:N6:S0:1	84c6a2b	v.1.0.7	2022-09-16@09:42	U=U_1;mu=mu_1;t=t_1
