# Serial 2TCM (k4=0) with k1:0.50; k2:0.50; k3:0.01
# Times[minutes] Activity[kBq/ml]
0.000000e+00 0.000000e+00
3.011960e-01 0.000000e+00
6.023920e-01 0.000000e+00
9.035880e-01 6.677802e+00
1.204784e+00 1.527180e+01
1.505980e+00 2.489741e+01
1.807176e+00 2.808039e+01
2.108372e+00 2.972126e+01
2.409568e+00 3.048092e+01
2.710764e+00 3.073488e+01
3.011960e+00 3.068706e+01
3.313156e+00 3.045384e+01
3.614352e+00 3.010163e+01
3.915548e+00 2.967310e+01
4.216744e+00 2.919537e+01
4.517940e+00 2.868783e+01
4.819136e+00 2.816315e+01
5.120332e+00 2.763088e+01
5.421528e+00 2.709830e+01
5.722724e+00 2.657097e+01
6.023920e+00 2.605314e+01
6.325116e+00 2.554799e+01
6.626312e+00 2.505783e+01
6.927508e+00 2.458424e+01
7.228704e+00 2.412822e+01
7.529900e+00 2.369026e+01
7.831096e+00 2.327055e+01
8.132292e+00 2.287010e+01
8.433488e+00 2.248834e+01
8.734684e+00 2.212448e+01
9.035880e+00 2.177868e+01
9.337076e+00 2.145040e+01
9.638272e+00 2.113835e+01
9.939468e+00 2.084286e+01
1.024066e+01 2.056265e+01
1.054186e+01 2.029706e+01
1.084306e+01 2.004566e+01
1.114425e+01 1.980717e+01
1.144545e+01 1.958168e+01
1.174664e+01 1.936763e+01
1.204784e+01 1.916530e+01
1.234904e+01 1.897312e+01
1.265023e+01 1.879137e+01
1.295143e+01 1.861868e+01
1.325262e+01 1.845510e+01
1.355382e+01 1.829966e+01
1.385502e+01 1.815204e+01
1.415621e+01 1.801180e+01
1.445741e+01 1.787813e+01
1.475860e+01 1.775120e+01
1.505980e+01 1.762999e+01
1.536100e+01 1.751463e+01
1.566219e+01 1.740455e+01
1.596339e+01 1.729917e+01
1.626458e+01 1.719872e+01
1.656578e+01 1.710247e+01
1.686698e+01 1.701026e+01
1.716817e+01 1.692203e+01
1.746937e+01 1.683717e+01
1.777056e+01 1.675574e+01
1.807176e+01 1.667757e+01
1.837296e+01 1.660216e+01
1.867415e+01 1.652960e+01
1.897535e+01 1.645976e+01
1.927654e+01 1.639221e+01
1.957774e+01 1.632698e+01
1.987894e+01 1.626406e+01
2.018013e+01 1.620310e+01
2.048133e+01 1.614392e+01
2.078252e+01 1.608677e+01
2.108372e+01 1.603133e+01
2.138492e+01 1.597732e+01
2.168611e+01 1.592498e+01
2.198731e+01 1.587418e+01
2.228850e+01 1.582468e+01
2.258970e+01 1.577632e+01
2.289090e+01 1.572941e+01
2.319209e+01 1.568371e+01
2.349329e+01 1.563902e+01
2.379448e+01 1.559533e+01
2.409568e+01 1.555282e+01
2.439688e+01 1.551130e+01
2.469807e+01 1.547060e+01
2.499927e+01 1.543072e+01
2.530046e+01 1.539185e+01
2.560166e+01 1.535382e+01
2.590286e+01 1.531648e+01
2.620405e+01 1.527976e+01
2.650525e+01 1.524394e+01
2.680644e+01 1.520888e+01
2.710764e+01 1.517443e+01
2.740884e+01 1.514048e+01
2.771003e+01 1.510725e+01
2.801123e+01 1.507472e+01
2.831242e+01 1.504277e+01
2.861362e+01 1.501130e+01
2.891482e+01 1.498025e+01
2.921601e+01 1.494990e+01
2.951721e+01 1.492013e+01
2.981840e+01 1.489084e+01
3.011960e+01 1.486193e+01
3.042080e+01 1.483342e+01
3.072199e+01 1.480553e+01
3.102319e+01 1.477814e+01
3.132438e+01 1.475116e+01
3.162558e+01 1.472452e+01
3.192678e+01 1.469819e+01
3.222797e+01 1.467242e+01
3.252917e+01 1.464713e+01
3.283036e+01 1.462222e+01
3.313156e+01 1.459761e+01
3.343276e+01 1.457325e+01
3.373395e+01 1.454935e+01
3.403515e+01 1.452591e+01
3.433634e+01 1.450285e+01
3.463754e+01 1.448009e+01
3.493874e+01 1.445758e+01
3.523993e+01 1.443530e+01
3.554113e+01 1.441350e+01
3.584232e+01 1.439210e+01
3.614352e+01 1.437101e+01
3.644472e+01 1.435019e+01
3.674591e+01 1.432957e+01
3.704711e+01 1.430918e+01
3.734830e+01 1.428923e+01
3.764950e+01 1.426964e+01
3.795070e+01 1.425034e+01
3.825189e+01 1.423128e+01
3.855309e+01 1.421240e+01
3.885428e+01 1.419367e+01
3.915548e+01 1.417537e+01
3.945668e+01 1.415741e+01
3.975787e+01 1.413974e+01
4.005907e+01 1.412230e+01
4.036026e+01 1.410504e+01
4.066146e+01 1.408792e+01
4.096266e+01 1.407105e+01
4.126385e+01 1.405455e+01
4.156505e+01 1.403835e+01
4.186624e+01 1.402238e+01
4.216744e+01 1.400661e+01
4.246864e+01 1.399099e+01
4.276983e+01 1.397548e+01
4.307103e+01 1.396025e+01
4.337222e+01 1.394534e+01
4.367342e+01 1.393071e+01
4.397462e+01 1.391630e+01
4.427581e+01 1.390205e+01
4.457701e+01 1.388794e+01
4.487820e+01 1.387393e+01
4.517940e+01 1.386013e+01
4.548060e+01 1.384665e+01
4.578179e+01 1.383344e+01
4.608299e+01 1.382043e+01
4.638418e+01 1.380759e+01
4.668538e+01 1.379488e+01
4.698658e+01 1.378227e+01
4.728777e+01 1.376973e+01
4.758897e+01 1.375750e+01
4.789016e+01 1.374554e+01
4.819136e+01 1.373381e+01
4.849256e+01 1.372225e+01
4.879375e+01 1.371083e+01
4.909495e+01 1.369952e+01
4.939614e+01 1.368829e+01
4.969734e+01 1.367711e+01
4.999854e+01 1.366624e+01
5.029973e+01 1.365562e+01
5.060093e+01 1.364521e+01
5.090212e+01 1.363495e+01
5.120332e+01 1.362482e+01
5.150452e+01 1.361479e+01
5.180571e+01 1.360483e+01
5.210691e+01 1.359492e+01
5.240810e+01 1.358523e+01
5.270930e+01 1.357577e+01
5.301050e+01 1.356652e+01
5.331169e+01 1.355744e+01
5.361289e+01 1.354848e+01
5.391408e+01 1.353962e+01
5.421528e+01 1.353083e+01
5.451648e+01 1.352210e+01
5.481767e+01 1.351340e+01
5.511887e+01 1.350495e+01
5.542006e+01 1.349672e+01
5.572126e+01 1.348867e+01
5.602246e+01 1.348076e+01
5.632365e+01 1.347296e+01
5.662485e+01 1.346524e+01
5.692604e+01 1.345759e+01
5.722724e+01 1.344998e+01
5.752844e+01 1.344240e+01
5.782963e+01 1.343501e+01
5.813083e+01 1.342783e+01
5.843202e+01 1.342082e+01
5.873322e+01 1.341395e+01
5.903442e+01 1.340719e+01
5.933561e+01 1.340050e+01
5.963681e+01 1.339388e+01
5.993800e+01 1.338730e+01
6.023920e+01 1.338074e+01
6.054040e+01 1.337423e+01
6.084159e+01 1.336795e+01
6.114279e+01 1.336184e+01
6.144398e+01 1.335587e+01
6.174518e+01 1.335002e+01
6.204638e+01 1.334426e+01
6.234757e+01 1.333857e+01
6.264877e+01 1.333292e+01
6.294996e+01 1.332731e+01
6.325116e+01 1.332171e+01
6.355236e+01 1.331614e+01
6.385355e+01 1.331077e+01
6.415475e+01 1.330556e+01
6.445594e+01 1.330049e+01
6.475714e+01 1.329553e+01
6.505834e+01 1.329066e+01
6.535953e+01 1.328584e+01
6.566073e+01 1.328108e+01
6.596192e+01 1.327634e+01
6.626312e+01 1.327162e+01
6.656432e+01 1.326691e+01
6.686551e+01 1.326228e+01
6.716671e+01 1.325783e+01
6.746790e+01 1.325352e+01
6.776910e+01 1.324932e+01
6.807030e+01 1.324521e+01
6.837149e+01 1.324117e+01
6.867269e+01 1.323719e+01
6.897388e+01 1.323323e+01
6.927508e+01 1.322931e+01
6.957628e+01 1.322539e+01
6.987747e+01 1.322147e+01
7.017867e+01 1.321761e+01
7.047986e+01 1.321391e+01
7.078106e+01 1.321034e+01
7.108226e+01 1.320688e+01
7.138345e+01 1.320350e+01
7.168465e+01 1.320019e+01
7.198584e+01 1.319693e+01
7.228704e+01 1.319370e+01
7.258824e+01 1.319050e+01
7.288943e+01 1.318730e+01
7.319063e+01 1.318411e+01
7.349182e+01 1.318091e+01
7.379302e+01 1.317780e+01
7.409422e+01 1.317484e+01
7.439541e+01 1.317199e+01
7.469661e+01 1.316923e+01
7.499780e+01 1.316654e+01
7.529900e+01 1.316390e+01
7.560020e+01 1.316131e+01
7.590139e+01 1.315874e+01
7.620259e+01 1.315619e+01
7.650378e+01 1.315364e+01
7.680498e+01 1.315110e+01
7.710618e+01 1.314854e+01
7.740737e+01 1.314603e+01
7.770857e+01 1.314364e+01
7.800976e+01 1.314137e+01
7.831096e+01 1.313919e+01
7.861216e+01 1.313708e+01
7.891335e+01 1.313502e+01
7.921455e+01 1.313300e+01
7.951574e+01 1.313101e+01
7.981694e+01 1.312903e+01
8.011814e+01 1.312706e+01
8.041933e+01 1.312509e+01
8.072053e+01 1.312312e+01
8.102172e+01 1.312113e+01
8.132292e+01 1.311919e+01
8.162412e+01 1.311737e+01
8.192531e+01 1.311565e+01
8.222651e+01 1.311400e+01
8.252770e+01 1.311242e+01
8.282890e+01 1.311088e+01
8.313010e+01 1.310938e+01
8.343129e+01 1.310790e+01
8.373249e+01 1.310643e+01
8.403368e+01 1.310497e+01
8.433488e+01 1.310351e+01
8.463608e+01 1.310204e+01
8.493727e+01 1.310056e+01
8.523847e+01 1.309906e+01
8.553966e+01 1.309767e+01
8.584086e+01 1.309637e+01
8.614206e+01 1.309515e+01
8.644325e+01 1.309400e+01
8.674445e+01 1.309290e+01
8.704564e+01 1.309183e+01
8.734684e+01 1.309078e+01
8.764804e+01 1.308976e+01
8.794923e+01 1.308874e+01
8.825043e+01 1.308772e+01
