# Evenly Resampled (Max Explicitly Sampled) FDG Plasma TAC (From Turku PET Center)
# Times[minutes] Activity[kBq/ml]
0.000000e+00 0.000000e+00
3.011960e-01 0.000000e+00
6.023920e-01 0.000000e+00
9.035880e-01 4.434190e+01
1.204784e+00 6.325601e+01
1.505980e+00 7.805534e+01
1.807176e+00 4.415823e+01
2.108372e+00 3.680470e+01
2.409568e+00 3.240197e+01
2.710764e+00 2.967180e+01
3.011960e+00 2.782520e+01
3.313156e+00 2.647125e+01
3.614352e+00 2.538668e+01
3.915548e+00 2.447599e+01
4.216744e+00 2.367583e+01
4.517940e+00 2.296001e+01
4.819136e+00 2.230221e+01
5.120332e+00 2.169347e+01
5.421528e+00 2.112756e+01
5.722724e+00 2.059989e+01
6.023920e+00 2.010685e+01
6.325116e+00 1.964527e+01
6.626312e+00 1.921229e+01
6.927508e+00 1.880526e+01
7.228704e+00 1.842163e+01
7.529900e+00 1.805899e+01
7.831096e+00 1.771562e+01
8.132292e+00 1.739720e+01
8.433488e+00 1.709405e+01
8.734684e+00 1.680427e+01
9.035880e+00 1.653323e+01
9.337076e+00 1.627642e+01
9.638272e+00 1.602837e+01
9.939468e+00 1.579853e+01
1.024066e+01 1.557649e+01
1.054186e+01 1.536514e+01
1.084306e+01 1.516534e+01
1.114425e+01 1.497106e+01
1.144545e+01 1.479005e+01
1.174664e+01 1.461148e+01
1.204784e+01 1.444614e+01
1.234904e+01 1.428195e+01
1.265023e+01 1.412955e+01
1.295143e+01 1.397845e+01
1.325262e+01 1.383661e+01
1.355382e+01 1.369739e+01
1.385502e+01 1.356409e+01
1.415621e+01 1.343560e+01
1.445741e+01 1.330917e+01
1.475860e+01 1.319034e+01
1.505980e+01 1.307151e+01
1.536100e+01 1.295923e+01
1.566219e+01 1.284906e+01
1.596339e+01 1.274027e+01
1.626458e+01 1.263785e+01
1.656578e+01 1.253543e+01
1.686698e+01 1.243626e+01
1.716817e+01 1.234077e+01
1.746937e+01 1.224528e+01
1.777056e+01 1.215367e+01
1.807176e+01 1.206436e+01
1.837296e+01 1.197505e+01
1.867415e+01 1.188930e+01
1.897535e+01 1.180553e+01
1.927654e+01 1.172176e+01
1.957774e+01 1.164052e+01
1.987894e+01 1.156172e+01
2.018013e+01 1.148292e+01
2.048133e+01 1.140509e+01
2.078252e+01 1.133076e+01
2.108372e+01 1.125644e+01
2.138492e+01 1.118211e+01
2.168611e+01 1.111087e+01
2.198731e+01 1.104060e+01
2.228850e+01 1.097033e+01
2.258970e+01 1.090056e+01
2.289090e+01 1.083398e+01
2.319209e+01 1.076741e+01
2.349329e+01 1.070084e+01
2.379448e+01 1.063536e+01
2.409568e+01 1.057219e+01
2.439688e+01 1.050902e+01
2.469807e+01 1.044586e+01
2.499927e+01 1.038371e+01
2.530046e+01 1.032369e+01
2.560166e+01 1.026367e+01
2.590286e+01 1.020366e+01
2.620405e+01 1.014401e+01
2.650525e+01 1.008695e+01
2.680644e+01 1.002989e+01
2.710764e+01 9.972830e+00
2.740884e+01 9.915770e+00
2.771003e+01 9.860699e+00
2.801123e+01 9.806428e+00
2.831242e+01 9.752156e+00
2.861362e+01 9.697884e+00
2.891482e+01 9.643831e+00
2.921601e+01 9.592210e+00
2.951721e+01 9.540590e+00
2.981840e+01 9.488969e+00
3.011960e+01 9.437349e+00
3.042080e+01 9.386288e+00
3.072199e+01 9.337206e+00
3.102319e+01 9.288125e+00
3.132438e+01 9.239043e+00
3.162558e+01 9.189962e+00
3.192678e+01 9.141161e+00
3.222797e+01 9.094522e+00
3.252917e+01 9.047882e+00
3.283036e+01 9.001243e+00
3.313156e+01 8.954603e+00
3.343276e+01 8.907964e+00
3.373395e+01 8.863104e+00
3.403515e+01 8.818824e+00
3.433634e+01 8.774544e+00
3.463754e+01 8.730265e+00
3.493874e+01 8.685985e+00
3.523993e+01 8.641992e+00
3.554113e+01 8.599996e+00
3.584232e+01 8.558001e+00
3.614352e+01 8.516005e+00
3.644472e+01 8.474010e+00
3.674591e+01 8.432014e+00
3.704711e+01 8.390496e+00
3.734830e+01 8.350715e+00
3.764950e+01 8.310933e+00
3.795070e+01 8.271152e+00
3.825189e+01 8.231370e+00
3.855309e+01 8.191589e+00
3.885428e+01 8.151828e+00
3.915548e+01 8.114194e+00
3.945668e+01 8.076559e+00
3.975787e+01 8.038924e+00
4.005907e+01 8.001289e+00
4.036026e+01 7.963655e+00
4.066146e+01 7.926020e+00
4.096266e+01 7.889412e+00
4.126385e+01 7.853857e+00
4.156505e+01 7.818301e+00
4.186624e+01 7.782746e+00
4.216744e+01 7.747191e+00
4.246864e+01 7.711635e+00
4.276983e+01 7.676080e+00
4.307103e+01 7.641837e+00
4.337222e+01 7.608293e+00
4.367342e+01 7.574749e+00
4.397462e+01 7.541205e+00
4.427581e+01 7.507661e+00
4.457701e+01 7.474117e+00
4.487820e+01 7.440573e+00
4.517940e+01 7.407938e+00
4.548060e+01 7.376335e+00
4.578179e+01 7.344732e+00
4.608299e+01 7.313130e+00
4.638418e+01 7.281527e+00
4.668538e+01 7.249924e+00
4.698658e+01 7.218321e+00
4.728777e+01 7.186718e+00
4.758897e+01 7.156845e+00
4.789016e+01 7.127111e+00
4.819136e+01 7.097377e+00
4.849256e+01 7.067643e+00
4.879375e+01 7.037908e+00
4.909495e+01 7.008174e+00
4.939614e+01 6.978440e+00
4.969734e+01 6.948716e+00
4.999854e+01 6.920775e+00
5.029973e+01 6.892835e+00
5.060093e+01 6.864894e+00
5.090212e+01 6.836954e+00
5.120332e+01 6.809013e+00
5.150452e+01 6.781073e+00
5.180571e+01 6.753133e+00
5.210691e+01 6.725192e+00
5.240810e+01 6.698435e+00
5.270930e+01 6.672211e+00
5.301050e+01 6.645987e+00
5.331169e+01 6.619763e+00
5.361289e+01 6.593539e+00
5.391408e+01 6.567315e+00
5.421528e+01 6.541091e+00
5.451648e+01 6.514867e+00
5.481767e+01 6.488643e+00
5.511887e+01 6.463987e+00
5.542006e+01 6.439400e+00
5.572126e+01 6.414813e+00
5.602246e+01 6.390226e+00
5.632365e+01 6.365639e+00
5.662485e+01 6.341052e+00
5.692604e+01 6.316466e+00
5.722724e+01 6.291879e+00
5.752844e+01 6.267292e+00
5.782963e+01 6.243933e+00
5.813083e+01 6.220903e+00
5.843202e+01 6.197872e+00
5.873322e+01 6.174842e+00
5.903442e+01 6.151812e+00
5.933561e+01 6.128782e+00
5.963681e+01 6.105751e+00
5.993800e+01 6.082721e+00
6.023920e+01 6.059691e+00
6.054040e+01 6.036899e+00
6.084159e+01 6.015344e+00
6.114279e+01 5.993788e+00
6.144398e+01 5.972232e+00
6.174518e+01 5.950677e+00
6.204638e+01 5.929121e+00
6.234757e+01 5.907566e+00
6.264877e+01 5.886010e+00
6.294996e+01 5.864455e+00
6.325116e+01 5.842899e+00
6.355236e+01 5.821418e+00
6.385355e+01 5.801255e+00
6.415475e+01 5.781093e+00
6.445594e+01 5.760930e+00
6.475714e+01 5.740767e+00
6.505834e+01 5.720604e+00
6.535953e+01 5.700442e+00
6.566073e+01 5.680279e+00
6.596192e+01 5.660116e+00
6.626312e+01 5.639953e+00
6.656432e+01 5.619790e+00
6.686551e+01 5.600204e+00
6.716671e+01 5.581353e+00
6.746790e+01 5.562502e+00
6.776910e+01 5.543650e+00
6.807030e+01 5.524799e+00
6.837149e+01 5.505947e+00
6.867269e+01 5.487096e+00
6.897388e+01 5.468244e+00
6.927508e+01 5.449393e+00
6.957628e+01 5.430541e+00
6.987747e+01 5.411690e+00
7.017867e+01 5.393202e+00
7.047986e+01 5.375582e+00
7.078106e+01 5.357961e+00
7.108226e+01 5.340340e+00
7.138345e+01 5.322720e+00
7.168465e+01 5.305099e+00
7.198584e+01 5.287479e+00
7.228704e+01 5.269858e+00
7.258824e+01 5.252237e+00
7.288943e+01 5.234617e+00
7.319063e+01 5.216996e+00
7.349182e+01 5.199376e+00
7.379302e+01 5.182439e+00
7.409422e+01 5.165971e+00
7.439541e+01 5.149503e+00
7.469661e+01 5.133034e+00
7.499780e+01 5.116566e+00
7.529900e+01 5.100098e+00
7.560020e+01 5.083630e+00
7.590139e+01 5.067161e+00
7.620259e+01 5.050693e+00
7.650378e+01 5.034225e+00
7.680498e+01 5.017757e+00
7.710618e+01 5.001288e+00
7.740737e+01 4.985150e+00
7.770857e+01 4.969758e+00
7.800976e+01 4.954366e+00
7.831096e+01 4.938974e+00
7.861216e+01 4.923582e+00
7.891335e+01 4.908190e+00
7.921455e+01 4.892798e+00
7.951574e+01 4.877406e+00
7.981694e+01 4.862014e+00
8.011814e+01 4.846621e+00
8.041933e+01 4.831229e+00
8.072053e+01 4.815837e+00
8.102172e+01 4.800445e+00
8.132292e+01 4.785460e+00
8.162412e+01 4.771071e+00
8.192531e+01 4.756682e+00
8.222651e+01 4.742293e+00
8.252770e+01 4.727904e+00
8.282890e+01 4.713515e+00
8.313010e+01 4.699126e+00
8.343129e+01 4.684736e+00
8.373249e+01 4.670347e+00
8.403368e+01 4.655958e+00
8.433488e+01 4.641569e+00
8.463608e+01 4.627180e+00
8.493727e+01 4.612791e+00
8.523847e+01 4.598402e+00
8.553966e+01 4.584815e+00
8.584086e+01 4.571359e+00
8.614206e+01 4.557904e+00
8.644325e+01 4.544448e+00
8.674445e+01 4.530993e+00
8.704564e+01 4.517537e+00
8.734684e+01 4.504081e+00
8.764804e+01 4.490626e+00
8.794923e+01 4.477170e+00
