# This file has been generated by fmt_fig7.py
#
#
# swb: [-] Normalized soil water balance (AW/TAW)
#
year;zone;date;swb
2020;apv;2020-03-16;0.961
2020;apv;2020-03-17;0.954
2020;apv;2020-03-18;0.944
2020;apv;2020-03-19;0.935
2020;apv;2020-03-20;0.925
2020;apv;2020-03-21;0.918
2020;apv;2020-03-22;0.904
2020;apv;2020-03-23;0.887
2020;apv;2020-03-24;0.874
2020;apv;2020-03-25;0.861
2020;apv;2020-03-26;0.849
2020;apv;2020-03-27;0.836
2020;apv;2020-03-28;0.819
2020;apv;2020-03-29;0.806
2020;apv;2020-03-30;0.793
2020;apv;2020-03-31;0.779
2020;apv;2020-04-01;0.771
2020;apv;2020-04-02;0.760
2020;apv;2020-04-03;0.749
2020;apv;2020-04-04;0.739
2020;apv;2020-04-05;0.730
2020;apv;2020-04-06;0.716
2020;apv;2020-04-07;0.701
2020;apv;2020-04-08;0.688
2020;apv;2020-04-09;0.675
2020;apv;2020-04-10;0.657
2020;apv;2020-04-11;0.638
2020;apv;2020-04-12;0.618
2020;apv;2020-04-13;0.603
2020;apv;2020-04-14;0.587
2020;apv;2020-04-15;0.567
2020;apv;2020-04-16;0.557
2020;apv;2020-04-17;0.567
2020;apv;2020-04-18;0.555
2020;apv;2020-04-19;0.533
2020;apv;2020-04-20;0.512
2020;apv;2020-04-21;0.497
2020;apv;2020-04-22;0.481
2020;apv;2020-04-23;0.460
2020;apv;2020-04-24;0.444
2020;apv;2020-04-25;0.428
2020;apv;2020-04-26;0.408
2020;apv;2020-04-27;0.440
2020;apv;2020-04-28;0.497
2020;apv;2020-04-29;0.531
2020;apv;2020-04-30;0.527
2020;apv;2020-05-01;0.576
2020;apv;2020-05-02;0.613
2020;apv;2020-05-03;0.654
2020;apv;2020-05-04;0.682
2020;apv;2020-05-05;0.670
2020;apv;2020-05-06;0.650
2020;apv;2020-05-07;0.626
2020;apv;2020-05-08;0.640
2020;apv;2020-05-09;0.679
2020;apv;2020-05-10;0.694
2020;apv;2020-05-11;0.680
2020;apv;2020-05-12;0.667
2020;apv;2020-05-13;0.652
2020;apv;2020-05-14;0.633
2020;apv;2020-05-15;0.613
2020;apv;2020-05-16;0.597
2020;apv;2020-05-17;0.578
2020;apv;2020-05-18;0.559
2020;apv;2020-05-19;0.540
2020;apv;2020-05-20;0.522
2020;apv;2020-05-21;0.503
2020;apv;2020-05-22;0.485
2020;apv;2020-05-23;0.471
2020;apv;2020-05-24;0.454
2020;apv;2020-05-25;0.439
2020;apv;2020-05-26;0.425
2020;apv;2020-05-27;0.408
2020;apv;2020-05-28;0.396
2020;apv;2020-05-29;0.384
2020;apv;2020-05-30;0.370
2020;apv;2020-05-31;0.356
2020;apv;2020-06-01;0.349
2020;apv;2020-06-02;0.358
2020;apv;2020-06-03;0.368
2020;apv;2020-06-04;0.373
2020;apv;2020-06-05;0.379
2020;apv;2020-06-06;0.416
2020;apv;2020-06-07;0.402
2020;apv;2020-06-08;0.384
2020;apv;2020-06-09;0.395
2020;apv;2020-06-10;0.408
2020;apv;2020-06-11;0.412
2020;apv;2020-06-12;0.399
2020;apv;2020-06-13;0.375
2020;apv;2020-06-14;0.356
2020;apv;2020-06-15;0.346
2020;apv;2020-06-16;0.336
2020;apv;2020-06-17;0.318
2020;apv;2020-06-18;0.300
2020;apv;2020-06-19;0.292
2020;apv;2020-06-20;0.287
2020;apv;2020-06-21;0.269
2020;apv;2020-06-22;0.241
2020;apv;2020-06-23;0.211
2020;apv;2020-06-24;0.223
2020;apv;2020-06-25;0.237
2020;apv;2020-06-26;0.229
2020;apv;2020-06-27;0.220
2020;apv;2020-06-28;0.201
2020;apv;2020-06-29;0.180
2020;apv;2020-06-30;0.165
2020;apv;2020-07-01;0.156
2020;apv;2020-07-02;0.148
2020;apv;2020-07-03;0.140
2020;apv;2020-07-04;0.132
2020;apv;2020-07-05;0.124
2020;apv;2020-07-06;0.115
2020;apv;2020-07-07;0.108
2020;apv;2020-07-08;0.103
2020;apv;2020-07-09;0.099
2020;apv;2020-07-10;0.094
2020;apv;2020-07-11;0.089
2020;apv;2020-07-12;0.085
2020;apv;2020-07-13;0.080
2020;apv;2020-07-14;0.076
2020;apv;2020-07-15;0.073
2020;apv;2020-07-16;0.070
2020;apv;2020-07-17;0.066
2020;apv;2020-07-18;0.062
2020;apv;2020-07-19;0.057
2020;apv;2020-07-20;0.052
2020;apv;2020-07-21;0.039
2020;apv;2020-07-22;0.029
2020;apv;2020-07-23;0.027
2020;apv;2020-07-24;0.026
2020;apv;2020-07-25;0.024
