"","xs","sds","ns"
"1","0.53","0.50",1683
"2","0.44","0.50",1683
"3","0.77","0.42",1683
"4","0.19","0.35",1683
"5","0.34","0.47",1683
"6","0.93","0.25",1683
"7","0.12","0.33",1683
