aiofiles<26,>=25
av<17,>=16.0.1
click<8.4,>=8.2.1
fastapi<0.130,>=0.115.14
httpx<1,>=0.28
json_repair<0.60,>=0.52.1
librosa<0.12,>=0.11.0
mflux<0.14,>=0.13.2
loguru<0.8,>=0.7.3
mlx-embeddings<0.1,>=0.0.4
mlx-lm<0.31,>=0.30.2
mlx-vlm<0.4,>=0.3.9
mlx-whisper<0.5,>=0.4.3
mlx>=0.30
numpy<2.4,>=2.2.0
openai-harmony<0.1,>=0.0.8
outlines<1.2,>=1.1.1
pillow<11.0,>=10.4.0
pydantic<3,>=2
python-multipart<0.0.25,>=0.0.20
rich<15,>=14
torchvision<0.30,>=0.23.0
uvicorn<0.40,>=0.35.0
