block,table2,activity,CAT,column,dtype,spaces,width,start,stop,table,default,model_min,model_max,target,lower,upper,min,max,units,definition
PERLND,ACTIVITY,GENERAL,ACTIVITY,OPNID,C,2,8,2,10,ACTIVITY,None,,,,,,,,,
PERLND,ACTIVITY,GENERAL,ACTIVITY,AIRTFG,I,2,5,10,15,ACTIVITY,0,,,,,,,,,
PERLND,ACTIVITY,GENERAL,ACTIVITY,SNOWFG,I,2,5,15,20,ACTIVITY,0,,,,,,,,,
PERLND,ACTIVITY,GENERAL,ACTIVITY,PWATFG,I,2,5,20,25,ACTIVITY,0,,,,,,,,,
PERLND,ACTIVITY,GENERAL,ACTIVITY,SEDFG,I,2,5,25,30,ACTIVITY,0,,,,,,,,,
PERLND,ACTIVITY,GENERAL,ACTIVITY,PSTFG,I,2,5,30,35,ACTIVITY,0,,,,,,,,,
PERLND,ACTIVITY,GENERAL,ACTIVITY,PWGFG,I,2,5,35,40,ACTIVITY,0,,,,,,,,,
PERLND,ACTIVITY,GENERAL,ACTIVITY,PQALFG,I,2,5,40,45,ACTIVITY,0,,,,,,,,,
PERLND,ACTIVITY,GENERAL,ACTIVITY,MSTLFG,I,2,5,45,50,ACTIVITY,0,,,,,,,,,
PERLND,ACTIVITY,GENERAL,ACTIVITY,PESTFG,I,2,5,50,55,ACTIVITY,0,,,,,,,,,
PERLND,ACTIVITY,GENERAL,ACTIVITY,NITRFG,I,2,5,55,60,ACTIVITY,0,,,,,,,,,
PERLND,ACTIVITY,GENERAL,ACTIVITY,PHOSFG,I,2,5,60,65,ACTIVITY,0,,,,,,,,,
PERLND,ACTIVITY,GENERAL,ACTIVITY,TRACFG,I,2,5,65,70,ACTIVITY,0,,,,,,,,,
PERLND,PRINT-INFO,GENERAL,SKIP,OPNID,C,2,8,2,10,PRINT-INFO,0,,,,,,,,,
PERLND,PRINT-INFO,GENERAL,SKIP,AIRTPR,I,2,5,10,15,PRINT-INFO,4,,,,,,,,,
PERLND,PRINT-INFO,GENERAL,SKIP,SNOWPR,I,2,5,15,20,PRINT-INFO,4,,,,,,,,,
PERLND,PRINT-INFO,GENERAL,SKIP,PWATPR,I,2,5,20,25,PRINT-INFO,4,,,,,,,,,
PERLND,PRINT-INFO,GENERAL,SKIP,SEDPR,I,2,5,25,30,PRINT-INFO,4,,,,,,,,,
PERLND,PRINT-INFO,GENERAL,SKIP,PSTPR,I,2,5,30,35,PRINT-INFO,4,,,,,,,,,
PERLND,PRINT-INFO,GENERAL,SKIP,PWGPR,I,2,5,35,40,PRINT-INFO,4,,,,,,,,,
PERLND,PRINT-INFO,GENERAL,SKIP,PQALPR,I,2,5,40,45,PRINT-INFO,4,,,,,,,,,
PERLND,PRINT-INFO,GENERAL,SKIP,MSTLPR,I,2,5,45,50,PRINT-INFO,4,,,,,,,,,
PERLND,PRINT-INFO,GENERAL,SKIP,PESTPR,I,2,5,50,55,PRINT-INFO,4,,,,,,,,,
PERLND,PRINT-INFO,GENERAL,SKIP,NITRPR,I,2,5,55,60,PRINT-INFO,4,,,,,,,,,
PERLND,PRINT-INFO,GENERAL,SKIP,PHOSPR,I,2,5,60,65,PRINT-INFO,4,,,,,,,,,
PERLND,PRINT-INFO,GENERAL,SKIP,TRACPR,I,2,5,65,70,PRINT-INFO,4,,,,,,,,,
PERLND,PRINT-INFO,GENERAL,SKIP,PIVL,I,2,5,70,75,PRINT-INFO,1,,,,,,,,,
PERLND,PRINT-INFO,GENERAL,SKIP,PYREND,I,2,5,75,80,PRINT-INFO,9,,,,,,,,,
PERLND,BINARY-INFO,GENERAL,SKIP,OPNID,C,2,8,2,10,BINARY-INFO,9,,,,,,,,,
