date,side,ticker,shares,price,notional_usd,est_cost_usd
2025-12-26,BUY,LLY,1.0,1077.75,1077.75,0.7149271717392518
2025-12-26,BUY,JNJ,5.0,207.6300048828125,1038.1500244140625,0.6816635970434262
2025-12-26,BUY,PEP,7.0,143.77999877929688,1006.4599914550781,0.655334964325516
2025-12-26,BUY,ABBV,4.0,229.97999572753906,919.9199829101562,0.5847872522599364
2025-12-26,BUY,WMT,6.0,111.73999786376953,670.4399871826172,0.39326762583424796
2025-12-26,BUY,GOOG,2.0,314.9599914550781,629.9199829101562,0.3639591015707877
2025-12-26,BUY,GOOGL,2.0,313.510009765625,627.02001953125,0.36188214944581676
2025-12-26,BUY,TMO,1.0,580.739990234375,580.739990234375,0.32911815435060915
2025-12-26,BUY,AAPL,2.0,273.3999938964844,546.7999877929688,0.3055577051400922
2025-12-26,BUY,AMAT,2.0,261.8999938964844,523.7999877929688,0.28982329813200913
2025-12-26,BUY,TSLA,1.0,475.19000244140625,475.19000244140625,0.25720566168521275
2025-12-26,BUY,AMD,2.0,214.99000549316406,429.9800109863281,0.22767657163838145
2025-12-26,BUY,MRK,4.0,106.77999877929688,427.1199951171875,0.22583562396399032
2025-12-26,BUY,CSCO,4.0,77.74398803710938,310.9759521484375,0.15398853165272627
