epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.9454,2.59114,3.43538,2.54327,0.57033,0.19616,0.23824,0.14677,1.73675,2.22083,2.14553,0.000297389,0.000297389,0.000297389
2,77.9159,1.73885,1.79851,2.0531,0.71006,0.52445,0.53335,0.34992,1.41129,1.32921,1.85096,0.000595436,0.000595436,0.000595436
3,115.261,1.52165,1.43457,1.90006,0.71731,0.60027,0.61061,0.41104,1.28067,1.10804,1.76357,0.000888483,0.000888483,0.000888483
4,144.116,1.40617,1.27564,1.83046,0.72581,0.66819,0.69289,0.47128,1.1718,0.9821,1.67912,0.000886502,0.000886502,0.000886502
5,177.161,1.33107,1.18151,1.78729,0.74886,0.7116,0.73804,0.50689,1.14031,0.96877,1.69675,0.000879003,0.000879003,0.000879003
6,211.547,1.3022,1.12954,1.7521,0.77883,0.73115,0.76976,0.53287,1.08769,0.89514,1.62591,0.000871504,0.000871504,0.000871504
7,243.348,1.25958,1.08652,1.72905,0.81248,0.73861,0.79662,0.55611,1.08574,0.85445,1.63717,0.000864004,0.000864004,0.000864004
8,274.044,1.22766,1.04629,1.71955,0.82911,0.736,0.81257,0.57367,1.06152,0.83412,1.60622,0.000856505,0.000856505,0.000856505
9,306.314,1.20687,1.02088,1.69471,0.80305,0.74811,0.81915,0.59574,1.05236,0.82946,1.55904,0.000849006,0.000849006,0.000849006
10,340.748,1.17743,0.98737,1.66976,0.83018,0.74625,0.82771,0.60526,1.00327,0.81253,1.57214,0.000841507,0.000841507,0.000841507
11,371.737,1.155,0.9676,1.67691,0.81259,0.77048,0.83753,0.60775,1.01585,0.79669,1.57826,0.000834007,0.000834007,0.000834007
12,405.446,1.15977,0.96396,1.6646,0.83063,0.77151,0.84368,0.60303,0.9956,0.83019,1.54042,0.000826508,0.000826508,0.000826508
13,436.12,1.15067,0.95233,1.65787,0.85315,0.76609,0.85272,0.62085,1.00046,0.76694,1.55726,0.000819009,0.000819009,0.000819009
14,470.893,1.12679,0.92517,1.65034,0.84522,0.79477,0.8582,0.62846,0.98657,0.74816,1.5156,0.00081151,0.00081151,0.00081151
