refinery_name_key,refinery_name_canonical
alon usa l p,Big Spring Refinery
alon usa l p big spring,Big Spring Refinery
alon usa l p big spring refinery,Big Spring Refinery
alon usa lp,Delek (Big Springs)
avery refinery,Valero Bill Greehey Refinery East
baytown refinery,Baytown Refinery
baytown texas,Baytown Refinery
beaumont texas,Beaumont Refinery
big spring,Big Spring Refinery
big spring refinery,Big Spring Refinery
blanchard refinery,Marathon Galveston Bay
blanchard refining,Marathon Galveston Bay
blanchard refining galveston bay refinery,Marathon Galveston Bay
borger refinery,P66 Borger refinery
borger refinery ngl process center,Borger Refinery
buckeye texas processing,Buckeye Texas Processing (Splitter)
buckeye texas processing buckeye texas processing,Buckeye Texas Processing (Splitter)
channelview,Hartree Refinery
citgo refining and chemical company l p corpus christi refinery,Citgo Corpus Christi
citgo refining and chemical company lp,Citgo Corpus Christi
citgo refining chemical company lp,Citgo Corpus Christi
corpus christi refinery,Corpus Christi Refinery
deer park,Deer Park
deer park manufacturing complex,Deer Park
deer park refining,Deer Park
deer park refining limited partnership deer park,Deer Park
deer park refining limited partnership deer park manufacturing complex,Deer Park
delek,Delek (Big Springs)
delek refining ltd,"Delek Refining, LTD"
delek refining ltd delek refining ltd,"Delek Refining, LTD - Delek Refining, LTD"
delek refining ltd tyler refinery,"Delek Refining, LTD - Tyler Refinery"
diamond shamrock refining company,DIAMOND SHAMROCK REFINING COMPANY
diamond shamrock refining company l p mckee,McKee Refinery
diamond shamrock refining company l p three rivers,Valero Three Rivers
diamond shamrock refining company mckee,McKee Refinery
el paso refinery,Marathon El Paso
exxon mobil corporation,EXXON MOBIL CORPORATION
exxon mobil corporation baytown texas,Baytown Refinery
exxon mobil corporation beaumont texas,Beaumont Refinery
flint hills resources,Flint Hills Corpus Christi
flint hills resources flint hills resources,Flint Hills Corpus Christi
galena park splitter,Galena Park Splitter
galveston bay refinery,Marathon Galveston Bay
hartree channelview llc,Hartree Refinery
hartree refinery,Hartree Refinery
hartree refining,Hartree Refinery
houston refinery lp,Lyondell Houston
houston refining lp,Lyondell Houston
kinder morgan crude condensate llc,Galena Park Splitter
kinder morgan crude condensate llc galena park splitter,Galena Park Splitter
lazarus energy holdings llc,Nixon Refinery
lazarus energy holdings llc nixon refinery,Nixon Refinery
mckee,Valero McKee
mckee refinery,Valero McKee
motiva enterprises llc,Motiva Port Arthur
motiva enterprises llc port arthur refinery,Motiva Port Arthur
nixon refinery,Nixon Refinery
p66 borger refinery,P66 Borger refinery
pasadena refining system inc,"PASADENA REFINING SYSTEM, INC."
phillips 66,P66 Borger refinery
phillips 66 borger refinery,Borger Refinery
phillips 66 borger refinery ngl process center,Borger Refinery
phillips 66 co,PHILLIPS 66 CO
phillips 66 co sweeny refinery,Sweeny Refinery
port arthur,Port Arthur
port arthur refinery,Port Arthur Refinery
premcor port arthur refinery,Premcor Port Arthur Refinery
san antonio refinery llc,SAN ANTONIO REFINERY LLC
shell oil company,Deer Park
shell oil company deer park manufacturing complex,Deer Park
sweeny refinery,Sweeny Refinery
texas international refinery,Texas International Refinery
texas international refining,TEXAS INTERNATIONAL REFINING
texas international refining llc,TEXAS INTERNATIONAL REFINING
texas international refining llc texas international refinery,Texas International Refinery
the premcor refining group inc,THE PREMCOR REFINING GROUP INC
the premcor refining group inc premcor port arthur refinery,Premcor Port Arthur Refinery
the san antonio refinery llc,"The San Antonio Refinery, LLC"
three rivers,Valero Three Rivers
total petrochemical pipeline usa inc,TOTAL PETROCHEMICAL PIPELINE USA INC
totalenergies petrochemicals refining usa inc port arthur,"TotalEnergies Petrochemicals & Refining USA, Inc. - Port Arthur"
tule refinery,Tule Refinery
tyler,"Delek Refining, LTD - Tyler Refinery"
valero bill creehey refinery e,Valero Bill Greehey Refinery East
valero bill greehey refi erv w,Valero Bill Greehey Refinery West
valero bill greehey refinery,Valero Bill Greehey Refinery East
valero bill greehey refinery e,Valero Bill Greehey Refinery East
valero bill greehey refinery w,Valero Bill Greehey Refinery West
valero houston refinery,Valero Houston Refinery
valero houston refining,Valero Houston Refinery
valero houston refining valero refining,Valero Houston Refinery
valero refining,VALERO REFINING
valero refining co texas lp,VALERO REFINING CO TEXAS LP
valero refining texas l p,VALERO REFINING  TEXAS LP
valero refining texas lp,VALERO REFINING  TEXAS LP
valero refining texas lp valero bill greehey refinery e,Valero Bill Greehey Refinery East
valero refining texas lp valero bill greehey refinery w,Valero Bill Greehey Refinery West
valero texas city refinery,Valero Texas City
valero three rivers,Valero Three Rivers
western refining company,Marathon El Paso
western refining el paso refinery,Marathon El Paso
western refining o g el paso refinery,Marathon El Paso
valero texas city,Valero Texas City
valero bill greehey refinery east,Valero Bill Greehey Refinery East
valero bill greehey refinery west,Valero Bill Greehey Refinery West
marathon galveston bay,Marathon Galveston Bay
motiva port arthur,Motiva Port Arthur
valero mckee,Valero McKee
citgo corpus christi,Citgo Corpus Christi
flint hills corpus christi,Flint Hills Corpus Christi
valero port arthur,Valero Port Arthur
valero port arthur refinery,Valero Port Arthur
lyondell houston,Lyondell Houston
