"Table 3.13 Deliveries of petroleum products for inland consumption, monthly data (thousand tonnes) ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
This worksheet contains one table,,,,,,,,,,,,
Some cells refer to notes which can be found on the notes worksheet,,,,,,,,,,,,
"Freeze panes are active on this sheet, to turn off freeze panes select 'view' then 'freeze panes' then 'unfreeze panes' or use [Alt W, F] ",,,,,,,,,,,,
,,,,,,Kerosene,,Gas/diesel oil,,,,
Date,"Total 
[note 1]","Butane and  propane 
[note 2]","Other petroleum gases 
[note 3][note 4]",Naphtha [LDF],Petrol,Jet fuel,Burning oil,White diesel,"Red diesel (Gas oil)
[note 8]
[note 9]","Fuel oil 
[note 4]",Lubricating oils,Bitumen
January 1998,6097.28,220.74,149.75,308.02,1760.13,664.28,366.43,1211.43,711.79,358.18,71.86,123.68
February 1998,5766.35,208.74,152.25,190.49,1700.1,635.27,349.72,1204.44,660.98,336.32,70.43,156.26
March 1998,6408.32,217.77,162.88,265.67,1941.44,677.35,375.1,1428.5,742.72,249.64,72.12,195.6
April 1998,5637.11,188.78,149.67,214.93,1678.25,687.77,336.64,1128.83,650.57,243.23,72.43,151.75
May 1998,5712.43,195,148.71,240,1833,774.95,187.75,1185.35,551.45,205,64.62,164.06
June 1998,5938.4,179.23,127.76,238.86,1854.53,811.51,201.13,1313.69,594.3,233.42,70.59,179.49
July 1998,6097.35,191.58,147.33,275.02,1890.95,883.65,195.73,1324.23,628.42,223.95,71.84,192.98
August 1998,6020.76,226.63,144.05,216.01,1833.35,917.15,210.98,1214.9,614.35,259.92,61.54,173.77
September 1998,5964.73,226.83,146.95,165.92,1802.85,852.92,259.8,1243.7,684.01,182.68,65.43,184.86
October 1998,6207.16,147.87,141.54,225.85,1903.37,875.91,279.37,1329.86,681.49,223.53,69.28,168.06
November 1998,6178.53,171.85,138.45,263.67,1775.01,741.59,355.27,1313.1,706.62,287.93,65.16,162.67
December 1998,6232.17,194.36,142.65,277.28,1875.38,718.54,456.08,1245.03,682.21,301.05,57.42,113.88
January 1999,5763.35,187.09,174.45,266.78,1634.45,746.46,452.27,1185.72,647.87,270.8,57.8,109.57
February 1999,6010.58,168.45,177.36,300.35,1733.63,661.17,472.37,1264.84,692.86,314.46,60.92,142.09
March 1999,6686.28,202.58,189.75,307.49,1976.75,711.94,409.22,1446.32,736.66,319.59,69.13,179.31
April 1999,5741.57,181.09,174.36,242.56,1739.93,764.98,261.77,1170.23,656.16,235.04,67.32,122.64
May 1999,5707.38,164.58,173.24,235.87,1783.74,839.18,145.29,1246.71,552.41,214.91,64.38,170.15
June 1999,5887.03,154.63,148.84,247.5,1838.18,885.29,191.11,1316.12,566.21,168.1,70.2,175.89
July 1999,6057.34,158.43,171.64,252.11,1937.49,993.38,105.21,1296.78,554.59,214.13,67.8,187.8
August 1999,6077.07,218.65,167.82,334.72,1805.2,945.63,163.92,1242.27,591.86,195.75,59.92,157.74
September 1999,5953.03,150.11,171.19,298.02,1796.73,895.63,338.98,1286.02,585.53,152.57,70.31,164.88
October 1999,6031.34,196.58,164.89,232.17,1766.17,877.13,282.25,1346.56,573.69,209.62,70.15,191.14
November 1999,6317.71,219.32,161.28,192.98,1900.86,807.78,363.12,1397.59,630.26,199.8,69.1,185.24
December 1999,6203.26,247.28,166.18,189.11,1874.35,810.78,447.5,1308.64,666.88,206.46,62.74,141.82
January 2000,5962.95,213.46,161.22,225.24,1721.64,794.64,406.21,1187.29,720.61,211.12,61.82,132.49
February 2000,5892.96,185.9,163.92,231.67,1654.65,689.91,364.05,1263.28,718.48,191.39,66.98,172.08
