Actual Date,Date,Loaded Inbound,Loaded Outbound,Total Loaded,Empty Inbound,Empty Outbound,Total Empties,Total
01/01/1995,Jan 1995,104774,74091,178865,,,36030,214895
02/01/1995,Feb 1995,99121,81879,181000,,,35102,216102
03/01/1995,Mar 1995,94125,83964,178089,,,28349,206438
04/01/1995,Apr 1995,110518,86879,197397,,,29534,226931
05/01/1995,May 1995,113688,91226,204914,,,35462,240376
06/01/1995,Jun 1995,113419,83817,197236,,,30462,227698
07/01/1995,Jul 1995,127008,88173,215181,,,40852,256033
08/01/1995,Aug 1995,127944,89354,217298,,,46836,264134
09/01/1995,Sep 1995,114541,81469,196010,,,46443,242453
10/01/1995,Oct 1995,134836,92769,227605,,,43982,271587
11/01/1995,Nov 1995,109200,89899,199099,,,44000,243099
12/01/1995,Dec 1995,104146,92793,196939,,,36927,233866
01/01/1996,Jan 1996,109235,87554,196789,,,31147,227936
02/01/1996,Feb 1996,113349,90233,203582,,,23322,226904
03/01/1996,Mar 1996,101338,101382,202720,,,27480,230200
04/01/1996,Apr 1996,127583,100782,228365,,,29775,258140
05/01/1996,May 1996,120002,87242,207244,,,32777,240021
06/01/1996,Jun 1996,132419,89889,222308,,,40016,262324
07/01/1996,Jul 1996,146839,83146,229985,,,36962,266947
08/01/1996,Aug 1996,139554,82965,222519,,,46353,268872
09/01/1996,Sep 1996,147405,82123,229528,,,48001,277529
10/01/1996,Oct 1996,150796,89676,240472,6025.0,38365.0,44390,284862
11/01/1996,Nov 1996,125971,86338,212309,6566.0,33344.0,39910,252219
12/01/1996,Dec 1996,133087,100557,233644,8744.0,28993.0,37737,271381
01/01/1997,Jan 1997,123456,78965,202421,8349.0,33135.0,41484,243905
02/01/1997,Feb 1997,126804,87586,214390,8452.0,27432.0,35884,250274
03/01/1997,Mar 1997,125040,106556,231596,11819.0,30493.0,42326,273922
04/01/1997,Apr 1997,146110,92893,239003,9216.0,28615.0,37931,276934
05/01/1997,May 1997,143330,91734,235064,8927.0,34026.0,42953,278017
06/01/1997,Jun 1997,165763,100262,266025,8524.0,35080.0,43604,309629
07/01/1997,Jul 1997,169964,96244,266208,5866.0,42926.0,48792,315000
08/01/1997,Aug 1997,160215,87518,247733,5919.0,43970.0,49775,297508
09/01/1997,Sep 1997,183914,90761,274675,5454.0,52353.0,57795,332470
10/01/1997,Oct 1997,169995,87101,257096,5266.0,52594.0,57860,314956
11/01/1997,Nov 1997,146354,96568,242922,7021.0,61048.0,68070,310992
12/01/1997,Dec 1997,145840,91138,236978,9070.0,54946.0,64014,300992
01/01/1998,Jan 1998,144758,72420,217178,10532.0,60564.0,71096,288274
02/01/1998,Feb 1998,132117,77303,209420,8932.0,57824.0,66756,276176
03/01/1998,Mar 1998,167712,88518,256230,8191.0,68913.0,77104,333334
04/01/1998,Apr 1998,172247,87271,259518,8553.0,68853.0,77406,336924
05/01/1998,May 1998,163640,84381,248021,11923.0,71675.0,83598,331619
06/01/1998,Jun 1998,183019,82615,265634,11628.0,77774.0,89402,355036
07/01/1998,Jul 1998,199138,80950,280088,10599.0,88027.0,98626,378714
08/01/1998,Aug 1998,195413,77416,272829,8883.0,90905.0,99786,372615
09/01/1998,Sep 1998,198945,73784,272729,7738.0,92277.0,100017,372746
10/01/1998,Oct 1998,180719,77171,257890,5011.0,84560.0,89572,347462
11/01/1998,Nov 1998,192661,84291,276952,7809.0,83380.0,91189,368141
12/01/1998,Dec 1998,166532,87527,254059,8399.0,74191.0,82589,336648
01/01/1999,Jan 1999,169397,77676,247073,5928.0,66310.0,72239,319312
02/01/1999,Feb 1999,172482,80000,252482,3905.0,67743.0,71647,324129
03/01/1999,Mar 1999,171913,88699,260612,4659.0,82704.0,87362,347974
04/01/1999,Apr 1999,181575,77040,258615,3584.0,60622.0,81071,339686
05/01/1999,May 1999,205640,87553,293193,4958.0,96317.0,101274,394467
06/01/1999,Jun 1999,194410,78962,273372,7196.0,93408.0,100603,373975
07/01/1999,Jul 1999,188586,74155,262741,7013.0,78207.0,85220,347961
08/01/1999,Aug 1999,214709,80581,295290,3304.0,100711.0,104015,399305
09/01/1999,Sep 1999,219080,82308,301388,2890.0,98433.0,101322,402710
10/01/1999,Oct 1999,204242,84349,288591,6483.0,101345.0,107829,396420
11/01/1999,Nov 1999,209444,91201,300645,5508.0,91150.0,96656,397301
12/01/1999,Dec 1999,185572,86697,272269,5063.0,87907.0,92971,365240
01/01/2000,Jan 2000,178672,80091,258763,3825.0,76555.0,80380,339143
02/01/2000,Feb 2000,177362,81893,259255,5950.0,70010.0,75961,335216
03/01/2000,Mar 2000,178489,97871,276360,4659.0,69745.0,74404,350764
04/01/2000,Apr 2000,200724,91014,291738,6490.0,68237.0,74727,366465
05/01/2000,May 2000,218016,97770,315786,5655.0,85330.0,90986,406772
06/01/2000,Jun 2000,203004,83305,286309,4652.0,83938.0,88586,374895
07/01/2000,Jul 2000,224865,86874,311739,2707.0,95552.0,98240,409979
08/01/2000,Aug 2000,236969,86012,322981,2853.0,108906.0,111760,434741
09/01/2000,Sep 2000,208880,80875,289755,4733.0,93106.0,97838,387593
10/01/2000,Oct 2000,235511,88541,324052,3524.0,105356.0,108880,432932
11/01/2000,Nov 2000,213065,90756,303821,4147.0,102929.0,107076,410897
12/01/2000,Dec 2000,180631,79351,259982,3897.0,87509.0,91408,351390
01/01/2001,Jan 2001,194738,77073,271811,2914.0,79710.0,82622,354433
02/01/2001,Feb 2001,155148,75520,230668,1746.0,79297.0,81044,311712
03/01/2001,Mar 2001,195605,84349,279954,3844.0,76481.0,80325,360279
04/01/2001,Apr 2001,202575,76624,279199,2898.0,84438.0,87329,366528
05/01/2001,May 2001,196120,81108,277228,6341.0,84004.0,90344,367572
06/01/2001,Jun 2001,202988,78395,281383,1687.0,79581.0,81275,362658
07/01/2001,Jul 2001,208179,77956,286135,1662.0,91237.0,92897,379032
08/01/2001,Aug 2001,221492,83301,304793,1343.0,99726.0,101069,405862
09/01/2001,Sep 2001,220204,76724,296928,2809.0,88642.0,91451,388379
10/01/2001,Oct 2001,238185,82255,320440,2207.0,112220.0,114428,434868
11/01/2001,Nov 2001,193861,75879,269740,3104.0,99267.0,102345,372085
12/01/2001,Dec 2001,191584,83660,275244,3866.0,80430.0,84299,359543
01/01/2002,Jan 2002,180528,70944,251472,5896.0,87276.0,93173,344645
02/01/2002,Feb 2002,202276,83333,285609,4303.0,73070.0,77374,362983
03/01/2002,Mar 2002,171874,87845,259719,5525.0,78362.0,83887,343606
04/01/2002,Apr 2002,227953,87960,315913,4373.0,89914.0,94287,410200
05/01/2002,May 2002,231382,84062,315444,4971.0,107783.0,112589,428033
06/01/2002,Jun 2002,236112,75814,311926,3043.0,104009.0,107051,418977
07/01/2002,Jul 2002,249618,70500,320118,4254.0,127546.0,131799,451917
08/01/2002,Aug 2002,234592,71086,305678,3217.0,118341.0,121558,427236
09/01/2002,Sep 2002,188874,53924,242798,1745.0,95796.0,97541,340339
10/01/2002,Oct 2002,163776,40608,204384,1137.0,95797.0,96934,301318
11/01/2002,Nov 2002,179463,64946,244409,2307.0,87419.0,90740,335149
12/01/2002,Dec 2002,186243,64262,250505,1857.0,109438.0,111457,361962
01/01/2003,Jan 2003,168186,57626,225812,2716.0,105818.0,108534,334346
02/01/2003,Feb 2003,158863,67645,226508,10480.0,85619.0,96098,322606
03/01/2003,Mar 2003,179800,82797,262597,9990.0,83945.0,93935,356532
04/01/2003,Apr 2003,200476,75295,275771,11552.0,113463.0,125015,400786
05/01/2003,May 2003,196565,76606,273171,10472.0,104744.0,115215,388386
06/01/2003,Jun 2003,204344,70992,275336,9348.0,71760.0,111180,386516
07/01/2003,Jul 2003,231118,80972,312090,8038.0,110558.0,118596,430686
08/01/2003,Aug 2003,206910,75338,282248,8797.0,99673.0,108469,390717
09/01/2003,Sep 2003,206315,65926,272241,7738.0,99833.0,107570,379811
10/01/2003,Oct 2003,230527,84952,315479,7057.0,114289.0,121345,436824
11/01/2003,Nov 2003,216379,82449,298828,10475.0,115590.0,126065,424893
12/01/2003,Dec 2003,210094,83941,294035,11053.0,100933.0,111986,406021
01/01/2004,Jan 2004,201652,72975,274627,9468.0,92861.0,102329,376956
02/01/2004,Feb 2004,153995,76963,230958,8939.0,74853.0,83791,314749
03/01/2004,Mar 2004,235500,94823,330323,12614.0,105461.0,118075,448398
04/01/2004,Apr 2004,227046,79825,306871,8740.0,125449.0,134190,441061
05/01/2004,May 2004,242910,84502,327412,9628.0,130990.0,140617,468029
06/01/2004,Jun 2004,260752,82218,342970,9944.0,141184.0,151128,494098
07/01/2004,Jul 2004,281817,82441,364258,11395.0,154011.0,165405,529663
08/01/2004,Aug 2004,274914,79339,354253,9410.0,157241.0,166651,520904
09/01/2004,Sep 2004,255592,76190,331782,9136.0,153458.0,162594,494376
