Year,Month,Loaded Imports,Empty Imports,Total Imports,Loaded Exports,Empty Exports,Total Exports,Total TEUs,Prior Year Change
2021,January,437609.2,254.0,437863.2,119326.75,278326.25,397653.0,835516.2,3.64
2021,February,412884.25,1270.25,414154.5,101208.15,283952.75,385160.9,799315.4,46.92
2021,March,490115.0,3350.25,493465.25,122899.0,341235.0,464134.0,957599.25,113.0
2021,April,490126.85,4554.75,494681.6,114448.5,337836.25,452284.75,946966.35,37.44
2021,May,535714.2,5088.9,540803.1,109886.0,361358.75,471244.75,1012047.85,73.99
2021,June,467763.25,1790.35,469553.6,96066.75,310810.0,406876.75,876430.35,26.75
2021,July,469360.85,120.7,469481.55,91439.5,329878.75,421318.25,890799.8,4.02
2021,August,485672.15,3201.7,488873.85,101292.0,364211.5,465503.5,954377.35,-0.78
2021,September,468059.15,1510.95,469570.1,75713.5,358581.0,434294.5,903864.6,2.29
2021,October,467286.65,1426.95,468713.6,98251.25,335679.05,433930.3,902643.9,-7.96
2021,November,403443.9,1865.4,405309.3,82741.35,323409.25,406150.6,811459.9,-8.8
2021,December,385250.7,2272.45,387523.15,70871.75,328193.85,399065.6,786588.75,-10.53
2022,January,427207.7,1266.55,428474.25,100185.25,336935.85,437121.1,865595.35,3.6
2022,February,424072.85,2739.6,426812.45,95441.0,335510.95,430951.95,857764.4,7.31
2022,March,495195.8,2580.05,497775.85,111781.25,349116.95,460898.2,958674.05,0.11
2022,April,456669.55,1594.5,458264.05,99878.0,329215.3,429093.3,887357.35,-6.29
2022,May,499960.15,1719.15,501679.3,125655.5,340565.35,466220.85,967900.15,-4.36
2022,June,444680.4,3586.95,448267.35,93889.5,334454.45,428343.95,876611.3,0.02
2022,July,485452.25,5256.6,490708.85,103899.0,340815.95,444714.95,935423.8,5.01
2022,August,403601.95,2064.75,405666.7,102319.25,297328.75,399648.0,805314.7,-15.62
2022,September,343461.65,2113.4,345575.05,77680.25,286618.0,364298.25,709873.3,-21.46
2022,October,336306.9,4356.8,340663.7,89721.75,248044.0,337765.75,678429.45,-24.84
2022,November,307079.8,4475.7,311555.5,90115.75,237672.25,327888.0,639343.5,-21.21
2022,December,352046.35,7825.9,359872.25,96518.0,272481.25,368999.25,728871.5,-7.34
2023,January,372040.0,6480.7,378520.7,102723.25,244770.0,347493.25,726013.95,-16.13
2023,February,249407.45,2175.2,251582.65,82404.0,153859.5,236263.5,487846.15,-43.13
2023,March,319961.95,5991.8,325953.75,98276.25,199003.75,297280.0,623233.75,-34.99
2023,April,343688.5,4195.25,347883.75,88201.75,252024.25,340226.0,688109.75,-22.45
2023,May,409150.15,2535.8,411685.95,101741.0,265713.25,367454.25,779140.2,-19.5
2023,June,435306.65,2069.55,437376.2,108049.5,287609.75,395659.25,833035.45,-4.97
2023,July,364208.3,641.95,364850.25,110372.25,209068.25,319440.5,684290.75,-26.85
2023,August,433224.25,2758.95,435983.2,124987.5,267045.0,392032.5,828015.7,2.82
2023,September,392608.35,1444.0,394052.35,120635.25,233752.5,354387.75,748440.1,5.43
2023,October,372454.8,109.0,372563.8,121276.5,231934.25,353210.75,725774.55,6.98
2023,November,384618.85,140.9,384759.75,111754.75,266747.25,378502.0,763261.75,19.38
2023,December,364661.0,191.0,364852.0,121574.75,256092.25,377667.0,742519.0,1.87
2024,January,441763.05,179.0,441942.05,126553.75,287156.5,413710.25,855652.3,17.86
2024,February,408764.1,139.0,408903.1,132754.5,239776.5,372531.0,781434.1,60.18
2024,March,379541.55,1018.45,380560.0,144717.8,218139.25,362857.05,743417.05,19.28
2024,April,416928.85,253.0,417181.85,133046.25,220109.0,353155.25,770337.1,11.95
2024,May,390662.7,467.85,391130.55,125962.75,235800.0,361762.75,752893.3,-3.37
2024,June,428752.8,545.0,429297.8,122515.0,275944.25,398459.25,827757.05,-0.63
2024,July,501280.9,358.45,501639.35,114888.75,323072.25,437961.0,939600.35,37.31
2024,August,509362.7,1336.6,510699.3,121743.75,328154.0,449897.75,960597.05,16.01
2024,September,497803.05,2083.85,499886.9,114702.25,340117.25,454819.5,954706.4,27.56
2024,October,462740.25,512.25,463252.5,122715.75,319057.5,441773.25,905025.75,24.7
2024,November,458164.7,238.85,458403.55,124117.0,301794.5,425911.5,884315.05,15.86
2024,December,460915.5,397.0,461312.5,110483.75,349820.5,460304.25,921616.75,24.12
2025,January,483831.25,144.0,483975.25,113270.75,326999.0,440269.75,924245.0,8.02
2025,February,413236.25,33.0,413269.25,109156.25,278972.5,388128.75,801398.0,2.55
2025,March,385530.5,1062.25,386592.75,122974.75,268838.2,391812.95,778405.7,4.71
2025,April,439230.0,654.15,439884.15,128394.0,274528.5,402922.5,842806.65,9.41
2025,May,355950.25,413.6,356363.85,120196.0,240058.75,360254.75,716618.6,-4.82
2025,June,470449.75,148.0,470597.75,126144.25,295597.75,421742.0,892339.75,7.8
2025,July,543727.8,503.0,544230.8,121507.0,354099.5,475606.5,1019837.3,8.54
2025,August,504514.25,456.65,504970.9,127378.75,326005.5,453384.25,958355.15,-0.23
2025,September,460043.75,276.0,460319.75,114693.0,308040.5,422733.5,883053.25,-7.51
2025,October,429279.75,21.0,429303.75,123764.25,295359.25,419127.5,848424.25,-6.25
2025,November,406421.0,69.5,406490.5,113706.25,262052.25,375758.5,782249.0,-11.54
2025,December,,,,,,,,
