"Table 3.12 refinery throughput and output of petroleum products, monthly data (thousand tonnes)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
This worksheet contains one table,,,,,,,,,,,,,,,
"Freeze panes are active on this sheet, to turn off freeze panes select 'view' then 'freeze panes' then 'unfreeze panes' or use [Alt W, F] ",,,,,,,,,,,,,,,
Some cells refer to notes which can be found on the notes worksheet,,,,,,,,,,,,,,,
,Refinery intake,,,Output,Of which,,,,Kerosene,,Gas/diesel oil,,,,
Date,Throughput of primary oils,Fuel ,Losses/ (gains),"Total
[Note 1]
[Note 2]",Butane and propane,Other petroleum gases [Note 3],Naphtha (LDF),Petrol,Jet fuel,Burning oil,Gas oil,White diesel,Fuel oil,Lubricating oils,Bitumen 
January 1995,7729,572,6,7150,157,12,277,2202,606,347,915.73,1431.27,854,108,119
February 1995,6591,479,0,6112,124,12,234,1897,486,248,834.12,1171.88,724,104,169
March 1995,7852,551,31,7270,155,12,238,2274,597,338,960.13,1335.87,867,119,240
April 1995,6842,492,-23,6374,158,13,228,1984,615,214,746.17,1209.83,753,120,201
May 1995,7343,497,-1,6848,167,9,210,2113,636,188,774.56,1334.44,970,93,219
June 1995,7499,534,18,6947,160,11,237,2165,679,149,798.59,1428.41,883,69,233
July 1995,7701,546,79,7075,171,10,127,2358,692,179,781.78,1363.22,905,94,252
August 1995,8097,544,31,7522,148,10,194,2417,780,148,888.38,1472.62,1007,110,219
September 1995,8111,556,-55,7610,142,11,235,2444,679,233,894.28,1478.72,1010,119,220
October 1995,8380.11,562.17,37.42,7780.53,146.63,10.88,245.37,2508.7,697.03,280.02,960,1514.55,989.46,103.76,198.2
November 1995,8286.81,555.87,-4.27,7735.21,132.22,11.23,231.82,2518.68,681.36,268.95,996.65,1469.15,980.98,98.11,200.83
December 1995,8311.01,591.17,12.15,7707.69,155.56,11.04,253.34,2373.41,687.37,330.08,957.28,1452.26,1024.88,122.1,187.39
January 1996,7783,573,16,7194,145,11,234,2336,639,356,873.59,1365.41,897,102,94
February 1996,7073,510,85,6478,115,9,246,1852,529,369,896.49,1259.51,846,83,138
March 1996,7932,552,-26,7406,146,12,211,2289,656,362,952.6,1325.4,981,110,223
April 1996,7874,536,26,7312,168,12,249,2136,671,310,894.18,1449.82,1030,107,158
May 1996,8200,545,29,7626,170,10,241,2360,789,257,888.41,1530.59,961,96,202
June 1996,8104,539,-3,7568,175,11,236,2388,734,232,845.93,1513.07,1032,81,200
July 1996,8525,556,33,7936,176,14,238,2561,830,192,895.85,1562.15,1043,60,234
August 1996,8220,553,21,7646,161,13,221,2406,785,225,915.1,1516.9,974,103,199
September 1996,8027,536,8,7483,136,13,216,2386,708,240,937.62,1550.38,886,79,200
October 1996,8365,557,-17,7824,125,14,239,2527,673,292,1031.56,1627.44,862,93,208
November 1996,8194,571,-3,7626,142,12,240,2493,648,288,1011.68,1491.32,892,98,198
December 1996,8364,595,-17,7786,169,13,254,2314,643,387,1019.44,1546.56,1074,99,134
January 1997,7972.81,565.64,9.05,7398.15,173.26,13.53,251.28,2323.14,650.48,399.44,914.66,1429.6,940.68,78.06,86.43
February 1997,7369.91,521.61,-21.08,6869.41,154.6,10.81,223.75,2125.79,662.13,302.19,901.57,1266.65,842.64,99.33,165.62
March 1997,8009.29,563.27,-22.29,7468.34,156.36,9.83,257.84,2305.46,726.25,284.85,990.13,1377.62,929.5,96.82,194.47
April 1997,8045.26,518.41,23.19,7503.47,152.57,9.19,249.92,2317.97,664.32,235.59,953.53,1546.03,953.12,109.5,199.95
May 1997,7890.76,511.76,14.61,7364.2,164.56,7.54,279.42,2242.82,677.93,251.88,846.17,1457.81,1032.91,111.42,204.09
June 1997,7730.98,515.05,45.15,7170.59,166.43,9.66,222.77,2240.84,739.63,185.41,815.86,1459.29,926.25,91.52,231.74
July 1997,8664.07,561.45,-10.85,8113.58,190.72,9.85,245.73,2359.32,781.66,243.39,977.2,1703.99,1128.75,109.8,229.2
August 1997,8429.86,550.47,1.85,7877.65,178.09,10.3,225.73,2428.47,792.65,217.15,962.58,1595.61,1018.96,94.59,217.69
September 1997,8313.07,549.84,25.05,7738.28,133.67,11.32,225.51,2460.13,693.02,274.93,908.18,1501.69,1064.66,133.31,206.08
October 1997,8108.21,565.94,17.48,7524.74,146.21,12.9,180.51,2511.28,689.31,242.85,909.69,1435.16,988.86,80.41,186.06
November 1997,8257.25,571.13,-28.37,7714.44,164.51,14.08,242.24,2465.61,665.34,349.17,944.98,1392.99,1028.8,121.67,195.12
December 1997,8232.54,576.95,32.72,7622.82,169.11,19.51,249.07,2479.41,599.61,349.08,987.9,1498.72,891.86,105.03,142
January 1998,7611.84,544.63,52.72,7014.48,160.59,25.81,187.45,2368.7,574.69,339.03,861.57,1346.63,824.2,79.04,106.8
February 1998,6799.02,438.56,149.8,6210.66,123.02,7.88,186.12,1944.83,466.67,301.11,811.67,1140.35,870.78,98.31,128.22
March 1998,8148.28,516.73,53.86,7577.69,161.82,27.98,215.55,2351.03,651.93,322.36,1035.94,1441.35,949.52,106.52,190.9
April 1998,8196.58,527.6,71.91,7597.07,167.93,34.49,238.26,2284.39,693.43,355.38,911.38,1477.71,1018.36,104.12,189.49
May 1998,8249.59,534.67,51.11,7663.8,181.9,39.86,210.06,2382.59,766.66,228.61,908.6,1565.37,937.53,97.79,225.44
June 1998,8188.39,529.98,93,7565.41,176.74,18.4,214.21,2327.03,750.09,215.95,884.75,1582.52,950.94,93.23,213.21
July 1998,8165.8,532.7,20.13,7612.97,186.16,62.27,169.18,2327.65,819.51,166.06,892.83,1556.86,964.27,112.9,232.38
August 1998,7445.65,526.49,106.23,6812.93,175.52,34.48,91.89,2225.89,730.01,190.99,794.6,1317.16,847.54,68.9,210.27
September 1998,7157.58,482.62,68.52,6606.44,125.55,31.82,185.54,2118.47,572.19,237.21,778.16,1286.7,862.83,101.29,198.49
October 1998,8092.46,541.76,106.71,7444,155.86,30.88,205.45,2381.96,684.98,323.14,900.04,1419.95,945.55,86.79,186.49
November 1998,7688.2,476.61,61.86,7149.74,163.39,48.6,206.62,2174.65,638.3,317.26,905.19,1334.33,980.61,92.35,173.7
December 1998,8053.63,524.64,169.17,7359.82,183.52,31.53,205.68,2278.8,527.53,444.91,944.89,1433.46,972.85,83.75,116.6
January 1999,7888.44,501.24,115.9,7271.29,188.88,35.44,205.47,2274.6,559.88,434.34,905.86,1415.85,942.95,77.3,96.14
February 1999,6917.56,449.67,76.49,6391.4,139.97,30.33,160.15,1902.26,502.25,389.89,921.96,1295.29,727.95,76.38,143.09
March 1999,7860.66,473.95,148.66,7238.05,168.06,32.28,217.9,2287.94,563.05,394.06,950.46,1322.42,876.23,118.58,179.56
April 1999,7302.23,475.65,120.63,6705.95,161.36,25.4,293.61,2201.25,562.09,327.98,769.9,1248.3,830.33,43.77,102.35
May 1999,7457.65,478.18,138.44,6841.03,168.07,26.95,198.64,2230.43,625.59,246.75,751.3,1294.37,909.71,72.07,151.7
June 1999,7260.4,450.56,118.17,6691.68,161.47,26.54,189.59,1984.34,720.48,185.67,754.18,1348.97,917.93,91.13,160.33
July 1999,7391.99,453.37,149.12,6789.5,182.44,35.16,214.68,2149.87,689.62,158.66,787.27,1372.81,789.01,88.22,182.54
August 1999,7310.59,481,111.2,6718.4,182.57,31.51,163.09,2181.56,671.94,206.87,796.37,1320.1,785.05,76.37,147.28
September 1999,6772.04,423.01,98.08,6250.94,118.32,32.55,205.82,1791.88,583.85,252.91,726.28,1200.93,919.87,106.58,141.41
October 1999,7082.23,447.95,155.19,6479.09,121.3,28.04,223.09,1907.82,668.59,240.98,847.25,1336.65,813.19,61.66,112.43
November 1999,7663.55,465.91,113.5,7084.14,240.27,30.53,121.85,2308.03,596.04,361.36,866.69,1277.58,997.83,60.55,130.09
December 1999,7378.65,437.51,207.62,6733.53,143.28,26.29,236.1,2010.02,505.64,353.53,889.61,1349.59,935.96,34.39,97.07
January 2000,7408.39,423.64,278.31,6706.44,151.17,25.56,258.56,1970.38,480,270.61,944.77,1476.67,946.23,17.09,57.83
February 2000,7408.39,419.96,361.9,6626.53,149.62,23.86,281.93,1979.09,497,360.92,933.98,1312.18,811.31,63.05,125.48
