name_key,variant_count,row_count,first_statement_date,last_statement_date,name_variants,facility_id
,,,,,,
,,,,,,
flint hills resources,1.0,864.0,2021-01-01,2025-11-01,Flint Hills Resources,4-3718
galena park splitter,1.0,864.0,2021-01-01,2025-11-01,GALENA PARK SPLITTER,3-1358
premcor port arthur refinery,1.0,864.0,2021-01-01,2025-11-01,Premcor Port Arthur Refinery,13-203
the san antonio refinery llc,1.0,864.0,2021-01-01,2025-11-01,"The San Antonio Refinery, LLC",1-692
deer park,1.0,840.0,2021-01-01,2025-10-01,Deer Park,3-14
mckee refinery,1.0,840.0,2021-01-01,2025-10-01,McKee Refinery,10-26
nixon refinery,1.0,840.0,2021-01-01,2025-10-01,Nixon Refinery,1-763
pasadena refining system inc,1.0,840.0,2021-01-01,2025-10-01,"PASADENA REFINING SYSTEM, INC.",3-8
sweeny refinery,1.0,840.0,2021-01-01,2025-10-01,Sweeny Refinery,3-228
valero three rivers,1.0,840.0,2021-01-01,2025-10-01,Valero Three Rivers,3-31
corpus christi refinery,1.0,816.0,2021-01-01,2025-11-01,Corpus Christi Refinery,3-182
port arthur,1.0,816.0,2021-01-01,2025-11-01,Port Arthur,13-203
valero texas city refinery,1.0,816.0,2021-01-01,2025-10-01,VALERO TEXAS CITY REFINERY,3-31
buckeye texas processing,1.0,792.0,2021-01-01,2025-09-01,Buckeye Texas Processing,4-4269
port arthur refinery,1.0,792.0,2021-01-01,2025-10-01,Port Arthur Refinery,13-203
delek refining ltd tyler refinery,1.0,744.0,2021-12-01,2025-11-01,"Delek Refining, LTD - Tyler Refinery",6-111
valero bill greehey refinery w,1.0,720.0,2021-01-01,2025-09-01,VALERO BILL GREEHEY REFINERY W,4-1365
houston refinery lp,1.0,696.0,2021-01-01,2025-03-01,HOUSTON REFINERY LP,3-6
valero bill greehey refinery e,1.0,696.0,2021-01-01,2025-09-01,VALERO BILL GREEHEY REFINERY E,4-1300
hartree channelview llc,1.0,672.0,2022-06-01,2025-11-01,"Hartree Channelview, LLC.",3-1375
valero refining,1.0,672.0,2021-01-01,2025-11-01,VALERO REFINING,3-182
texas international refinery,1.0,480.0,2023-06-01,2025-09-01,Texas International Refinery,3-3695
avery refinery,1.0,240.0,2021-07-01,2025-05-01,AVERY REFINERY,4-1300
delek refining ltd,1.0,120.0,2021-01-01,2021-10-01,"Delek Refining, LTD",6-111
valero houston refining,1.0,120.0,2021-10-01,2023-10-01,VALERO HOUSTON REFINING,3-182
tule refinery,1.0,72.0,2021-10-01,2025-01-01,Tule Refinery,4-3350
citgo refining and chemical company l p corpus christi refinery,1.0,48.0,2022-06-01,2023-06-01,CITGO Refining and Chemical Company L.P. - Corpus Christi Refinery,4-161
motiva enterprises llc port arthur refinery,1.0,48.0,2022-06-01,2023-06-01,"Motiva Enterprises, LLC - Port Arthur Refinery",3-203
totalenergies petrochemicals refining usa inc port arthur,1.0,48.0,2022-06-01,2023-06-01,"TotalEnergies Petrochemicals & Refining USA, Inc. - Port Arthur",3-78
valero houston refinery,1.0,24.0,2023-07-01,2023-07-01,Valero Houston Refinery,3-182
valero houston refining valero refining,1.0,24.0,2022-06-01,2022-06-01,VALERO HOUSTON REFINING - VALERO REFINING,3-182
big spring refinery,,,,,big spring refinery,8-2869
baytown refinery,,,,,baytown refinery,03-0012
