"2024 Form EIA-860 Data - Schedule 3, 'Fuel Switching Data' (Retired & Canceled Units Only)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40
Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Retirement Month,Retirement Year,Energy Source 1,Energy Source 2,Multiple Fuels?,Cofire Fuels?,Cofire Energy Source 1,Cofire Energy Source 2,Cofire Energy Source 3,Cofire Energy Source 4,Cofire Energy Source 5,Cofire Energy Source 6,Switch Between Oil and Natural Gas?,Switch When Operating?,Net Summer Capacity with Natural Gas (MW),Net Winter Capacity with Natural Gas (MW),Net Summer Capacity with Oil (MW),Net Winter Capacity with Oil (MW),Time to Switch From Gas to Oil,Time to Switch From Oil to Gas,Factors that Limit Switching?,Storage Limits?,Air Permit Limits?,Other Limits?
3522,Chugach Electric Assn Inc,75,Hank Nikkels Plant 1,AK,Anchorage,1,RE,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,12.5,14,16.2,11,1962,12,2016,NG,DFO,N,Y,NG,DFO,,,,,Y,Y,12.5,16.2,12.5,16.2,1H,1H,Y,Y,,
3522,Chugach Electric Assn Inc,75,Hank Nikkels Plant 1,AK,Anchorage,2,RE,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,12.5,14,16.2,3,1962,12,2016,NG,DFO,N,Y,NG,DFO,,,,,Y,Y,12.5,16.2,12.5,16.2,1H,1H,Y,Y,,
3522,Chugach Electric Assn Inc,75,Hank Nikkels Plant 1,AK,Anchorage,3,RE,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,16.3,17.7,19.4,12,1968,8,2004,NG,DFO,N,Y,NG,DFO,,,,,Y,,17.7, ,17.7, ,,,N,,,
803,Arizona Public Service Co,118,Saguaro,AZ,Pinal,1,RE,Natural Gas Steam Turbine,ST,Electric Utility,1,125,110,110,7,1954,7,2013,NG,RFO,,N,,,,,,,Y,N,110,110,110,110,UNK,6H,Y,Y,,
803,Arizona Public Service Co,118,Saguaro,AZ,Pinal,2,RE,Natural Gas Steam Turbine,ST,Electric Utility,1,125,100,100,6,1955,7,2013,NG,RFO,,N,,,,,,,Y,N,100,100,100,100,UNK,6H,Y,Y,,
807,Arkansas Electric Coop Corp,202,Carl Bailey,AR,Woodruff,1,RE,Natural Gas Steam Turbine,ST,Electric Utility,1,120,122,122,7,1966,10,2024,NG,RFO,Y,Y,NG,RFO,,,,,Y,Y,122,122,110,110,1H,1H,Y,Y,,
9617,JEA,207,St Johns River Power Park,FL,Duval,1,RE,Conventional Steam Coal,ST,Electric Utility,1,679,626,638,4,1987,1,2018,BIT,NG,Y,Y,BIT,PC,,,,,N,, , , , ,,,,,,
9617,JEA,207,St Johns River Power Park,FL,Duval,2,RE,Conventional Steam Coal,ST,Electric Utility,1,679,626,638,7,1988,1,2018,BIT,NG,Y,Y,BIT,PC,,,,,N,, , , , ,,,,,,
14328,Pacific Gas & Electric Co.,246,Humboldt Bay,CA,Humboldt,ST1,RE,Natural Gas Steam Turbine,ST,Electric Utility,1,51.2,52,52,12,1956,9,2010,NG,RFO,,Y,NG,RFO,,,,,Y,Y,51, ,51, ,,,Y,Y,Y,
14328,Pacific Gas & Electric Co.,246,Humboldt Bay,CA,Humboldt,ST2,RE,Natural Gas Steam Turbine,ST,Electric Utility,1,51.2,53,53,12,1958,9,2010,NG,RFO,,Y,NG,RFO,,,,,Y,Y,51, ,51, ,,,Y,Y,,
7294,City of Glendale - (CA),377,Grayson,CA,Los Angeles,3,RE,Natural Gas Steam Turbine,ST,Electric Utility,1,23,18,18,12,1953,3,2023,NG,LFG,Y,Y,NG,LFG,,,,,N,, , , , ,,,,,,
7294,City of Glendale - (CA),377,Grayson,CA,Los Angeles,4,RE,Natural Gas Steam Turbine,ST,Electric Utility,1,50,40,40,9,1959,5,2023,NG,LFG,Y,Y,NG,LFG,,,,,N,, , , , ,,,,,,
7294,City of Glendale - (CA),377,Grayson,CA,Los Angeles,5,RE,Natural Gas Steam Turbine,ST,Electric Utility,1,50,40,40,11,1964,4,2023,NG,LFG,Y,Y,NG,LFG,,,,,N,, , , , ,,,,,,
11208,Los Angeles Department of Water & Power,400,Haynes,CA,Los Angeles,5,RE,Natural Gas Steam Turbine,ST,Electric Utility,1,343,292,292,8,1966,6,2013,NG,,Y,Y,NG,OBG,,,,,,, , , , ,,,,Y,Y,
11208,Los Angeles Department of Water & Power,400,Haynes,CA,Los Angeles,6,RE,Natural Gas Steam Turbine,ST,Electric Utility,1,343,238,243,3,1967,6,2013,NG,,Y,Y,NG,OBG,,,,,,, , , , ,,,,Y,Y,
11208,Los Angeles Department of Water & Power,404,Scattergood,CA,Los Angeles,3,RE,Natural Gas Steam Turbine,ST,Electric Utility,1,496.8,445,450,10,1974,12,2015,NG,OBG,Y,Y,NG,OBG,,,,,N,, , , , ,,,,,,
15466,Public Service Co of Colorado,465,Arapahoe,CO,Denver,3,RE,Conventional Steam Coal,ST,Electric Utility,1,40,35,40,6,1951,12,2013,SUB,NG,Y,Y,NG,SUB,,,,,,, , , , ,,,,,,
15466,Public Service Co of Colorado,465,Arapahoe,CO,Denver,4,RE,Conventional Steam Coal,ST,Electric Utility,1,112.5,109,109,6,1955,12,2013,SUB,NG,Y,Y,NG,SUB,,,,,,, , , , ,,,,,,
15466,Public Service Co of Colorado,468,Cameo,CO,Mesa,1,RE,Conventional Steam Coal,ST,Electric Utility,1,25,23.7,23.7,0,1957,12,2010,BIT,NG,Y,Y,BIT,NG,,,,,N,, , , , ,,,,,,
15466,Public Service Co of Colorado,468,Cameo,CO,Mesa,2,RE,Conventional Steam Coal,ST,Electric Utility,1,50,49,49,0,1960,12,2010,BIT,NG,Y,Y,BIT,NG,,,,,N,, , , , ,,,,,,
15466,Public Service Co of Colorado,469,Cherokee,CO,Adams,1,RE,Conventional Steam Coal,ST,Electric Utility,1,125,107,107,6,1957,4,2012,BIT,NG,Y,Y,BIT,NG,,,,,N,, , , , ,,,,,,
15466,Public Service Co of Colorado,469,Cherokee,CO,Adams,2,RE,Conventional Steam Coal,ST,Electric Utility,1,125,106,106,6,1959,10,2011,BIT,NG,Y,Y,BIT,NG,,,,,N,, , , , ,,,,,,
15466,Public Service Co of Colorado,469,Cherokee,CO,Adams,3,RE,Conventional Steam Coal,ST,Electric Utility,1,170.5,152,152,6,1962,8,2015,BIT,NG,Y,Y,BIT,NG,,,,,N,, , , , ,,,,,,
15466,Public Service Co of Colorado,477,Valmont,CO,Boulder,5,RE,Conventional Steam Coal,ST,Electric Utility,1,191.7,184,184,5,1964,9,2017,BIT,NG,Y,Y,BIT,NG,,,,,N,, , , , ,,,,,,
15466,Public Service Co of Colorado,478,Zuni,CO,Denver,1,RE,Natural Gas Steam Turbine,ST,Electric Utility,1,40.2,26,26,0,1948,1,2010,NG,RFO,Y,Y,NG,RFO,,,,,Y,Y,39, ,39, ,,,Y,,Y,
15466,Public Service Co of Colorado,478,Zuni,CO,Denver,2,RE,Natural Gas Steam Turbine,ST,Electric Utility,1,75,60,60,6,1954,12,2015,NG,RFO,Y,Y,NG,RFO,,,,,Y,Y,59,60,59,60,1H,1H,Y,,Y,
3989,City of Colorado Springs - (CO),492,South Plant (CO),CO,El Paso,5,RE,Conventional Steam Coal,ST,Electric Utility,1,50,46,46,11,1962,12,2016,SUB,NG,Y,Y,BIT,SUB,NG,WDS,,,N,, , , , ,,,,,,
22350,Devon Power LLC,544,Devon Station,CT,New Haven,7,RE,Petroleum Liquids,ST,IPP Non-CHP,2,103.5,107,109,1,1957,11,2007,RFO,NG,Y,Y,RFO,NG,,,,,Y,,107, ,107, ,,,N,,,
22350,Devon Power LLC,544,Devon Station,CT,New Haven,8,RE,Petroleum Liquids,ST,IPP Non-CHP,2,103.5,107,109,1,1957,11,2007,RFO,NG,Y,Y,RFO,NG,,,,,Y,,107, ,107, ,,,N,,,
65448,"Generation Bridge II Connecticut, LLC",568,Bridgeport Station,CT,Fairfield,3,RE,Conventional Steam Coal,ST,IPP Non-CHP,2,400,257.6,323.5,8,1968,6,2021,SUB,DFO,Y,Y,SUB,RFO,,,,,N,, , , , ,,,,,,
54899,NAES Corporation - (DE),599,McKee Run,DE,Kent,1,RE,Natural Gas Steam Turbine,ST,IPP Non-CHP,2,18.8,17.1,17.7,1,1962,5,2017,NG,DFO,Y,Y,NG,DFO,,,,,Y,Y,17,17,17,17,1H,1H,Y,,,Y
54899,NAES Corporation - (DE),599,McKee Run,DE,Kent,2,RE,Natural Gas Steam Turbine,ST,IPP Non-CHP,2,18.8,17.4,18.2,3,1962,5,2017,NG,DFO,Y,Y,NG,DFO,,,,,Y,Y,17,17,17,17,1H,1H,Y,,,Y
54899,NAES Corporation - (DE),599,McKee Run,DE,Kent,3,RE,Natural Gas Steam Turbine,ST,IPP Non-CHP,2,113.6,103.1,104.1,5,1975,5,2021,NG,DFO,Y,Y,NG,DFO,,,,,Y,Y,102,102,102,102,1H,1H,Y,,,Y
6452,Florida Power & Light Co,609,Cape Canaveral,FL,Brevard,1,RE,Petroleum Liquids,ST,Electric Utility,1,402,396,398,4,1965,6,2010,RFO,NG,,Y,NG,RFO,,,,,Y,Y,394, ,394, ,,,N,,,
6452,Florida Power & Light Co,609,Cape Canaveral,FL,Brevard,2,RE,Petroleum Liquids,ST,Electric Utility,1,402,396,398,5,1969,6,2010,RFO,NG,,Y,NG,RFO,,,,,Y,Y,396, ,396, ,,,N,,,
6452,Florida Power & Light Co,613,Lauderdale,FL,Broward,1,RE,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,34.2,35,40,8,1970,12,2016,NG,DFO,Y,N,,,,,,,Y,Y,35,29,35,29,1H,1H,N,,,
6452,Florida Power & Light Co,613,Lauderdale,FL,Broward,10,RE,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,34.2,35,40,8,1970,12,2016,NG,DFO,Y,N,,,,,,,Y,Y,35,29,35,29,1H,1H,N,,,
6452,Florida Power & Light Co,613,Lauderdale,FL,Broward,11,RE,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,34.2,35,40,8,1970,12,2016,NG,DFO,Y,N,,,,,,,Y,Y,35,29,35,29,1H,1H,N,,,
6452,Florida Power & Light Co,613,Lauderdale,FL,Broward,12,RE,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,34.2,35,40,8,1970,12,2016,NG,DFO,Y,N,,,,,,,Y,Y,35,29,35,29,1H,1H,N,,,
