facility_id,name_latest,variant_count,name_variants,merge_to_facility_id,drop_facility_id
1-1,"The San Antonio Refinery, LLC",2,"THE SAN ANTONIO REFINERY, LLC / The San Antonio Refinery, LLC | The San Antonio Refinery, LLC",1-692,
1-692,SAN ANTONIO REFINERY LLC,1,SAN ANTONIO REFINERY LLC,,
1-763,LAZARUS ENERGY HOLDINGS LLC,1,LAZARUS ENERGY HOLDINGS LLC,,
10-13,P66 Borger refinery,1,PHILLIPS 66 | Borger Refinery,,
10-26,DIAMOND SHAMROCK REFINING COMPANY,1,DIAMOND SHAMROCK REFINING COMPANY,,
13-203,Port Arthur Refinery,1,Port Arthur Refinery,,
2-57,DIAMOND SHAMROCK REFINING COMPANY,1,DIAMOND SHAMROCK REFINING COMPANY,,
3-12,Baytown Refinery,1,"EXXON MOBIL CORPORATION | Exxon Mobil Corporation - BAYTOWN, TEXAS",,
3-1358,KINDER MORGAN CRUDE & CONDENSATE LLC,1,KINDER MORGAN CRUDE & CONDENSATE LLC,,
3-1375,"Hartree Channelview, LLC.",2,"HARTREE REFINERY | Hartree Channelview, LLC.",,
3-138,EXXON MOBIL CORPORATION,1,EXXON MOBIL CORPORATION |,,
3-14,Deer Park,2,Deer Park | SHELL OIL COMPANY,,
3-182,VALERO REFINING TEXAS LP,1,VALERO REFINING TEXAS LP,,
3-203,MOTIVA ENTERPRISES LLC,1,MOTIVA ENTERPRISES LLC,,
3-228,PHILLIPS 66 CO,1,PHILLIPS 66 CO,,
3-24,THE PREMCOR REFINING GROUP INC,1,THE PREMCOR REFINING GROUP INC,,
3-31,VALERO REFINING CO TEXAS LP,1,VALERO REFINING CO TEXAS LP,,
3-3695,TEXAS INTERNATIONAL REFINING,2,"TEXAS INTERNATIONAL REFINING | TEXAS INTERNATIONAL REFINING, LLC",,
3-52,Galveston Bay Refinery,1,Galveston Bay Refinery,,
3-6,HOUSTON REFINERY LP,1,HOUSTON REFINERY LP,,
3-78,TOTAL PETROCHEMICAL PIPELINE USA INC,1,TOTAL PETROCHEMICAL PIPELINE USA INC,,
3-8,"PASADENA REFINING SYSTEM, INC.",1,"PASADENA REFINING SYSTEM, INC.",,
4-1300,AVERY REFINERY,2,AVERY REFINERY | VALERO BILL GREEHEY REFINERY E,,
4-1365,VALERO REFINING TEXAS LP,1,VALERO REFINING TEXAS LP,,
4-161,CITGO REFINING CHEMICAL COMPANY LP,2,CITGO REFINING AND CHEMICAL COMPANY LP | CITGO REFINING CHEMICAL COMPANY LP,,
4-3350,VALERO REFINING  TEXAS LP,2,VALERO REFINING  TEXAS L P | VALERO REFINING  TEXAS LP,,
4-3718,Flint Hills Resources,1,Flint Hills Resources,,
4-4269,Buckeye Texas Processing,1,Buckeye Texas Processing,,
6-111,"Delek Refining, LTD",1,"Delek Refining, LTD",,
8-286,Big Spring Refinery,1,Big Spring Refinery,8-286,Yes
8-2869,Delek (Big Springs),1,ALON USA LP,,
8-5,El Paso Refinery,1,WESTERN REFINING COMPANY | El Paso Refinery,,
