refinery_name,received_from,code,barrels,statement_year,statement_month,statement_month_name,statement_date
Big Spring,HOLLY PLAINS,24,0.0,2025,9,september,2025-09-01
Big Spring,MESA,24,0.0,2025,9,september,2025-09-01
Big Spring,NUSTAR,24,959677.0,2025,9,september,2025-09-01
Big Spring,DK,24,6336517.0,2025,9,september,2025-09-01
Big Spring,CENTURION,24,541162.0,2025,9,september,2025-09-01
Big Spring,NGL,24,103302.0,2025,9,september,2025-09-01
Big Spring,Alon Asphalt,24,0.0,2025,9,september,2025-09-01
Big Spring,BML,24,26005.0,2025,9,september,2025-09-01
Big Spring,Medallion,24,0.0,2025,9,september,2025-09-01
Big Spring,Sunrise,24,0.0,2025,9,september,2025-09-01
Big Spring,ARROW MIDSTREAM LLC,2,36993.0,2025,9,september,2025-09-01
Big Spring,ARROW MIDSTREAM LLC,23,0.0,2025,9,september,2025-09-01
Big Spring,CW TRANSPORT,2,529.0,2025,9,september,2025-09-01
Big Spring,CW TRANSPORT,23,8219.0,2025,9,september,2025-09-01
Big Spring,ENTERPRISE TRANSPORTATION,2,79118.0,2025,9,september,2025-09-01
Big Spring,ENTERPRISE TRANSPORTATION,23,18868.0,2025,9,september,2025-09-01
Big Spring,ASPHALT EXPRESS ENTERPRISES LLC,23,138.0,2025,9,september,2025-09-01
Big Spring,ASPHALT EXPRESS ENTERPRISES LLC,4,0.0,2025,9,september,2025-09-01
Big Spring,ASPHALT TRANSPORT INC,2,0.0,2025,9,september,2025-09-01
Big Spring,ASPHALT TRANSPORT INC,23,8222.0,2025,9,september,2025-09-01
Big Spring,ASPHALT TRANSPORT INC,4,0.0,2025,9,september,2025-09-01
Big Spring,BELL GAS/BELL THUNDERBIRD,23,0.0,2025,9,september,2025-09-01
Big Spring,BELL GAS/BELL THUNDERBIRD,4,0.0,2025,9,september,2025-09-01
Big Spring,GRAMMER LOGISTICS,2,349.0,2025,9,september,2025-09-01
Big Spring,DELEK,2,0.0,2025,9,september,2025-09-01
Big Spring,DELEK,23,-4295.0,2025,9,september,2025-09-01
Big Spring,DELEK,4,0.0,2025,9,september,2025-09-01
Big Spring,Delek Refining Ltd.,23,739.0,2025,9,september,2025-09-01
Big Spring,Delek Refining Ltd.,4,0.0,2025,9,september,2025-09-01
Big Spring,"Diamond B Operating, LLC",23,11938.0,2025,9,september,2025-09-01
Big Spring,"Diamond B Operating, LLC",4,0.0,2025,9,september,2025-09-01
Big Spring,ENLINK,23,728.0,2025,9,september,2025-09-01
Big Spring,ENLINK,4,0.0,2025,9,september,2025-09-01
Big Spring,EXPRESS PETRO TRANSPORTATION LLC,2,0.0,2025,9,september,2025-09-01
Big Spring,EXPRESS PETRO TRANSPORTATION LLC,23,0.0,2025,9,september,2025-09-01
Big Spring,EXPRESS PETRO TRANSPORTATION LLC,4,0.0,2025,9,september,2025-09-01
Big Spring,FLUTTERS TRUCKING INC,23,1069.0,2025,9,september,2025-09-01
Big Spring,FH,2,0.0,2025,9,september,2025-09-01
Big Spring,FH,23,2968.0,2025,9,september,2025-09-01
Big Spring,FH,7,0.0,2025,9,september,2025-09-01
Big Spring,GPM TRANSPORTATION COMPANY,23,70.0,2025,9,september,2025-09-01
Big Spring,GPM TRANSPORTATION COMPANY,7,0.0,2025,9,september,2025-09-01
Big Spring,HERON,23,14410.0,2025,9,september,2025-09-01
Big Spring,HERON,1,0.0,2025,9,september,2025-09-01
Big Spring,Legend LLC,2,0.0,2025,9,september,2025-09-01
Big Spring,Legend LLC,23,0.0,2025,9,september,2025-09-01
Big Spring,Legend LLC,4,0.0,2025,9,september,2025-09-01
Big Spring,LION OIL TRANSPORTATION,2,0.0,2025,9,september,2025-09-01
Big Spring,LION OIL TRANSPORTATION,23,0.0,2025,9,september,2025-09-01
Big Spring,MARKWEST,2,0.0,2025,9,september,2025-09-01
Big Spring,MARKWEST,23,0.0,2025,9,september,2025-09-01
Big Spring,MARKWEST,7,0.0,2025,9,september,2025-09-01
Big Spring,PARKS FUELS,2,0.0,2025,9,september,2025-09-01
Big Spring,PARKS FUELS,23,0.0,2025,9,september,2025-09-01
Big Spring,PENMAN SERVICES LTD,23,0.0,2025,9,september,2025-09-01
Big Spring,PENMAN SERVICES LTD,1,0.0,2025,9,september,2025-09-01
Big Spring,PENTA PETRO,2,0.0,2025,9,september,2025-09-01
Big Spring,PENTA PETRO,23,0.0,2025,9,september,2025-09-01
Big Spring,"PILOT TRAVEL CENTERS, LLC",2,0.0,2025,9,september,2025-09-01
Big Spring,"PILOT TRAVEL CENTERS, LLC",23,9274.0,2025,9,september,2025-09-01
Big Spring,RLC TRUCKING LLC,23,0.0,2025,9,september,2025-09-01
Big Spring,SINCLAIR,2,0.0,2025,9,september,2025-09-01
Big Spring,SINCLAIR,23,4162.0,2025,9,september,2025-09-01
Big Spring,SOUTHWEST CONVENIENCE,2,0.0,2025,9,september,2025-09-01
Big Spring,SOUTHWEST CONVENIENCE,23,5379.0,2025,9,september,2025-09-01
Big Spring,SUNCOR,0,1468.0,2025,9,september,2025-09-01
Big Spring,TIDEPORT DISTRIBUTING,23,0.0,2025,9,september,2025-09-01
Big Spring,TRAVIS BLUECO LLC,2,0.0,2025,9,september,2025-09-01
Big Spring,TRAVIS BLUECO LLC,23,0.0,2025,9,september,2025-09-01
Big Spring,UET,2,0.0,2025,9,september,2025-09-01
Big Spring,UET,23,2097.0,2025,9,september,2025-09-01
Big Spring,UNITED PETROLEUM TRANSPORT,2,0.0,2025,9,september,2025-09-01
Big Spring,UNITED PETROLEUM TRANSPORT,23,0.0,2025,9,september,2025-09-01
Big Spring,"WEST-T-GO FUELS, INC",23,282.0,2025,9,september,2025-09-01
Big Spring,WRIGHT,23,7472.0,2025,9,september,2025-09-01
Corpus Christi Refinery,EPIC PL,3,131431.0,2025,9,september,2025-09-01
Corpus Christi Refinery,FLINT HILLS PL,23,94843.0,2025,9,september,2025-09-01
Corpus Christi Refinery,ENTERPRISE PL MARKHAM DOME,3,36371.0,2025,9,september,2025-09-01
Corpus Christi Refinery,ENTERPRISE PL MARKHAM DOME,23,64929.0,2025,9,september,2025-09-01
Corpus Christi Refinery,VALERO/ NUSTAR,23,190872.0,2025,9,september,2025-09-01
Corpus Christi Refinery,"MARKWEST PL (85FI1180, 590FC2502, CSTL 159)",23,50192.0,2025,9,september,2025-09-01
Corpus Christi Refinery,CITGO,23,99500.0,2025,9,september,2025-09-01
Corpus Christi Refinery,CITGO,24,1015156.0,2025,9,september,2025-09-01
