Month,Year,Import Loads,Import Empties,Export Loads,Export Empties,Total Loads,Total Empties,Total
Jan,2021,371392.0,1645.0,108378.0,239509.0,480130.0,241154.0,721284.0
Feb,2021,334176.0,2290.0,94698.0,193956.0,428874.0,196246.0,625120.0
Mar,2021,393159.0,2376.0,126699.0,267542.0,519858.0,269918.0,789776.0
Apr,2021,359265.0,2568.0,121671.0,229295.0,480936.0,231863.0,712799.0
May,2021,396417.0,2291.0,134458.0,263527.0,530875.0,265818.0,796693.0
Jun,2021,386771.0,1678.0,112987.0,247964.0,499758.0,249642.0,749400.0
Jul,2021,393945.0,2754.0,111159.0,250952.0,505104.0,253706.0,758810.0
Aug,2021,399716.0,1688.0,103886.0,275492.0,503602.0,277180.0,780782.0
Sep,2021,379190.0,1968.0,99893.0,243367.0,479083.0,245335.0,724418.0
Oct,2021,398535.0,2530.0,120250.0,275389.0,518785.0,277919.0,796704.0
Nov,2021,382074.0,1971.0,118155.0,257192.0,500229.0,259163.0,759392.0
Dec,2021,392348.0,3025.0,106136.0,269244.0,498484.0,272269.0,770753.0
Jan,2022,398215.0,1697.0,100663.0,264475.0,498878.0,266172.0,765050.0
Feb,2022,385539.0,674.0,103782.0,269253.0,489321.0,269927.0,759248.0
Mar,2022,442976.0,1378.0,119248.0,298515.0,562224.0,299893.0,862117.0
Apr,2022,419658.0,2279.0,113536.0,276313.0,533194.0,278592.0,811786.0
May,2022,426423.0,1353.0,118552.0,298977.0,544975.0,300330.0,845305.0
Jun,2022,440804.0,1660.0,109843.0,307646.0,550647.0,309306.0,859953.0
Jul,2022,402969.0,1821.0,95823.0,275554.0,498792.0,277375.0,776167.0
Aug,2022,428721.0,1750.0,109058.0,303662.0,537779.0,305412.0,843191.0
Sep,2022,423424.0,1770.0,103263.0,313762.0,526687.0,315532.0,842219.0
Oct,2022,382453.0,1848.0,112325.0,295922.0,494778.0,297770.0,792548.0
Nov,2022,349658.0,1975.0,110111.0,261325.0,459769.0,263300.0,723069.0
Dec,2022,303596.0,2434.0,102866.0,204115.0,406462.0,206549.0,613011.0
Jan,2023,323980.0,1537.0,112269.0,207643.0,436249.0,209180.0,645429.0
Feb,2023,288289.0,1235.0,98692.0,182936.0,386981.0,184171.0,571152.0
Mar,2023,286140.0,1423.0,117924.0,168963.0,404064.0,170386.0,574450.0
Apr,2023,320933.0,2333.0,110243.0,214938.0,431176.0,217271.0,648447.0
May,2023,351426.0,1191.0,110695.0,212995.0,462121.0,214186.0,676307.0
Jun,2023,326653.0,2168.0,101509.0,194154.0,428162.0,196322.0,624484.0
Jul,2023,372101.0,2005.0,100195.0,251140.0,472296.0,253145.0,725441.0
Aug,2023,348904.0,1730.0,106025.0,206064.0,454929.0,207794.0,662723.0
Sep,2023,339020.0,1734.0,100379.0,219407.0,439399.0,221141.0,660540.0
Oct,2023,381738.0,2372.0,111024.0,247419.0,492762.0,249791.0,742553.0
Nov,2023,324511.0,2504.0,111743.0,205633.0,436254.0,208137.0,644391.0
Dec,2023,326412.0,2489.0,104278.0,200746.0,430690.0,203235.0,633925.0
Jan,2024,342790.0,1954.0,104724.0,217878.0,447514.0,219832.0,667346.0
Feb,2024,332241.0,2365.0,101636.0,196213.0,433877.0,198578.0,632455.0
Mar,2024,353300.0,2143.0,117893.0,228312.0,471193.0,230455.0,701648.0
Apr,2024,349792.0,2330.0,121847.0,235500.0,471639.0,237830.0,709469.0
May,2024,413833.0,2054.0,124801.0,250070.0,538634.0,252124.0,790758.0
Jun,2024,366099.0,1640.0,112663.0,228575.0,478762.0,230215.0,708977.0
Jul,2024,422212.0,2602.0,112175.0,269026.0,534387.0,271628.0,806015.0
Aug,2024,395687.0,2354.0,116628.0,276222.0,512315.0,278576.0,790891.0
Sep,2024,381440.0,2069.0,118632.0,277247.0,500072.0,279316.0,779388.0
Oct,2024,380289.0,1150.0,87407.0,235521.0,467696.0,236671.0,704367.0
Nov,2024,353206.0,1483.0,123530.0,240447.0,476736.0,241930.0,718666.0
Dec,2024,348536.0,1409.0,112485.0,225928.0,461021.0,227337.0,688358.0
Jan,2025,378632.0,1658.0,98706.0,241751.0,477338.0,243409.0,720747.0
Feb,2025,356918.0,1148.0,107335.0,233839.0,464253.0,234987.0,699240.0
Mar,2025,381791.0,1482.0,134966.0,265493.0,516757.0,266975.0,783732.0
Apr,2025,386727.0,1408.0,121770.0,241289.0,508497.0,242697.0,751194.0
May,2025,382217.0,1716.0,129565.0,261200.0,511782.0,262916.0,774698.0
Jun,2025,347112.0,1545.0,120223.0,218791.0,467335.0,220336.0,687671.0
Jul,2025,420131.0,1228.0,121999.0,250910.0,542130.0,252138.0,794268.0
Aug,2025,416009.0,1928.0,127552.0,290356.0,543561.0,292284.0,835845.0
Sep,2025,363790.0,1433.0,120796.0,254235.0,484586.0,255668.0,740254.0
Oct,2025,368439.0,2338.0,126644.0,229638.0,495083.0,231976.0,727059.0
Nov,2025,382286.0,1735.0,126838.0,219493.0,509124.0,221228.0,730352.0
