CFTC_Contract_Market_Code,Market_and_Exchange_Names,CFTC_Market_Code,Common_Name
06765T,BRENT LAST DAY - NEW YORK MERCANTILE EXCHANGE,NYME,Brent Crude (Last Day Financial)
085692,COPPER- #1 - COMMODITY EXCHANGE INC.,CMX,Copper
002602,CORN - CHICAGO BOARD OF TRADE,CBT,Corn
067A28,CRUDE OIL CAL SPREAD OPT FIN  - NEW YORK MERCANTILE EXCHANGE,NYME,WTI Crude Calendar Spread Option
02365U,EUR STYLE NATURAL GAS OPTIONS - NEW YORK MERCANTILE EXCHANGE,NYME,Natural Gas (European Style Option)
061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE,CME,Feeder Cattle
111659,GASOLINE RBOB - NEW YORK MERCANTILE EXCHANGE,NYME,RBOB Gasoline
088691,GOLD - COMMODITY EXCHANGE INC.,CMX,Gold
03565B,HENRY HUB - NEW YORK MERCANTILE EXCHANGE,NYME,Henry Hub Natural Gas (Swap/Financial)
023A55,HENRY HUB LAST DAY FIN - NEW YORK MERCANTILE EXCHANGE,NYME,Henry Hub Natural Gas (Last Day Financial)
023A56,HENRY HUB PENULTIMATE FIN - NEW YORK MERCANTILE EXCHANGE,NYME,Henry Hub Natural Gas (Penultimate Fin)
03565C,HENRY HUB PENULTIMATE NAT GAS - NEW YORK MERCANTILE EXCHANGE,NYME,Henry Hub Natural Gas (Penultimate Financial)
ICEU-B,ICE Brent Crude Futures and Options - ICE Futures Europe,ICEU,ICE Brent Crude
ICEU-Cocoa,ICE Cocoa Futures and Options - ICE Futures Europe,ICEU,Cocoa
ICEU-G,ICE Gasoil Futures and Options - ICE Futures Europe,ICEU,ICE Gasoil
ICEU-W,ICE White Sugar Futures and Options- ICE Futures Europe,ICEU,White Sugar
054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,CME,Lean Hogs
057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,CME,Live Cattle
023651,NAT GAS NYME - NEW YORK MERCANTILE EXCHANGE,NYME,Natural Gas (Physical)
023A84,NATURAL GAS CAL SPREAD OPT FIN - NEW YORK MERCANTILE EXCHANGE,NYME,Natural Gas Calendar Spread Option
022651,NY HARBOR ULSD - NEW YORK MERCANTILE EXCHANGE,NYME,NY Harbor ULSD (Heating Oil)
06665O,PROPANE - NEW YORK MERCANTILE EXCHANGE,NYME,Propane
084691,SILVER - COMMODITY EXCHANGE INC.,CMX,Silver
026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,CBT,Soybean Meal
007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,CBT,Soybean Oil
005602,SOYBEANS - CHICAGO BOARD OF TRADE,CBT,Soybeans
001612,WHEAT-HRW - CHICAGO BOARD OF TRADE,CBT,HRW Wheat (Hard Red Winter)
001602,WHEAT-SRW - CHICAGO BOARD OF TRADE,CBT,SRW Wheat (Soft Red Winter)
0676A5,WTI  HOUSTON ARGUS/WTI TR MO - NEW YORK MERCANTILE EXCHANGE,NYME,WTI Houston (Argus)
06765A,WTI FINANCIAL CRUDE OIL - NEW YORK MERCANTILE EXCHANGE,NYME,WTI Crude Oil (Financial)
067A71,WTI MIDLAND ARGUS VS WTI TRADE - NEW YORK MERCANTILE EXCHANGE,NYME,WTI Midland (Argus)
06765L,WTI-BRENT CALENDAR - NEW YORK MERCANTILE EXCHANGE,NYME,WTI-Brent Calendar Spread
067651,WTI-PHYSICAL - NEW YORK MERCANTILE EXCHANGE,NYME,WTI Crude Oil (Physical)
