statement_year,statement_month,expected_facilities,actual_refineries
2021,4,26,3
2021,5,26,6
2021,6,26,3
2021,8,25,4
2021,9,26,11
2021,11,26,4
2022,2,26,3
2022,4,27,6
2022,5,27,4
2022,7,27,3
2022,10,27,5
2022,12,27,8
2023,1,27,6
2023,4,27,6
2023,5,27,3
2023,8,28,3
2023,9,28,3
2023,12,28,6
2024,1,28,8
2024,2,28,8
2024,5,28,8
2024,6,28,7
2025,4,27,7
