week_number,week_ended,commodity,cars
52,2022-01-01,Chemicals,1040.0
52,2022-01-01,Coal,130.0
52,2022-01-01,"Farm Products excl. Grain, and Food",1327.0
52,2022-01-01,Forest Products,40.0
52,2022-01-01,Grain,1553.0
52,2022-01-01,Metallic Ores and Metals,4395.0
52,2022-01-01,Motor Vehicles and Parts,2733.0
52,2022-01-01,Nonmetallic Minerals,3414.0
52,2022-01-01,Other,652.0
52,2022-01-01,Petroleum and Petroleum Products,1138.0
1,2022-01-08,Chemicals,821.0
1,2022-01-08,Coal,28.0
1,2022-01-08,"Farm Products excl. Grain, and Food",1896.0
1,2022-01-08,Forest Products,32.0
1,2022-01-08,Grain,1276.0
1,2022-01-08,Metallic Ores and Metals,4388.0
1,2022-01-08,Motor Vehicles and Parts,3321.0
1,2022-01-08,Nonmetallic Minerals,4458.0
1,2022-01-08,Other,626.0
1,2022-01-08,Petroleum and Petroleum Products,1157.0
2,2022-01-15,Chemicals,979.0
2,2022-01-15,Coal,110.0
2,2022-01-15,"Farm Products excl. Grain, and Food",2188.0
2,2022-01-15,Forest Products,24.0
2,2022-01-15,Grain,1886.0
2,2022-01-15,Metallic Ores and Metals,5486.0
2,2022-01-15,Motor Vehicles and Parts,4263.0
2,2022-01-15,Nonmetallic Minerals,4602.0
2,2022-01-15,Other,902.0
2,2022-01-15,Petroleum and Petroleum Products,1582.0
3,2022-01-22,Chemicals,971.0
3,2022-01-22,Coal,85.0
3,2022-01-22,"Farm Products excl. Grain, and Food",2045.0
3,2022-01-22,Forest Products,23.0
3,2022-01-22,Grain,1896.0
3,2022-01-22,Metallic Ores and Metals,5363.0
3,2022-01-22,Motor Vehicles and Parts,3958.0
3,2022-01-22,Nonmetallic Minerals,4393.0
3,2022-01-22,Other,680.0
3,2022-01-22,Petroleum and Petroleum Products,1516.0
4,2022-01-29,Chemicals,943.0
4,2022-01-29,Coal,63.0
4,2022-01-29,"Farm Products excl. Grain, and Food",2221.0
4,2022-01-29,Forest Products,15.0
4,2022-01-29,Grain,1839.0
4,2022-01-29,Metallic Ores and Metals,4995.0
4,2022-01-29,Motor Vehicles and Parts,4174.0
4,2022-01-29,Nonmetallic Minerals,4508.0
4,2022-01-29,Other,740.0
4,2022-01-29,Petroleum and Petroleum Products,1428.0
5,2022-02-05,Chemicals,954.0
5,2022-02-05,Coal,54.0
5,2022-02-05,"Farm Products excl. Grain, and Food",2442.0
5,2022-02-05,Forest Products,60.0
5,2022-02-05,Grain,1746.0
5,2022-02-05,Metallic Ores and Metals,5544.0
5,2022-02-05,Motor Vehicles and Parts,3674.0
5,2022-02-05,Nonmetallic Minerals,4504.0
5,2022-02-05,Other,789.0
5,2022-02-05,Petroleum and Petroleum Products,1467.0
6,2022-02-12,Chemicals,890.0
6,2022-02-12,Coal,27.0
6,2022-02-12,"Farm Products excl. Grain, and Food",1901.0
6,2022-02-12,Forest Products,28.0
6,2022-02-12,Grain,1795.0
6,2022-02-12,Metallic Ores and Metals,4943.0
6,2022-02-12,Motor Vehicles and Parts,3856.0
6,2022-02-12,Nonmetallic Minerals,4455.0
6,2022-02-12,Other,624.0
6,2022-02-12,Petroleum and Petroleum Products,1659.0
7,2022-02-19,Chemicals,1006.0
7,2022-02-19,Coal,45.0
7,2022-02-19,"Farm Products excl. Grain, and Food",2391.0
7,2022-02-19,Forest Products,21.0
7,2022-02-19,Grain,1537.0
7,2022-02-19,Metallic Ores and Metals,5190.0
7,2022-02-19,Motor Vehicles and Parts,4329.0
7,2022-02-19,Nonmetallic Minerals,4376.0
7,2022-02-19,Other,978.0
7,2022-02-19,Petroleum and Petroleum Products,1546.0
8,2022-02-26,Chemicals,902.0
8,2022-02-26,Coal,31.0
8,2022-02-26,"Farm Products excl. Grain, and Food",2378.0
8,2022-02-26,Forest Products,17.0
8,2022-02-26,Grain,1497.0
8,2022-02-26,Metallic Ores and Metals,5244.0
8,2022-02-26,Motor Vehicles and Parts,3729.0
8,2022-02-26,Nonmetallic Minerals,4804.0
8,2022-02-26,Other,731.0
8,2022-02-26,Petroleum and Petroleum Products,1652.0
9,2022-03-05,Chemicals,1036.0
9,2022-03-05,Coal,34.0
9,2022-03-05,"Farm Products excl. Grain, and Food",2430.0
9,2022-03-05,Forest Products,38.0
9,2022-03-05,Grain,1415.0
9,2022-03-05,Metallic Ores and Metals,5206.0
9,2022-03-05,Motor Vehicles and Parts,4659.0
9,2022-03-05,Nonmetallic Minerals,4539.0
9,2022-03-05,Other,657.0
9,2022-03-05,Petroleum and Petroleum Products,1880.0
10,2022-03-12,Chemicals,855.0
10,2022-03-12,Coal,61.0
10,2022-03-12,"Farm Products excl. Grain, and Food",2518.0
10,2022-03-12,Forest Products,46.0
10,2022-03-12,Grain,1601.0
10,2022-03-12,Metallic Ores and Metals,5546.0
10,2022-03-12,Motor Vehicles and Parts,4076.0
10,2022-03-12,Nonmetallic Minerals,4540.0
10,2022-03-12,Other,754.0
10,2022-03-12,Petroleum and Petroleum Products,1715.0
11,2022-03-19,Chemicals,913.0
11,2022-03-19,Coal,90.0
11,2022-03-19,"Farm Products excl. Grain, and Food",2168.0
11,2022-03-19,Forest Products,72.0
11,2022-03-19,Grain,1672.0
11,2022-03-19,Metallic Ores and Metals,5995.0
11,2022-03-19,Motor Vehicles and Parts,4159.0
11,2022-03-19,Nonmetallic Minerals,4703.0
11,2022-03-19,Other,778.0
11,2022-03-19,Petroleum and Petroleum Products,1885.0
12,2022-03-26,Chemicals,832.0
12,2022-03-26,Coal,90.0
12,2022-03-26,"Farm Products excl. Grain, and Food",2078.0
12,2022-03-26,Forest Products,52.0
12,2022-03-26,Grain,1702.0
12,2022-03-26,Metallic Ores and Metals,5674.0
12,2022-03-26,Motor Vehicles and Parts,4438.0
12,2022-03-26,Nonmetallic Minerals,4473.0
12,2022-03-26,Other,772.0
12,2022-03-26,Petroleum and Petroleum Products,1747.0
13,2022-04-02,Chemicals,1098.0
13,2022-04-02,Coal,44.0
13,2022-04-02,"Farm Products excl. Grain, and Food",2269.0
13,2022-04-02,Forest Products,34.0
13,2022-04-02,Grain,1539.0
13,2022-04-02,Metallic Ores and Metals,5329.0
13,2022-04-02,Motor Vehicles and Parts,4350.0
13,2022-04-02,Nonmetallic Minerals,4212.0
13,2022-04-02,Other,1003.0
13,2022-04-02,Petroleum and Petroleum Products,1587.0
14,2022-04-09,Chemicals,885.0
14,2022-04-09,Coal,150.0
14,2022-04-09,"Farm Products excl. Grain, and Food",2493.0
14,2022-04-09,Forest Products,19.0
14,2022-04-09,Grain,1486.0
14,2022-04-09,Metallic Ores and Metals,6179.0
14,2022-04-09,Motor Vehicles and Parts,4183.0
14,2022-04-09,Nonmetallic Minerals,4787.0
14,2022-04-09,Other,832.0
14,2022-04-09,Petroleum and Petroleum Products,1275.0
15,2022-04-16,Chemicals,962.0
15,2022-04-16,Coal,32.0
15,2022-04-16,"Farm Products excl. Grain, and Food",2219.0
15,2022-04-16,Forest Products,9.0
15,2022-04-16,Grain,1878.0
15,2022-04-16,Metallic Ores and Metals,6251.0
15,2022-04-16,Motor Vehicles and Parts,4032.0
15,2022-04-16,Nonmetallic Minerals,4823.0
15,2022-04-16,Other,676.0
15,2022-04-16,Petroleum and Petroleum Products,1681.0
16,2022-04-23,Chemicals,924.0
16,2022-04-23,Coal,136.0
16,2022-04-23,"Farm Products excl. Grain, and Food",2054.0
16,2022-04-23,Forest Products,29.0
16,2022-04-23,Grain,1788.0
16,2022-04-23,Metallic Ores and Metals,5754.0
16,2022-04-23,Motor Vehicles and Parts,4259.0
16,2022-04-23,Nonmetallic Minerals,4421.0
16,2022-04-23,Other,1189.0
16,2022-04-23,Petroleum and Petroleum Products,1665.0
17,2022-04-30,Chemicals,1033.0
17,2022-04-30,Coal,93.0
17,2022-04-30,"Farm Products excl. Grain, and Food",2049.0
17,2022-04-30,Forest Products,28.0
17,2022-04-30,Grain,1779.0
17,2022-04-30,Metallic Ores and Metals,6398.0
17,2022-04-30,Motor Vehicles and Parts,3985.0
17,2022-04-30,Nonmetallic Minerals,4539.0
17,2022-04-30,Other,851.0
17,2022-04-30,Petroleum and Petroleum Products,1754.0
18,2022-05-07,Chemicals,986.0
18,2022-05-07,Coal,63.0
18,2022-05-07,"Farm Products excl. Grain, and Food",2206.0
18,2022-05-07,Forest Products,26.0
18,2022-05-07,Grain,1553.0
18,2022-05-07,Metallic Ores and Metals,5873.0
18,2022-05-07,Motor Vehicles and Parts,3703.0
18,2022-05-07,Nonmetallic Minerals,4675.0
18,2022-05-07,Other,990.0
18,2022-05-07,Petroleum and Petroleum Products,1658.0
19,2022-05-14,Chemicals,765.0
19,2022-05-14,Coal,64.0
19,2022-05-14,"Farm Products excl. Grain, and Food",2253.0
19,2022-05-14,Forest Products,25.0
19,2022-05-14,Grain,1170.0
19,2022-05-14,Metallic Ores and Metals,5981.0
19,2022-05-14,Motor Vehicles and Parts,3902.0
19,2022-05-14,Nonmetallic Minerals,4375.0
19,2022-05-14,Other,1124.0
19,2022-05-14,Petroleum and Petroleum Products,1572.0
20,2022-05-21,Chemicals,845.0
