Month,Year,Import Full,Import Empty,Export Full,Export Empty,Import Total,Export Total,Total
Jan,2022,250654.0,2569.0,90886.0,132604.0,253223.0,223490.0,476713.0
Feb,2022,220398.0,4057.0,103690.0,132268.0,224455.0,235958.0,460413.0
Mar,2022,211297.0,5050.0,109372.0,118971.0,216347.0,228343.0,444690.0
Apr,2022,247177.0,6330.0,125330.0,116946.0,253507.0,242276.0,495783.0
May,2022,253508.0,5686.0,122287.0,137907.0,259194.0,260194.0,519388.0
Jun,2022,236481.0,4198.0,122332.0,131096.0,240679.0,253428.0,494107.0
Jul,2022,251761.0,4574.0,122928.0,151537.0,256335.0,274465.0,530800.0
Aug,2022,290915.0,4970.0,119192.0,160438.0,295885.0,279630.0,575515.0
Sep,2022,210367.0,3939.0,100236.0,121737.0,214306.0,221973.0,436279.0
Oct,2022,263828.0,4534.0,116297.0,168147.0,268362.0,284444.0,552806.0
Nov,2022,219089.0,4424.0,108577.0,132793.0,223513.0,241370.0,464883.0
Dec,2022,217628.0,3960.0,107724.0,111448.0,221588.0,219172.0,440760.0
Jan,2023,210804.0,2649.0,110305.0,97956.0,213453.0,208261.0,421714.0
Feb,2023,184189.0,3100.0,110772.0,96732.0,187289.0,207504.0,394793.0
Mar,2023,170295.0,4245.0,118101.0,75239.0,174540.0,193340.0,367880.0
Apr,2023,195679.0,6571.0,118277.0,88159.0,202250.0,206436.0,408686.0
May,2023,188728.0,4920.0,116247.0,90616.0,193648.0,206863.0,400511.0
Jun,2023,180357.0,5063.0,111116.0,85290.0,185420.0,196406.0,381826.0
Jul,2023,230225.0,4104.0,105640.0,107618.0,234329.0,213258.0,447587.0
Aug,2023,202423.0,2746.0,101539.0,106586.0,205169.0,208125.0,413294.0
Sep,2023,199893.0,4116.0,111530.0,87387.0,204009.0,198917.0,402926.0
Oct,2023,220298.0,3500.0,111774.0,113435.0,223798.0,225209.0,449007.0
Nov,2023,211056.0,4341.0,107623.0,94125.0,215397.0,201748.0,417145.0
Dec,2023,208382.0,2326.0,113197.0,98382.0,210708.0,211579.0,422287.0
Jan,2024,219079.0,1042.0,104685.0,103229.0,220121.0,207914.0,428035.0
Feb,2024,218997.0,2839.0,121933.0,107904.0,221836.0,229837.0,451673.0
Mar,2024,211033.0,4801.0,127997.0,92167.0,215834.0,220164.0,435998.0
Apr,2024,211881.0,7485.0,122514.0,99091.0,219366.0,221605.0,440971.0
May,2024,233675.0,6961.0,120664.0,129032.0,240636.0,249696.0,490332.0
Jun,2024,226987.0,5544.0,120366.0,101232.0,232531.0,221598.0,454129.0
Jul,2024,245289.0,3638.0,113878.0,126311.0,248927.0,240189.0,489116.0
Aug,2024,244306.0,4989.0,117828.0,122919.0,249295.0,240747.0,490042.0
Sep,2024,234629.0,4726.0,101728.0,109634.0,239355.0,211362.0,450717.0
Oct,2024,240768.0,3040.0,99361.0,151092.0,243808.0,250453.0,494261.0
Nov,2024,229488.0,2999.0,116004.0,129657.0,232487.0,245661.0,478148.0
Dec,2024,223497.0,3439.0,109931.0,105273.0,226936.0,215204.0,442140.0
Jan,2025,206405.0,2618.0,96853.0,112345.0,209023.0,209198.0,418221.0
Feb,2025,235971.0,3190.0,126924.0,113762.0,239161.0,240686.0,479847.0
Mar,2025,265937.0,6545.0,142612.0,118901.0,272482.0,261513.0,533995.0
Apr,2025,252631.0,3017.0,126880.0,132981.0,255648.0,259861.0,515509.0
May,2025,238090.0,4791.0,119873.0,138142.0,242881.0,258015.0,500896.0
Jun,2025,191898.0,4872.0,115496.0,98135.0,196770.0,213631.0,410401.0
Jul,2025,239584.0,3673.0,106741.0,126691.0,243257.0,233432.0,476689.0
Aug,2025,262050.0,5164.0,112548.0,154276.0,267214.0,266824.0,534038.0
Sep,2025,239596.0,3250.0,115719.0,127427.0,242846.0,243146.0,485992.0
Oct,2025,219528.0,3138.0,116769.0,113500.0,222666.0,230269.0,452935.0
Nov,2025,222775.0,3109.0,112132.0,105317.0,225884.0,217449.0,443333.0
