week_number,week_ended,commodity,cars
52,2022-01-01,Chemicals,44115.0
52,2022-01-01,Coal,63201.0
52,2022-01-01,"Farm Products excl. Grain, and Food",20818.0
52,2022-01-01,Forest Products,13757.0
52,2022-01-01,Grain,26615.0
52,2022-01-01,Metallic Ores and Metals,40258.0
52,2022-01-01,Motor Vehicles and Parts,14170.0
52,2022-01-01,Nonmetallic Minerals,30611.0
52,2022-01-01,Other,8871.0
52,2022-01-01,Petroleum and Petroleum Products,16995.0
1,2022-01-08,Chemicals,45325.0
1,2022-01-08,Coal,58774.0
1,2022-01-08,"Farm Products excl. Grain, and Food",22824.0
1,2022-01-08,Forest Products,14990.0
1,2022-01-08,Grain,29488.0
1,2022-01-08,Metallic Ores and Metals,37430.0
1,2022-01-08,Motor Vehicles and Parts,17601.0
1,2022-01-08,Nonmetallic Minerals,34071.0
1,2022-01-08,Other,10604.0
1,2022-01-08,Petroleum and Petroleum Products,17217.0
2,2022-01-15,Chemicals,46112.0
2,2022-01-15,Coal,74257.0
2,2022-01-15,"Farm Products excl. Grain, and Food",23992.0
2,2022-01-15,Forest Products,15874.0
2,2022-01-15,Grain,31314.0
2,2022-01-15,Metallic Ores and Metals,41212.0
2,2022-01-15,Motor Vehicles and Parts,21168.0
2,2022-01-15,Nonmetallic Minerals,36884.0
2,2022-01-15,Other,11952.0
2,2022-01-15,Petroleum and Petroleum Products,20920.0
3,2022-01-22,Chemicals,45754.0
3,2022-01-22,Coal,73568.0
3,2022-01-22,"Farm Products excl. Grain, and Food",22480.0
3,2022-01-22,Forest Products,15957.0
3,2022-01-22,Grain,33848.0
3,2022-01-22,Metallic Ores and Metals,38470.0
3,2022-01-22,Motor Vehicles and Parts,18980.0
3,2022-01-22,Nonmetallic Minerals,34595.0
3,2022-01-22,Other,10111.0
3,2022-01-22,Petroleum and Petroleum Products,19632.0
4,2022-01-29,Chemicals,47461.0
4,2022-01-29,Coal,76505.0
4,2022-01-29,"Farm Products excl. Grain, and Food",24613.0
4,2022-01-29,Forest Products,16435.0
4,2022-01-29,Grain,34542.0
4,2022-01-29,Metallic Ores and Metals,40493.0
4,2022-01-29,Motor Vehicles and Parts,21132.0
4,2022-01-29,Nonmetallic Minerals,37530.0
4,2022-01-29,Other,11159.0
4,2022-01-29,Petroleum and Petroleum Products,20530.0
5,2022-02-05,Chemicals,46344.0
5,2022-02-05,Coal,73548.0
5,2022-02-05,"Farm Products excl. Grain, and Food",23526.0
5,2022-02-05,Forest Products,15248.0
5,2022-02-05,Grain,30839.0
5,2022-02-05,Metallic Ores and Metals,38151.0
5,2022-02-05,Motor Vehicles and Parts,17600.0
5,2022-02-05,Nonmetallic Minerals,33874.0
5,2022-02-05,Other,10537.0
5,2022-02-05,Petroleum and Petroleum Products,18955.0
6,2022-02-12,Chemicals,47528.0
6,2022-02-12,Coal,76911.0
6,2022-02-12,"Farm Products excl. Grain, and Food",25002.0
6,2022-02-12,Forest Products,16380.0
6,2022-02-12,Grain,33965.0
6,2022-02-12,Metallic Ores and Metals,38382.0
6,2022-02-12,Motor Vehicles and Parts,21774.0
6,2022-02-12,Nonmetallic Minerals,37304.0
6,2022-02-12,Other,11713.0
6,2022-02-12,Petroleum and Petroleum Products,20639.0
7,2022-02-19,Chemicals,48057.0
7,2022-02-19,Coal,80156.0
7,2022-02-19,"Farm Products excl. Grain, and Food",24044.0
7,2022-02-19,Forest Products,16176.0
7,2022-02-19,Grain,34893.0
7,2022-02-19,Metallic Ores and Metals,38949.0
7,2022-02-19,Motor Vehicles and Parts,20503.0
7,2022-02-19,Nonmetallic Minerals,38218.0
7,2022-02-19,Other,11902.0
7,2022-02-19,Petroleum and Petroleum Products,20097.0
8,2022-02-26,Chemicals,45435.0
8,2022-02-26,Coal,73120.0
8,2022-02-26,"Farm Products excl. Grain, and Food",23722.0
8,2022-02-26,Forest Products,15339.0
8,2022-02-26,Grain,31019.0
8,2022-02-26,Metallic Ores and Metals,38474.0
8,2022-02-26,Motor Vehicles and Parts,20972.0
8,2022-02-26,Nonmetallic Minerals,36651.0
8,2022-02-26,Other,10461.0
8,2022-02-26,Petroleum and Petroleum Products,19408.0
9,2022-03-05,Chemicals,48594.0
9,2022-03-05,Coal,76441.0
9,2022-03-05,"Farm Products excl. Grain, and Food",24838.0
9,2022-03-05,Forest Products,15761.0
9,2022-03-05,Grain,34700.0
9,2022-03-05,Metallic Ores and Metals,39403.0
9,2022-03-05,Motor Vehicles and Parts,22298.0
9,2022-03-05,Nonmetallic Minerals,42199.0
9,2022-03-05,Other,11090.0
9,2022-03-05,Petroleum and Petroleum Products,20352.0
10,2022-03-12,Chemicals,47928.0
10,2022-03-12,Coal,73809.0
10,2022-03-12,"Farm Products excl. Grain, and Food",25448.0
10,2022-03-12,Forest Products,16277.0
10,2022-03-12,Grain,30221.0
10,2022-03-12,Metallic Ores and Metals,38006.0
10,2022-03-12,Motor Vehicles and Parts,23115.0
10,2022-03-12,Nonmetallic Minerals,41852.0
10,2022-03-12,Other,11407.0
10,2022-03-12,Petroleum and Petroleum Products,20535.0
11,2022-03-19,Chemicals,46295.0
11,2022-03-19,Coal,72668.0
11,2022-03-19,"Farm Products excl. Grain, and Food",25233.0
11,2022-03-19,Forest Products,16049.0
11,2022-03-19,Grain,31975.0
11,2022-03-19,Metallic Ores and Metals,39946.0
11,2022-03-19,Motor Vehicles and Parts,22756.0
11,2022-03-19,Nonmetallic Minerals,41800.0
11,2022-03-19,Other,12199.0
11,2022-03-19,Petroleum and Petroleum Products,19919.0
12,2022-03-26,Chemicals,47214.0
12,2022-03-26,Coal,73860.0
12,2022-03-26,"Farm Products excl. Grain, and Food",24670.0
12,2022-03-26,Forest Products,15944.0
12,2022-03-26,Grain,31338.0
12,2022-03-26,Metallic Ores and Metals,42093.0
12,2022-03-26,Motor Vehicles and Parts,23140.0
12,2022-03-26,Nonmetallic Minerals,41666.0
12,2022-03-26,Other,11449.0
12,2022-03-26,Petroleum and Petroleum Products,19377.0
13,2022-04-02,Chemicals,49593.0
13,2022-04-02,Coal,73700.0
13,2022-04-02,"Farm Products excl. Grain, and Food",25717.0
13,2022-04-02,Forest Products,16433.0
13,2022-04-02,Grain,30925.0
13,2022-04-02,Metallic Ores and Metals,42767.0
13,2022-04-02,Motor Vehicles and Parts,22935.0
13,2022-04-02,Nonmetallic Minerals,42472.0
13,2022-04-02,Other,10841.0
13,2022-04-02,Petroleum and Petroleum Products,18544.0
14,2022-04-09,Chemicals,48806.0
14,2022-04-09,Coal,75016.0
14,2022-04-09,"Farm Products excl. Grain, and Food",25254.0
14,2022-04-09,Forest Products,15850.0
14,2022-04-09,Grain,34029.0
14,2022-04-09,Metallic Ores and Metals,41973.0
14,2022-04-09,Motor Vehicles and Parts,21923.0
14,2022-04-09,Nonmetallic Minerals,43036.0
14,2022-04-09,Other,12237.0
14,2022-04-09,Petroleum and Petroleum Products,19474.0
15,2022-04-16,Chemicals,46111.0
15,2022-04-16,Coal,70933.0
15,2022-04-16,"Farm Products excl. Grain, and Food",23248.0
15,2022-04-16,Forest Products,15883.0
15,2022-04-16,Grain,28425.0
15,2022-04-16,Metallic Ores and Metals,42042.0
15,2022-04-16,Motor Vehicles and Parts,21415.0
15,2022-04-16,Nonmetallic Minerals,40798.0
