week_number,week_ended,commodity,cars
52,2022-01-01,Chemicals,32374.0
52,2022-01-01,Coal,59264.0
52,2022-01-01,"Farm Products excl. Grain, and Food",15013.0
52,2022-01-01,Forest Products,9329.0
52,2022-01-01,Grain,19698.0
52,2022-01-01,Metallic Ores and Metals,21841.0
52,2022-01-01,Motor Vehicles and Parts,8978.0
52,2022-01-01,Nonmetallic Minerals,23060.0
52,2022-01-01,Other,7273.0
52,2022-01-01,Petroleum and Petroleum Products,9006.0
1,2022-01-08,Chemicals,34370.0
1,2022-01-08,Coal,54916.0
1,2022-01-08,"Farm Products excl. Grain, and Food",15268.0
1,2022-01-08,Forest Products,9704.0
1,2022-01-08,Grain,21952.0
1,2022-01-08,Metallic Ores and Metals,19853.0
1,2022-01-08,Motor Vehicles and Parts,10746.0
1,2022-01-08,Nonmetallic Minerals,25613.0
1,2022-01-08,Other,8704.0
1,2022-01-08,Petroleum and Petroleum Products,8894.0
2,2022-01-15,Chemicals,34002.0
2,2022-01-15,Coal,67867.0
2,2022-01-15,"Farm Products excl. Grain, and Food",16496.0
2,2022-01-15,Forest Products,9949.0
2,2022-01-15,Grain,24344.0
2,2022-01-15,Metallic Ores and Metals,21828.0
2,2022-01-15,Motor Vehicles and Parts,12382.0
2,2022-01-15,Nonmetallic Minerals,27367.0
2,2022-01-15,Other,9630.0
2,2022-01-15,Petroleum and Petroleum Products,9782.0
3,2022-01-22,Chemicals,34024.0
3,2022-01-22,Coal,66313.0
3,2022-01-22,"Farm Products excl. Grain, and Food",15824.0
3,2022-01-22,Forest Products,9865.0
3,2022-01-22,Grain,23259.0
3,2022-01-22,Metallic Ores and Metals,20110.0
3,2022-01-22,Motor Vehicles and Parts,10845.0
3,2022-01-22,Nonmetallic Minerals,25354.0
3,2022-01-22,Other,8193.0
3,2022-01-22,Petroleum and Petroleum Products,9608.0
4,2022-01-29,Chemicals,34977.0
4,2022-01-29,Coal,67825.0
4,2022-01-29,"Farm Products excl. Grain, and Food",16867.0
4,2022-01-29,Forest Products,10107.0
4,2022-01-29,Grain,24959.0
4,2022-01-29,Metallic Ores and Metals,21146.0
4,2022-01-29,Motor Vehicles and Parts,12904.0
4,2022-01-29,Nonmetallic Minerals,27703.0
4,2022-01-29,Other,9090.0
4,2022-01-29,Petroleum and Petroleum Products,9625.0
5,2022-02-05,Chemicals,33921.0
5,2022-02-05,Coal,64582.0
5,2022-02-05,"Farm Products excl. Grain, and Food",16073.0
5,2022-02-05,Forest Products,9850.0
5,2022-02-05,Grain,23517.0
5,2022-02-05,Metallic Ores and Metals,18259.0
5,2022-02-05,Motor Vehicles and Parts,10432.0
5,2022-02-05,Nonmetallic Minerals,24168.0
5,2022-02-05,Other,8336.0
5,2022-02-05,Petroleum and Petroleum Products,9148.0
6,2022-02-12,Chemicals,34710.0
6,2022-02-12,Coal,69021.0
6,2022-02-12,"Farm Products excl. Grain, and Food",16911.0
6,2022-02-12,Forest Products,10332.0
6,2022-02-12,Grain,24265.0
6,2022-02-12,Metallic Ores and Metals,19975.0
6,2022-02-12,Motor Vehicles and Parts,13659.0
6,2022-02-12,Nonmetallic Minerals,28262.0
6,2022-02-12,Other,9649.0
6,2022-02-12,Petroleum and Petroleum Products,9673.0
7,2022-02-19,Chemicals,35305.0
7,2022-02-19,Coal,71293.0
7,2022-02-19,"Farm Products excl. Grain, and Food",16206.0
7,2022-02-19,Forest Products,10235.0
7,2022-02-19,Grain,25017.0
7,2022-02-19,Metallic Ores and Metals,19839.0
7,2022-02-19,Motor Vehicles and Parts,12267.0
7,2022-02-19,Nonmetallic Minerals,28554.0
7,2022-02-19,Other,9283.0
7,2022-02-19,Petroleum and Petroleum Products,9257.0
8,2022-02-26,Chemicals,33914.0
8,2022-02-26,Coal,64285.0
8,2022-02-26,"Farm Products excl. Grain, and Food",15881.0
8,2022-02-26,Forest Products,9946.0
8,2022-02-26,Grain,22168.0
8,2022-02-26,Metallic Ores and Metals,20042.0
8,2022-02-26,Motor Vehicles and Parts,13072.0
8,2022-02-26,Nonmetallic Minerals,27159.0
8,2022-02-26,Other,8129.0
8,2022-02-26,Petroleum and Petroleum Products,8734.0
9,2022-03-05,Chemicals,34854.0
9,2022-03-05,Coal,68304.0
9,2022-03-05,"Farm Products excl. Grain, and Food",16697.0
9,2022-03-05,Forest Products,9883.0
9,2022-03-05,Grain,24880.0
9,2022-03-05,Metallic Ores and Metals,20321.0
9,2022-03-05,Motor Vehicles and Parts,13261.0
9,2022-03-05,Nonmetallic Minerals,32504.0
9,2022-03-05,Other,8971.0
9,2022-03-05,Petroleum and Petroleum Products,9195.0
10,2022-03-12,Chemicals,35933.0
10,2022-03-12,Coal,64589.0
10,2022-03-12,"Farm Products excl. Grain, and Food",17102.0
10,2022-03-12,Forest Products,9852.0
10,2022-03-12,Grain,21213.0
10,2022-03-12,Metallic Ores and Metals,20077.0
10,2022-03-12,Motor Vehicles and Parts,13936.0
10,2022-03-12,Nonmetallic Minerals,30466.0
10,2022-03-12,Other,9215.0
10,2022-03-12,Petroleum and Petroleum Products,10005.0
11,2022-03-19,Chemicals,34178.0
11,2022-03-19,Coal,63929.0
11,2022-03-19,"Farm Products excl. Grain, and Food",17097.0
11,2022-03-19,Forest Products,10199.0
11,2022-03-19,Grain,23317.0
11,2022-03-19,Metallic Ores and Metals,20059.0
11,2022-03-19,Motor Vehicles and Parts,13953.0
11,2022-03-19,Nonmetallic Minerals,31151.0
11,2022-03-19,Other,9706.0
11,2022-03-19,Petroleum and Petroleum Products,9181.0
12,2022-03-26,Chemicals,34264.0
12,2022-03-26,Coal,66504.0
12,2022-03-26,"Farm Products excl. Grain, and Food",16682.0
12,2022-03-26,Forest Products,9827.0
12,2022-03-26,Grain,22516.0
12,2022-03-26,Metallic Ores and Metals,20492.0
12,2022-03-26,Motor Vehicles and Parts,14341.0
12,2022-03-26,Nonmetallic Minerals,30988.0
12,2022-03-26,Other,9303.0
12,2022-03-26,Petroleum and Petroleum Products,8638.0
13,2022-04-02,Chemicals,35109.0
13,2022-04-02,Coal,63932.0
13,2022-04-02,"Farm Products excl. Grain, and Food",17347.0
13,2022-04-02,Forest Products,9877.0
13,2022-04-02,Grain,22166.0
13,2022-04-02,Metallic Ores and Metals,21082.0
13,2022-04-02,Motor Vehicles and Parts,13745.0
13,2022-04-02,Nonmetallic Minerals,32010.0
13,2022-04-02,Other,8127.0
13,2022-04-02,Petroleum and Petroleum Products,8568.0
14,2022-04-09,Chemicals,35152.0
14,2022-04-09,Coal,65725.0
14,2022-04-09,"Farm Products excl. Grain, and Food",16526.0
14,2022-04-09,Forest Products,9708.0
14,2022-04-09,Grain,24243.0
14,2022-04-09,Metallic Ores and Metals,20711.0
14,2022-04-09,Motor Vehicles and Parts,13352.0
14,2022-04-09,Nonmetallic Minerals,31915.0
14,2022-04-09,Other,9808.0
14,2022-04-09,Petroleum and Petroleum Products,9319.0
15,2022-04-16,Chemicals,33090.0
15,2022-04-16,Coal,61550.0
15,2022-04-16,"Farm Products excl. Grain, and Food",16216.0
15,2022-04-16,Forest Products,9562.0
15,2022-04-16,Grain,19602.0
15,2022-04-16,Metallic Ores and Metals,20638.0
15,2022-04-16,Motor Vehicles and Parts,12458.0
15,2022-04-16,Nonmetallic Minerals,30249.0
15,2022-04-16,Other,9397.0
15,2022-04-16,Petroleum and Petroleum Products,8466.0
16,2022-04-23,Chemicals,34796.0
16,2022-04-23,Coal,57894.0
16,2022-04-23,"Farm Products excl. Grain, and Food",16260.0
16,2022-04-23,Forest Products,9764.0
16,2022-04-23,Grain,23106.0
16,2022-04-23,Metallic Ores and Metals,22259.0
16,2022-04-23,Motor Vehicles and Parts,13250.0
16,2022-04-23,Nonmetallic Minerals,32920.0
16,2022-04-23,Other,8717.0
16,2022-04-23,Petroleum and Petroleum Products,10078.0
17,2022-04-30,Chemicals,34529.0
17,2022-04-30,Coal,63169.0
17,2022-04-30,"Farm Products excl. Grain, and Food",16393.0
17,2022-04-30,Forest Products,10175.0
17,2022-04-30,Grain,21380.0
17,2022-04-30,Metallic Ores and Metals,22373.0
17,2022-04-30,Motor Vehicles and Parts,13826.0
17,2022-04-30,Nonmetallic Minerals,32666.0
17,2022-04-30,Other,9637.0
17,2022-04-30,Petroleum and Petroleum Products,8824.0
18,2022-05-07,Chemicals,34241.0
18,2022-05-07,Coal,63281.0
18,2022-05-07,"Farm Products excl. Grain, and Food",15702.0
18,2022-05-07,Forest Products,9871.0
18,2022-05-07,Grain,22402.0
18,2022-05-07,Metallic Ores and Metals,19315.0
18,2022-05-07,Motor Vehicles and Parts,14400.0
18,2022-05-07,Nonmetallic Minerals,33952.0
18,2022-05-07,Other,9633.0
18,2022-05-07,Petroleum and Petroleum Products,8940.0
19,2022-05-14,Chemicals,32262.0
19,2022-05-14,Coal,64015.0
19,2022-05-14,"Farm Products excl. Grain, and Food",16257.0
19,2022-05-14,Forest Products,9718.0
19,2022-05-14,Grain,21910.0
19,2022-05-14,Metallic Ores and Metals,21426.0
19,2022-05-14,Motor Vehicles and Parts,13097.0
19,2022-05-14,Nonmetallic Minerals,33344.0
19,2022-05-14,Other,8996.0
19,2022-05-14,Petroleum and Petroleum Products,9103.0
20,2022-05-21,Chemicals,33943.0
20,2022-05-21,Coal,65609.0
20,2022-05-21,"Farm Products excl. Grain, and Food",15898.0
20,2022-05-21,Forest Products,10300.0
20,2022-05-21,Grain,21797.0
20,2022-05-21,Metallic Ores and Metals,21664.0
20,2022-05-21,Motor Vehicles and Parts,13831.0
20,2022-05-21,Nonmetallic Minerals,32268.0
20,2022-05-21,Other,8129.0
20,2022-05-21,Petroleum and Petroleum Products,9805.0
21,2022-05-28,Chemicals,33345.0
21,2022-05-28,Coal,63937.0
21,2022-05-28,"Farm Products excl. Grain, and Food",16694.0
21,2022-05-28,Forest Products,9969.0
21,2022-05-28,Grain,21686.0
21,2022-05-28,Metallic Ores and Metals,21109.0
21,2022-05-28,Motor Vehicles and Parts,13708.0
21,2022-05-28,Nonmetallic Minerals,32423.0
21,2022-05-28,Other,11160.0
21,2022-05-28,Petroleum and Petroleum Products,9602.0
22,2022-06-04,Chemicals,31938.0
22,2022-06-04,Coal,65625.0
22,2022-06-04,"Farm Products excl. Grain, and Food",14510.0
22,2022-06-04,Forest Products,9487.0
22,2022-06-04,Grain,23867.0
22,2022-06-04,Metallic Ores and Metals,20192.0
22,2022-06-04,Motor Vehicles and Parts,12518.0
22,2022-06-04,Nonmetallic Minerals,29778.0
22,2022-06-04,Other,8037.0
22,2022-06-04,Petroleum and Petroleum Products,9322.0
23,2022-06-11,Chemicals,32496.0
23,2022-06-11,Coal,66607.0
23,2022-06-11,"Farm Products excl. Grain, and Food",16340.0
23,2022-06-11,Forest Products,9895.0
23,2022-06-11,Grain,21429.0
23,2022-06-11,Metallic Ores and Metals,21548.0
23,2022-06-11,Motor Vehicles and Parts,13793.0
23,2022-06-11,Nonmetallic Minerals,33028.0
