Directory,Time (s),Peak RAM (MB)
CTD,13.73,0.98
plus_CTD_BGC,24.85,0.99
plus_DRIFTER,32.48,0.95
plus_ARGO,96.63,0.95
plus_UNDERWAY,3969.64,0.99
