"year","month","day","td_ge","dt","luna_num","saros","eclipse_type","gamma","magnitude","lat_ge","lng_ge","lat_dd_ge","lng_dd_ge","sun_alt","sun_azm","path_width","central_duration","duration_secs","cat_no","canon_plate","julian_date","t0","x0","x1","x2","x3","y0","y1","y2","y3","d0","d1","d2","mu0","mu1","mu2","l10","l11","l12","l20","l21","l22","tan_f1","tan_f2","tmin","tmax","etype","PNS","UNS","NCN","nSer","nSeq","nJLE"
1990,1,26,"19:31:24",56.90000000,-123,121,"A",-.94571000,.96698000,"71.0S","22.2W",-71.01706000,-22.20306000,18.50000000,266.30000000,372.80000000,"02m03s",122.80000000,9486.00000000,475.00000000,2447918.31300000,20.00000000,.56778200,.50742020,-.00005080,-.00000686,-.79894900,.18643750,.00016130,-.00000267,-18.62072900,.01014600,.00000400,116.84974000,14.99911000,.00000000,.55694900,-.00013390,-.00001130,.01075700,-.00013320,-.00001120,.00474880,.00472510,-3.00000000,3.00000000,2,-1,0,0,71,59,1
1990,7,22,"03:03:07",57.20000000,-117,126,"T",.75972000,1.03908000,"65.2N","168.9E",65.18631000,168.85699000,40.30000000,221.70000000,201.40000000,"02m33s",152.60000000,9487.00000000,475.00000000,2448094.62700000,3.00000000,.19994600,.53828200,-.00006690,-.00000822,.73352000,-.16929630,-.00016640,.00000277,20.34538100,-.00779800,-.00000500,223.39980000,15.00091000,.00000000,.53878500,.00010620,-.00001190,-.00731600,.00010560,-.00001190,.00460170,.00457880,-3.00000000,3.00000000,1,1,0,0,72,46,2
1991,1,15,"23:53:51",57.60000000,-111,131,"A",-.27275000,.92900000,"36.4S","170.4W",-36.37288000,-170.41095000,74.00000000,341.30000000,276.60000000,"07m53s",472.70000000,9488.00000000,475.00000000,2448272.49600000,.00000000,.12669100,.49010650,-.00003300,-.00000563,-.24713200,.14324540,.00014570,-.00000179,-21.07115000,.00739100,.00000500,177.63292000,14.99764000,.00000000,.57167600,-.00007540,-.00001020,.02541100,-.00007500,-.00001010,.00475420,.00473060,-3.00000000,3.00000000,2,0,0,0,70,49,4
1991,7,11,"19:07:01",57.90000000,-105,136,"Tm",-.00412000,1.07997000,"22.0N","105.2W",22.00078000,-105.21100000,89.90000000,30.10000000,258.00000000,"06m53s",413.10000000,9489.00000000,475.00000000,2448449.29700000,19.00000000,-.06725900,.56713760,-.00003690,-.00000961,.01212700,-.13797720,-.00015290,.00000250,22.09742900,-.00522000,-.00000500,103.63978000,15.00006000,.00000000,.53041400,.00002520,-.00001280,-.01564500,.00002510,-.00001270,.00459860,.00457570,-3.00000000,3.00000000,1,0,0,0,71,36,44
1992,1,4,"23:05:37",58.30000000,-99,141,"A",.40908000,.91790000,"1.0N","169.7W",.98250000,-169.69794000,65.80000000,169.20000000,340.40000000,"11m41s",700.90000000,9490.00000000,475.00000000,2448626.46200000,23.00000000,-.12922300,.49348110,-.00003040,-.00000548,.39099500,.10225830,.00013210,-.00000126,-22.72167000,.00413200,.00000600,163.77448000,14.99658000,.00000000,.57502600,.00003210,-.00000990,.02874400,.00003200,-.00000990,.00475630,.00473260,-3.00000000,3.00000000,2,0,0,0,70,22,20
1992,6,30,"12:11:22",58.70000000,-93,146,"T",-.75120000,1.05916000,"25.2S","9.5W",-25.15050000,-9.48004000,41.10000000,9.50000000,294.00000000,"05m21s",320.80000000,9491.00000000,475.00000000,2448804.00800000,12.00000000,-.23040100,.56738230,-.00000380,-.00000921,-.72325000,-.09407900,-.00012280,.00000167,23.14090000,-.00244500,-.00000600,359.08344000,14.99943000,.00000000,.53385500,-.00007130,-.00001240,-.01222100,-.00007090,-.00001240,.00459840,.00457550,-3.00000000,3.00000000,1,-1,0,0,76,26,20
1992,12,24,"00:31:41",59.10000000,-87,151,"P",1.07107000,.84218000,"65.7N","155.7E",65.68359000,155.67474000,.00000000,164.80000000,.00000000,"00m00s",.00000000,9492.00000000,475.00000000,2448980.52200000,1.00000000,.12051400,.52160690,-.00003970,-.00000653,1.09277000,.06171780,.00011410,-.00000088,-23.41922000,.00064300,.00000700,195.11781000,14.99621000,.00000000,.56433100,.00010120,-.00001070,.01810200,.00010070,-.00001070,.00475450,.00473090,-3.00000000,3.00000000,4,1,1,1,72,13,10
1993,5,21,"14:20:15",59.40000000,-82,118,"P",1.13720000,.73518000,"68.8N","162.3E",68.79112000,162.31989000,.00000000,16.80000000,.00000000,"00m00s",.00000000,9493.00000000,475.00000000,2449129.09700000,14.00000000,-.30414200,.52511010,.00004290,-.00000667,1.11016090,.05911710,-.00017390,-.00000070,20.25684900,.00822100,-.00000500,30.86197000,15.00062000,.00000000,.55585800,-.00010480,-.00001050,.00967200,-.00010430,-.00001050,.00461950,.00459650,-3.00000000,3.00000000,4,1,1,1,72,67,1
1993,11,13,"21:45:51",59.80000000,-76,123,"P",-1.04114000,.92800000,"69.6S","58.3E",-69.56181000,58.34308000,.00000000,153.10000000,.00000000,"00m00s",.00000000,9494.00000000,475.00000000,2449305.40700000,22.00000000,-.03945600,.56676360,.00001330,-.00000924,-1.04916890,-.09547200,.00018790,.00000145,-18.14669000,-.01068700,.00000400,153.90306000,14.99990000,.00000000,.54056600,.00007180,-.00001270,-.00554400,.00007140,-.00001260,.00472560,.00470200,-3.00000000,3.00000000,4,-1,-1,-1,70,52,1
1994,5,10,"17:12:26",60.20000000,-70,128,"A",.40772000,.94314000,"41.5N","84.1W",41.53689000,-84.12115000,65.70000000,167.50000000,230.10000000,"06m13s",373.50000000,9495.00000000,475.00000000,2449483.21700000,17.00000000,-.17342000,.49906290,.00002960,-.00000563,.38365200,.08693930,-.00011830,-.00000092,17.68613100,.01064200,-.00000400,75.90923000,15.00162000,.00000000,.56691300,-.00003180,-.00000980,.02067200,-.00003170,-.00000970,.00463080,.00460770,-3.00000000,3.00000000,2,0,0,0,73,57,2
1994,11,3,"13:40:06",60.60000000,-64,133,"T",-.35216000,1.05351000,"35.4S","34.2W",-35.35609000,-34.22272000,69.20000000,14.70000000,189.00000000,"04m23s",263.30000000,9496.00000000,475.00000000,2449660.07000000,14.00000000,.11255000,.56878270,.00002070,-.00000966,-.38557000,-.12578030,.00012330,.00000205,-15.10091000,-.01268600,.00000300,34.10425000,15.00142000,.00000000,.53659700,-.00003140,-.00001300,-.00949300,-.00003120,-.00001300,.00471330,.00468990,-3.00000000,3.00000000,1,0,0,0,72,44,4
1995,4,29,"17:33:21",61.00000000,-58,138,"A",-.33821000,.94971000,"4.8S","79.4W",-4.84954000,-79.39673000,70.20000000,347.50000000,195.50000000,"06m37s",396.80000000,9497.00000000,475.00000000,2449837.23100000,18.00000000,.29701000,.49877340,-.00000070,-.00000578,-.27902300,.11401000,-.00007490,-.00000126,14.48233000,.01265900,-.00000300,90.65739000,15.00268000,.00000000,.56506700,.00005580,-.00001000,.01883500,.00005550,-.00000990,.00464330,.00462020,-3.00000000,3.00000000,2,0,0,0,70,30,20
1995,10,24,"04:33:30",61.40000000,-52,143,"T",.35176000,1.02135000,"8.4N","113.2E",8.40931000,113.18689000,69.30000000,194.70000000,77.60000000,"02m10s",129.50000000,9498.00000000,475.00000000,2450014.69000000,5.00000000,.33002800,.54305180,.00001820,-.00000828,.27634900,-.14411000,.00005250,.00000211,-11.58057000,-.01419600,.00000200,258.92838000,15.00274000,.00000000,.54475300,-.00011490,-.00001210,-.00137800,-.00011430,-.00001200,.00470030,.00467690,-3.00000000,3.00000000,1,0,0,0,72,22,40
1996,4,17,"22:38:12",61.80000000,-46,148,"P",-1.05796000,.87992000,"71.3S","104.0W",-71.34665000,-104.01349000,.00000000,306.00000000,.00000000,"00m00s",.00000000,9499.00000000,475.00000000,2450191.44300000,23.00000000,.46804100,.52094160,-.00001940,-.00000705,-.96887400,.14228970,-.00002450,-.00000187,10.83629000,.01419100,-.00000300,165.15182000,15.00361000,.00000000,.55227600,.00010840,-.00001110,.00610800,.00010790,-.00001100,.00465640,.00463320,-3.00000000,3.00000000,4,-1,-1,-1,75,20,10
1996,10,12,"14:03:04",62.10000000,-40,153,"P",1.12266000,.75751000,"71.7N","32.1E",71.70844000,32.09290000,.00000000,244.90000000,.00000000,"00m00s",.00000000,9500.00000000,475.00000000,2450369.08500000,14.00000000,.29615900,.50603630,.00001450,-.00000644,1.08322500,-.15152180,-.00001020,.00000184,-7.63950000,-.01523400,.00000200,33.40582000,15.00378000,.00000000,.55934800,-.00010670,-.00001070,.01314400,-.00010620,-.00001060,.00468650,.00466320,-3.00000000,3.00000000,4,1,1,1,70,8,10
1997,3,9,"01:24:51",62.40000000,-35,120,"T",.91830000,1.04202000,"57.8N","130.7E",57.78032000,130.68060000,22.90000000,146.10000000,356.10000000,"02m50s",170.10000000,9501.00000000,476.00000000,2450516.55900000,1.00000000,-.50503000,.55430740,.00001340,-.00000934,.80380800,.17435860,-.00002040,-.00000285,-4.55016000,.01586200,.00000100,192.33604000,15.00396000,.00000000,.53689100,.00004860,-.00001300,-.00920100,.00004840,-.00001290,.00470880,.00468530,-3.00000000,3.00000000,1,1,0,0,71,60,2
1997,9,2,"00:04:48",62.70000000,-29,125,"P",-1.03521000,.89875000,"71.8S","114.3E",-71.76682000,114.25708000,.00000000,63.60000000,.00000000,"00m00s",.00000000,9502.00000000,476.00000000,2450693.50300000,.00000000,-.33190000,.48463470,-.00000260,-.00000543,-.98140200,-.14306040,-.00000310,.00000154,7.98438000,-.01483800,-.00000200,180.05260000,15.00450000,.00000000,.56764100,.00002240,-.00000970,.02139600,.00002230,-.00000970,.00463490,.00461180,-3.00000000,3.00000000,4,-1,-1,-1,73,53,1
1998,2,26,"17:29:27",63.00000000,-23,130,"T",.23909000,1.04411000,"4.7N","82.7W",4.72243000,-82.71686000,76.10000000,164.00000000,151.30000000,"04m09s",248.50000000,9503.00000000,476.00000000,2450871.22900000,17.00000000,-.33884800,.55449570,.00001030,-.00000916,.15050500,.16113160,.00004940,-.00000258,-8.60943000,.01521500,.00000200,71.77806000,15.00313000,.00000000,.53915900,-.00005210,-.00001280,-.00694400,-.00005190,-.00001280,.00472160,.00469810,-3.00000000,3.00000000,1,0,0,0,73,51,4
1998,8,22,"02:07:11",63.30000000,-17,135,"A",-.26441000,.97335000,"3.0S","145.4E",-2.97893000,145.38867000,74.60000000,14.30000000,98.70000000,"03m14s",194.00000000,9504.00000000,476.00000000,2451047.58800000,2.00000000,-.12743100,.50677430,-.00002700,-.00000628,-.24000000,-.13235680,-.00005200,.00000157,11.89285000,-.01363700,-.00000300,209.24457000,15.00385000,.00000000,.55809700,.00010750,-.00001040,.01190000,.00010700,-.00001030,.00462290,.00459990,-3.00000000,3.00000000,2,0,0,0,71,38,44
1999,2,16,"06:34:38",63.50000000,-11,140,"A",-.47260000,.99276000,"39.8S","93.9E",-39.81952000,93.88892000,61.60000000,341.80000000,28.80000000,"00m40s",39.60000000,9505.00000000,476.00000000,2451225.77400000,7.00000000,.34195700,.53182110,-.00001820,-.00000759,-.40033100,.13612880,.00010500,-.00000185,-12.45961000,.01406600,.00000300,281.47751000,15.00191000,.00000000,.55225100,-.00013240,-.00001160,.00608200,-.00013180,-.00001160,.00473320,.00470970,-3.00000000,3.00000000,2,-1,0,0,71,28,30
1999,8,11,"11:04:09",63.70000000,-5,145,"T",.50623000,1.02860000,"45.1N","24.3E",45.07591000,24.29834000,59.30000000,196.70000000,112.30000000,"02m23s",142.90000000,9506.00000000,476.00000000,2451401.96100000,11.00000000,.07004200,.54430350,-.00004060,-.00000806,.50284100,-.11849290,-.00011580,.00000169,15.32734000,-.01203500,-.00000300,343.68741000,15.00298000,.00000000,.54246900,.00011680,-.00001170,-.00365000,.00011630,-.00001160,.00461290,.00459000,-3.00000000,3.00000000,1,1,0,0,77,21,20
2000,2,5,"12:50:27",63.90000000,1,150,"P",-1.22326000,.57947000,"70.2S","134.1E",-70.21743000,134.12683000,.00000000,215.30000000,.00000000,"00m00s",.00000000,9507.00000000,476.00000000,2451580.03500000,13.00000000,.32955400,.50568570,-.00002070,-.00000605,-1.18089200,.10520780,.00015300,-.00000118,-16.02865000,.01232400,.00000400,11.51093000,15.00040000,.00000000,.56818300,-.00009630,-.00001030,.02193600,-.00009580,-.00001030,.00474330,.00471970,-3.00000000,3.00000000,4,-1,-1,-1,71,16,10
2000,7,1,"19:33:34",64.00000000,6,117,"P",-1.28214000,.47676000,"66.9S","109.5W",-66.93182000,-109.46014000,.00000000,357.50000000,.00000000,"00m00s",.00000000,9508.00000000,476.00000000,2451727.31500000,20.00000000,.28072700,.58385360,-.00001040,-.00000995,-1.27723210,.01061090,-.00009230,-.00000029,23.04426000,-.00308400,-.00000600,119.01208000,14.99953000,.00000000,.53005700,-.00001810,-.00001280,-.01600000,-.00001800,-.00001270,.00459810,.00457520,-3.00000000,3.00000000,4,-1,-1,-1,71,68,1
2000,7,31,"02:14:08",64.00000000,7,155,"P",1.21664000,.60335000,"69.5N","59.9W",69.52893000,-59.86920000,.00000000,333.40000000,.00000000,"00m00s",.00000000,9509.00000000,476.00000000,2451756.59300000,2.00000000,.06576000,.57378110,-.00003150,-.00000967,1.22255100,-.09595570,-.00019000,.00000154,18.21853100,-.01008600,-.00000400,208.41013000,15.00198000,.00000000,.53159600,.00005060,-.00001270,-.01446900,.00005040,-.00001260,.00460550,.00458260,-3.00000000,3.00000000,4,1,1,1,71,5,10
2000,12,25,"17:35:57",64.10000000,12,122,"P",1.13669000,.72277000,"66.3N","74.1W",66.33694000,-74.13013000,.00000000,188.70000000,.00000000,"00m00s",.00000000,9510.00000000,476.00000000,2451904.23300000,18.00000000,.27834100,.50631280,-.00000840,-.00000575,1.12071700,-.03355850,.00011200,.00000049,-23.37237900,.00144900,.00000700,89.90812000,14.99620000,.00000000,.57309200,.00005140,-.00001000,.02682000,.00005110,-.00001000,.00475530,.00473160,-3.00000000,3.00000000,4,1,1,1,70,57,1
2001,6,21,"12:04:46",64.20000000,18,127,"T",-.57014000,1.04954000,"11.3S","2.7E",-11.25426000,2.74738000,55.20000000,354.80000000,200.00000000,"04m57s",296.50000000,9511.00000000,476.00000000,2452082.00300000,12.00000000,.01034000,.56538610,.00002920,-.00000886,-.57183000,.05512560,-.00013390,-.00000098,23.43977000,-.00018300,-.00000600,359.56015000,14.99920000,.00000000,.53697200,-.00009440,-.00001210,-.00912000,-.00009390,-.00001210,.00460050,.00457750,-3.00000000,3.00000000,1,-1,0,0,82,57,2
2001,12,14,"20:53:01",64.30000000,24,132,"A",.40885000,.96811000,"0.6N","130.7W",.63538000,-130.70282000,65.90000000,188.00000000,125.60000000,"03m53s",233.00000000,9512.00000000,476.00000000,2452258.37000000,21.00000000,.12365400,.52894190,.00000150,-.00000698,.39464500,-.08130250,.00014550,.00000121,-23.25180100,-.00205500,.00000600,136.27827000,14.99641000,.00000000,.55952900,.00011850,-.00001110,.01332400,.00011790,-.00001100,.00475080,.00472720,-3.00000000,3.00000000,2,0,0,0,71,45,4
2002,6,10,"23:45:22",64.30000000,30,137,"A",.19933000,.99622000,"34.5N","178.6W",34.54984000,-178.62000000,78.30000000,169.00000000,13.50000000,"00m23s",22.80000000,9513.00000000,476.00000000,2452436.49000000,.00000000,.09389900,.52745430,.00004030,-.00000695,.21902000,.09319090,-.00015940,-.00000136,23.05547000,.00279400,-.00000500,180.13342000,14.99926000,.00000000,.55165700,-.00012310,-.00001080,.00549200,-.00012250,-.00001070,.00460540,.00458240,-3.00000000,3.00000000,2,0,0,0,70,35,44
2002,12,4,"07:32:16",64.40000000,36,142,"T",-.30204000,1.02437000,"39.5S","59.6E",-39.45691000,59.55402000,72.20000000,15.80000000,87.00000000,"02m04s",123.80000000,9514.00000000,476.00000000,2452612.81400000,8.00000000,.18612600,.55325000,.00001540,-.00000870,-.35446100,-.13091300,.00018070,.00000221,-22.22650000,-.00529700,.00000600,302.48074000,14.99727000,.00000000,.54416600,.00008340,-.00001250,-.00196200,.00008300,-.00001240,.00474370,.00472010,-3.00000000,3.00000000,1,0,0,0,72,22,40
2003,5,31,"04:09:22",64.40000000,42,147,"An",.99598000,.93841000,"66.6N","24.5W",66.55553000,-24.49237000,2.90000000,35.10000000,.00000000,"03m37s",216.80000000,9515.00000000,476.00000000,2452790.67300000,4.00000000,-.32386600,.49390130,.00005450,-.00000563,.94520600,.12632860,-.00016910,-.00000158,21.84598900,.00574600,-.00000500,240.61102000,14.99979000,.00000000,.56438500,-.00005300,-.00000980,.01815700,-.00005270,-.00000980,.00461260,.00458960,-3.00000000,3.00000000,2,1,1,0,80,22,10
2003,11,23,"22:50:22",64.50000000,48,152,"T",-.96380000,1.03789000,"72.7S","88.4E",-72.66693000,88.39691000,14.90000000,111.20000000,495.50000000,"01m57s",117.30000000,9516.00000000,476.00000000,2452967.45200000,23.00000000,-.19797000,.55689750,.00005700,-.00000944,-.94789200,-.17392470,.00019900,.00000313,-20.40539000,-.00817700,.00000500,168.39500000,14.99853000,.00000000,.53732800,-.00000320,-.00001310,-.00876600,-.00000320,-.00001300,.00473480,.00471120,-3.00000000,3.00000000,1,-1,0,0,70,12,10
2004,4,19,"13:35:05",64.50000000,53,119,"P",-1.13346000,.73673000,"61.6S","44.3E",-61.59264000,44.26031000,.00000000,294.60000000,.00000000,"00m00s",.00000000,9517.00000000,476.00000000,2453115.06600000,14.00000000,.69318200,.46464900,-.00001010,-.00000549,-.92220000,.22851950,-.00002590,-.00000288,11.41964000,.01377300,-.00000300,30.24735000,15.00335000,.00000000,.56262700,.00007810,-.00001020,.01640800,.00007770,-.00001020,.00465490,.00463170,-3.00000000,3.00000000,4,-1,-1,-1,71,65,1
2004,10,14,"03:00:23",64.60000000,59,124,"P",1.03481000,.92825000,"61.2N","153.7W",61.24958000,-153.70087000,.00000000,252.70000000,.00000000,"00m00s",.00000000,9518.00000000,476.00000000,2453292.62500000,3.00000000,.47696500,.48947240,.00001590,-.00000701,.91834300,-.25634460,-.00000620,.00000384,-8.23846000,-.01485900,.00000200,228.49928000,15.00360000,.00000000,.54824600,-.00011410,-.00001170,.00209800,-.00011350,-.00001160,.00468810,.00466480,-3.00000000,3.00000000,4,1,1,1,73,54,1
2005,4,8,"20:36:51",64.70000000,65,129,"H",-.34733000,1.00738000,"10.6S","119.0W",-10.56694000,-118.98547000,69.60000000,331.90000000,27.00000000,"00m42s",42.00000000,9519.00000000,476.00000000,2453469.35900000,21.00000000,.35021500,.48577620,-.00001010,-.00000683,-.20743700,.25757570,-.00003670,-.00000382,7.48629000,.01489900,-.00000200,134.57385000,15.00404000,.00000000,.54854800,.00010690,-.00001150,.00239900,.00010640,-.00001150,.00466860,.00464540,-3.00000000,3.00000000,3,0,0,0,80,51,4
2005,10,3,"10:32:47",64.90000000,71,134,"A",.33058000,.95759000,"12.9N","28.7E",12.88970000,28.73584000,70.60000000,209.40000000,162.20000000,"04m32s",271.50000000,9520.00000000,476.00000000,2453646.93900000,11.00000000,.36603000,.45547910,.00000990,-.00000545,.17582800,-.25080660,.00000750,.00000317,-4.09224000,-.01549000,.00000100,347.75360000,15.00434000,.00000000,.56266100,-.00010220,-.00001040,.01644100,-.00010170,-.00001030,.00467410,.00465080,-3.00000000,3.00000000,2,0,0,0,71,43,2
2006,3,29,"10:12:23",65.10000000,77,139,"T",.38432000,1.05151000,"23.2N","16.7E",23.15151000,16.74835000,67.30000000,148.60000000,183.50000000,"04m07s",246.70000000,9521.00000000,477.00000000,2453823.92500000,10.00000000,-.28993700,.50608800,.00001810,-.00000827,.27902200,.27899180,-.00003860,-.00000476,3.39884000,.01555800,-.00000100,328.79330000,15.00437000,.00000000,.53700200,.00006440,-.00001270,-.00909000,.00006410,-.00001270,.00468260,.00465930,-3.00000000,3.00000000,1,0,0,0,71,29,30
2006,9,22,"11:41:16",65.30000000,83,144,"A",-.40625000,.93517000,"20.6S","9.1W",-20.64643000,-9.07635000,65.90000000,31.20000000,261.00000000,"07m09s",429.30000000,9522.00000000,477.00000000,2454000.98700000,12.00000000,-.06066800,.44051010,.00000280,-.00000483,-.43146200,-.24612800,.00001520,.00000287,.26179000,-.01562100,.00000000,1.81218000,15.00473000,.00000000,.56942000,-.00000790,-.00000970,.02316600,-.00000790,-.00000970,.00465930,.00463610,-3.00000000,3.00000000,2,0,0,0,70,16,20
2007,3,19,"02:32:57",65.50000000,89,149,"P",1.07277000,.87558000,"61.0N","55.5E",61.04850000,55.46936000,.00000000,91.60000000,.00000000,"00m00s",.00000000,9523.00000000,477.00000000,2454178.60600000,3.00000000,-.28989300,.50867430,.00002180,-.00000846,1.06554900,.28123660,-.00005350,-.00000490,-.74650000,.01579500,.00000000,223.00272000,15.00428000,.00000000,.53622500,-.00005460,-.00001290,-.00986400,-.00005430,-.00001290,.00469660,.00467320,-3.00000000,3.00000000,4,1,1,1,71,20,10
2007,9,11,"12:32:24",65.70000000,95,154,"P",-1.12553000,.75069000,"61.0S","90.2W",-61.00421000,-90.23376000,.00000000,80.50000000,.00000000,"00m00s",.00000000,9524.00000000,477.00000000,2454355.02300000,13.00000000,-.33111000,.45388380,-.00000990,-.00000534,-1.10170300,-.24807690,.00002780,.00000308,4.58239000,-.01524400,-.00000100,15.81803000,15.00475000,.00000000,.56238700,.00008300,-.00001020,.01616900,.00008260,-.00001010,.00464490,.00462180,-3.00000000,3.00000000,4,-1,-1,-1,71,6,10
