# Serial 2TCM with k1:0.50; k2:0.85; k3:0.25; k4:0.15
# Times[minutes] Activity[kBq/ml]
0.000000e+00 -3.459913e+00
3.011960e-01 7.057736e-01
6.023920e-01 -1.435014e+01
9.035880e-01 -4.048875e+00
1.204784e+00 1.938464e+01
1.505980e+00 2.190649e+01
1.807176e+00 2.618637e+01
2.108372e+00 3.623086e+01
2.409568e+00 2.259776e+01
2.710764e+00 2.242208e+01
3.011960e+00 2.790054e+01
3.313156e+00 1.285646e+01
3.614352e+00 1.746743e+01
3.915548e+00 1.225996e+01
4.216744e+00 2.140372e+01
4.517940e+00 3.727293e+01
4.819136e+00 1.275608e+01
5.120332e+00 2.314393e+01
5.421528e+00 1.261385e+01
5.722724e+00 3.170546e+01
6.023920e+00 9.824654e+00
6.325116e+00 1.714359e+01
6.626312e+00 3.960736e+00
6.927508e+00 2.185960e+01
7.228704e+00 1.402126e+01
7.529900e+00 8.853795e+00
7.831096e+00 4.186991e+01
8.132292e+00 1.456032e+01
8.433488e+00 2.429749e+01
8.734684e+00 3.285932e+01
9.035880e+00 1.079283e+01
9.337076e+00 2.256141e+01
9.638272e+00 1.194070e+01
9.939468e+00 2.364109e+01
1.024066e+01 1.537515e+01
1.054186e+01 3.023953e+01
1.084306e+01 1.935641e+01
1.114425e+01 1.649075e+01
1.144545e+01 2.246765e+01
1.174664e+01 1.149651e+01
1.204784e+01 1.703181e+01
1.234904e+01 1.755096e+01
1.265023e+01 9.857775e+00
1.295143e+01 1.948980e+01
1.325262e+01 3.131277e+01
1.355382e+01 2.336115e+01
1.385502e+01 2.741007e+01
1.415621e+01 9.784853e+00
1.445741e+01 3.646641e+00
1.475860e+01 9.703311e+00
1.505980e+01 2.815358e+01
1.536100e+01 1.056024e+01
1.566219e+01 1.943641e+01
1.596339e+01 1.847874e+01
1.626458e+01 1.370062e+01
1.656578e+01 7.488033e+00
1.686698e+01 2.483544e+01
1.716817e+01 1.590003e+01
1.746937e+01 2.177982e+01
1.777056e+01 2.574223e+01
1.807176e+01 1.919037e+01
1.837296e+01 1.647170e+01
1.867415e+01 3.610079e+01
