region,Hemisphere,seg_index,face,plot_order
thalamus_DA_med,R,9,lateral,1
thalamus_VA_sup,R,8,lateral,2
thalamus_VP_lat,R,6,lateral,3
thalamus_DA_lat,R,10,lateral,4
thalamus_DP,R,21,lateral,5
hippocampus_tail,R,4,lateral,6
hippocampus_body,R,3,lateral,7
amygdala_med,R,20,lateral,8
hippocampus_head_lat,R,2,lateral,9
amygdala_lat,R,19,lateral,10
accumbens_core,R,23,lateral,11
caudate_DA,R,16,lateral,12
caudate_body,R,17,lateral,13
caudate_tail,R,18,lateral,14
putamen_VA,R,11,lateral,15
putamen_DA,R,12,lateral,16
putamen_DP,R,14,lateral,17
putamen_VP,R,13,lateral,18
putamen_DA,R,12,medial,19
putamen_VP,R,13,medial,20
putamen_DP,R,14,medial,21
putamen_VA,R,11,medial,22
accumbens_core,R,23,medial,23
accumbens_shell,R,22,medial,24
caudate_DA,R,16,medial,25
caudate_VA,R,15,medial,26
caudate_body,R,17,medial,27
caudate_tail,R,18,medial,28
amygdala_lat,R,19,medial,29
hippocampus_head_lat,R,2,medial,30
hippocampus_body,R,3,medial,31
hippocampus_head_med,R,1,medial,32
amygdala_med,R,20,medial,33
hippocampus_tail,R,4,medial,34
GP_post,R,24,medial,35
GP_ant,R,25,medial,36
thalamus_DA_lat,R,10,medial,37
thalamus_DP,R,21,medial,38
thalamus_VP_med,R,5,medial,39
thalamus_VA_inf,R,7,medial,40
thalamus_DA_med,R,9,medial,41
thalamus_VA_sup,R,8,medial,42
