region,Hemisphere,seg_index,face,plot_order
hippocampus_anterior,L,17,medial,12
hippocampus_anterior,L,17,lateral,22
hippocampus_posterior,L,18,medial,11
hippocampus_posterior,L,18,lateral,21
amygdala_lateral,L,19,medial,9
amygdala_lateral,L,19,lateral,24
amygdala_medial,L,20,medial,10
amygdala_medial,L,20,lateral,23
thalamus_DP,L,21,medial,13
thalamus_DP,L,21,lateral,19
thalamus_VP,L,22,medial,14
thalamus_VP,L,22,lateral,20
thalamus_VA,L,23,medial,16
thalamus_VA,L,23,lateral,17
thalamus_DA,L,24,medial,15
thalamus_DA,L,24,lateral,18
accumbens_shell,L,25,medial,4
accumbens_core,L,26,medial,3
accumbens_core,L,26,lateral,27
pallidum_posterior,L,27,medial,7
pallidum_anterior,L,28,medial,8
putamen_anterior,L,29,medial,2
putamen_anterior,L,29,lateral,28
putamen_posterior,L,30,medial,1
putamen_posterior,L,30,lateral,29
caudate_anterior,L,31,medial,5
caudate_anterior,L,31,lateral,26
caudate_posterior,L,32,medial,6
caudate_posterior,L,32,lateral,25
