region,Hemisphere,seg_index,face,plot_order
dCa,L,227,lateral,1
mAmyg,L,211,lateral,2
rHipp,L,215,lateral,3
lAmyg,L,213,lateral,4
cHipp,L,217,lateral,5
cTtha,L,243,lateral,6
Otha,L,241,lateral,7
mPMtha,L,233,lateral,8
PPtha,L,239,lateral,9
lPFtha,L,245,lateral,10
Stha,L,235,lateral,11
rTtha,L,237,lateral,12
vCa,L,219,lateral,13
NAC,L,223,lateral,14
vmPu,L,225,lateral,15
GP,L,221,lateral,16
cHipp,L,217,lateral,17
dlPu,L,229,lateral,18
cHipp,L,217,medial,19
rHipp,L,215,medial,20
vmPu,L,225,medial,21
Otha,L,241,medial,22
PPtha,L,239,medial,23
cTtha,L,243,medial,24
dCa,L,227,medial,25
vCa,L,219,medial,26
NAC,L,223,medial,27
GP,L,221,medial,28
lPFtha,L,245,medial,29
mPFtha,L,231,medial,30
rTtha,L,237,medial,31
mAmyg,L,211,medial,32
