region,Hemisphere,seg_index,face,plot_order
accumbens,L,26,lateral,1
caudate,L,11,lateral,2
thalamus,L,10,lateral,3
hippocampus,L,17,lateral,4
amygdala,L,18,lateral,5
putamen,L,12,lateral,6
putamen,L,12,medial,7
pallidum,L,13,medial,8
accumbens,L,26,medial,9
caudate,L,11,medial,10
thalamus,L,10,medial,11
amygdala,L,18,medial,12
hippocampus,L,17,medial,13
accumbens,R,58,lateral,14
caudate,R,50,lateral,15
thalamus,R,49,lateral,16
hippocampus,R,53,lateral,17
amygdala,R,54,lateral,18
putamen,R,51,lateral,19
putamen,R,51,medial,20
pallidum,R,52,medial,21
accumbens,R,58,medial,22
caudate,R,50,medial,23
thalamus,R,49,medial,24
amygdala,R,54,medial,25
hippocampus,R,53,medial,26
