model	E_kin	U	V	V0m	V1m	mu	t	ave_V0m	ave_V1m	ave_mu	ave_t	ave_U_1	ave_V_1	ave_V0m_1	ave_V1m_1	ave_mu_1	ave_t_1	var_U_1	var_V_1	var_V0m_1	var_V1m_1	var_mu_1	var_t_1	E0_1	sector_1	githash	
1D_L4	-0.93468362	4	1e-09	1.4142136e-09	0	2	1	0.35355339	0	1	-0.93468362	0.084896413	0.67116813	0.35355339	0	1	-0.82787198	0.01648638	0.035016494	0.0087483245	0.0094541244	0	0.26378208	-9.9531453	R0:N4:S0:1	3bcaa91	
1D_L4	-0.85102195	4	0.2	0.28280149	0	2.4	1	0.35355401	0	0.99999994	-0.95100755	0.089319913	0.66661067	0.35355406	0	1	-0.84510377	0.017137017	0.036968138	0.0091804935	0.010054775	0	0.2487771	-10.618065	R0:N4:S0:1	3bcaa91	
1D_L4	-0.76764427	4	0.4	0.56569033	0	2.8	1	0.35355331	0	1	-0.96764596	0.094081677	0.66162938	0.35355331	0	1	-0.86264845	0.017826121	0.039104746	0.009635116	0.010725051	0	0.23336863	-11.286673	R0:N4:S0:1	3bcaa91	
1D_L4	-0.68457973	4	0.6	0.84854859	0	3.2	1	0.35355304	0	1	-0.98458666	0.099230232	0.65614555	0.35355301	0	1	-0.88049143	0.018560471	0.041460826	0.01011242	0.011479411	0	0.217584	-11.959505	R0:N4:S0:1	3bcaa91	
1D_L4	-0.60179078	4	0.8	1.1314307	0	3.6	1	0.35355228	0	1.0000001	-1.0018107	0.10482772	0.65006154	0.35355219	0	1	-0.89861077	0.019349031	0.044079053	0.010612194	0.012336735	0	0.20145866	-12.636923	R0:N4:S0:1	3bcaa91	
1D_L4	-0.51928961	4	1	1.414202	0	4	1	0.35355362	0	0.99999997	-1.0192858	0.11095498	0.64324256	0.35355364	0	1	-0.91697107	0.020203585	0.047015584	0.01113354	0.013321982	0	0.18504113	-13.319649	R0:N4:S0:1	3bcaa91	
1D_L4	-0.43696646	4	1.2	1.6970247	0	4.4	1	0.35355406	0	0.99999995	-1.0369564	0.11771867	0.63551814	0.35355412	0	1	-0.93551286	0.021139449	0.050339917	0.011674486	0.014468511	0	0.1684027	-14.008105	R0:N4:S0:1	3bcaa91	
1D_L4	-0.35474837	4	1.4	1.9798222	0	4.8	1	0.35355514	0	0.99999991	-1.0547247	0.12526114	0.62664912	0.35355529	0	1	-0.95413371	0.022176116	0.054142687	0.012231366	0.015821354	0	0.15165552	-14.703215	R0:N4:S0:1	3bcaa91	
1D_L4	-0.27241079	4	1.6	2.2627683	0	5.2	1	0.35355273	0	1	-1.0724187	0.13377384	0.61631879	0.35355269	0	1	-0.9726558	0.023337509	0.058535441	0.012797842	0.01744174	0	0.13498564	-15.40577	R0:N4:S0:1	3bcaa91	
1D_L4	-0.18971942	4	1.8	2.54565	0	5.6	1	0.35355167	0	1	-1.0897382	0.14351484	0.60407774	0.35355155	0	1	-0.990771	0.024651014	0.063656221	0.013363353	0.019413151	0	0.11871164	-16.117413	R0:N4:S0:1	3bcaa91	
1D_L4	-0.10617387	4	2	2.8283944	0	6	1	0.35355428	0	0.99999994	-1.1061648	0.15482954	0.58932036	0.35355436	0	1	-1.0079505	0.026143584	0.069658061	0.013910731	0.021848861	0	0.10338422	-16.840002	R0:N4:S0:1	3bcaa91	
1D_L4	-0.020842979	4	2.2	3.111192	0	6.4	1	0.35355563	0	0.99999992	-1.1208224	0.16816993	0.57124893	0.35355582	0	1	-1.0233032	0.027831585	0.076681857	0.014412714	0.024899751	0	0.089944773	-17.575583	R0:N4:S0:1	3bcaa91	
1D_L4	0.067736467	4	2.4	3.3941602	0	6.8	1	0.35355194	0	0.99999998	-1.1322755	0.18409818	0.54883747	0.35355185	0	1	-1.0353747	0.029698859	0.084792804	0.014827398	0.028758318	0	0.07994702	-18.327042	R0:N4:S0:1	3bcaa91	
1D_L4	0.16169601	4	2.6	3.6769239	0	7.2	1	0.35355436	0	0.99999999	-1.1382965	0.20324215	0.52086128	0.35355443	0	1	-1.0419163	0.031656772	0.093845784	0.015093832	0.033648814	0	0.075783252	-19.098862	R0:N4:S0:1	3bcaa91	
