feature_1,feature_2,label
0.10,0.20,0
0.20,0.10,0
0.15,0.25,0
0.30,0.20,0
0.90,1.10,1
1.10,0.90,1
1.00,1.00,1
0.85,1.20,1
0.40,0.35,0
0.55,0.45,0
0.70,0.80,1
0.75,0.65,1

