subj_month,region_type,start,end,position,subregion_rank
22_07,silence,89950,1163510,1,
22_07,subregion,1163510,1253390,1,2
22_07,silence,1253390,6952110,2,
22_07,subregion,9600000,12369180,2,5
22_07,silence,12369180,16783850,3,
22_07,silence,24386560,31769820,4,
22_07,subregion,31769820,35100000,3,4
22_07,subregion,35100000,38700000,4,1
22_07,extra,38700000,39720000,1,
22_07,silence,39836210,42342010,5,
22_07,subregion,44700000,48300000,5,3
