# Serial 2TCM with k1:0.50; k2:0.85; k3:0.01; k4:0.01
# Times[minutes] Activity[kBq/ml]
0.000000e+00 0.000000e+00
3.011960e-01 0.000000e+00
6.023920e-01 0.000000e+00
9.035880e-01 6.526095e+00
1.204784e+00 1.436397e+01
1.505980e+00 2.261606e+01
1.807176e+00 2.402660e+01
2.108372e+00 2.405016e+01
2.409568e+00 2.343461e+01
2.710764e+00 2.257020e+01
3.011960e+00 2.164266e+01
3.313156e+00 2.073813e+01
3.614352e+00 1.989044e+01
3.915548e+00 1.911176e+01
4.216744e+00 1.840221e+01
4.517940e+00 1.775809e+01
4.819136e+00 1.717270e+01
5.120332e+00 1.663956e+01
5.421528e+00 1.615280e+01
5.722724e+00 1.570720e+01
6.023920e+00 1.529824e+01
6.325116e+00 1.492197e+01
6.626312e+00 1.457494e+01
6.927508e+00 1.425410e+01
7.228704e+00 1.395673e+01
7.529900e+00 1.368039e+01
7.831096e+00 1.342297e+01
8.132292e+00 1.318366e+01
8.433488e+00 1.296042e+01
8.734684e+00 1.275143e+01
9.035880e+00 1.255606e+01
9.337076e+00 1.237316e+01
9.638272e+00 1.220106e+01
9.939468e+00 1.203987e+01
1.024066e+01 1.188814e+01
1.054186e+01 1.174517e+01
1.084306e+01 1.161056e+01
1.114425e+01 1.148314e+01
1.144545e+01 1.136311e+01
1.174664e+01 1.124907e+01
1.204784e+01 1.114150e+01
1.234904e+01 1.103903e+01
1.265023e+01 1.094215e+01
1.295143e+01 1.084969e+01
1.325262e+01 1.076194e+01
1.355382e+01 1.067814e+01
1.385502e+01 1.059819e+01
1.415621e+01 1.052186e+01
1.445741e+01 1.044855e+01
1.475860e+01 1.037864e+01
1.505980e+01 1.031129e+01
1.536100e+01 1.024682e+01
1.566219e+01 1.018483e+01
1.596339e+01 1.012489e+01
1.626458e+01 1.006744e+01
1.656578e+01 1.001183e+01
1.686698e+01 9.958089e+00
1.716817e+01 9.906273e+00
1.746937e+01 9.855893e+00
1.777056e+01 9.807146e+00
1.807176e+01 9.759951e+00
1.837296e+01 9.713908e+00
1.867415e+01 9.669232e+00
1.897535e+01 9.625858e+00
1.927654e+01 9.583445e+00
1.957774e+01 9.542104e+00
1.987894e+01 9.501906e+00
2.018013e+01 9.462551e+00
2.048133e+01 9.423948e+00
2.078252e+01 9.386400e+00
2.108372e+01 9.349628e+00
2.138492e+01 9.313416e+00
2.168611e+01 9.278052e+00
2.198731e+01 9.243449e+00
2.228850e+01 9.209395e+00
2.258970e+01 9.175802e+00
2.289090e+01 9.142999e+00
2.319209e+01 9.110771e+00
2.349329e+01 9.078951e+00
2.379448e+01 9.047575e+00
2.409568e+01 9.016845e+00
2.439688e+01 8.986581e+00
2.469807e+01 8.956644e+00
2.499927e+01 8.927075e+00
2.530046e+01 8.898073e+00
2.560166e+01 8.869477e+00
2.590286e+01 8.841162e+00
2.620405e+01 8.813086e+00
2.650525e+01 8.785546e+00
2.680644e+01 8.758389e+00
2.710764e+01 8.731498e+00
2.740884e+01 8.704781e+00
2.771003e+01 8.678463e+00
2.801123e+01 8.652541e+00
2.831242e+01 8.626896e+00
2.861362e+01 8.601436e+00
2.891482e+01 8.576124e+00
2.921601e+01 8.551255e+00
2.951721e+01 8.526701e+00
2.981840e+01 8.502363e+00
3.011960e+01 8.478165e+00
3.042080e+01 8.454131e+00
3.072199e+01 8.430487e+00
3.102319e+01 8.407120e+00
3.132438e+01 8.383940e+00
3.162558e+01 8.360879e+00
3.192678e+01 8.337926e+00
3.222797e+01 8.315349e+00
3.252917e+01 8.293037e+00
3.283036e+01 8.270907e+00
3.313156e+01 8.248892e+00
3.343276e+01 8.226942e+00
3.373395e+01 8.205280e+00
3.403515e+01 8.183902e+00
3.433634e+01 8.162721e+00
3.463754e+01 8.141668e+00
3.493874e+01 8.120692e+00
3.523993e+01 8.099794e+00
3.554113e+01 8.079228e+00
3.584232e+01 8.058897e+00
3.614352e+01 8.038725e+00
3.644472e+01 8.018654e+00
3.674591e+01 7.998640e+00
3.704711e+01 7.978718e+00
3.734830e+01 7.959102e+00
3.764950e+01 7.939701e+00
3.795070e+01 7.920446e+00
3.825189e+01 7.901283e+00
3.855309e+01 7.882172e+00
3.885428e+01 7.863082e+00
3.915548e+01 7.844302e+00
3.945668e+01 7.825742e+00
3.975787e+01 7.807332e+00
4.005907e+01 7.789019e+00
4.036026e+01 7.770762e+00
4.066146e+01 7.752528e+00
4.096266e+01 7.734445e+00
4.126385e+01 7.716615e+00
4.156505e+01 7.698962e+00
4.186624e+01 7.681427e+00
4.216744e+01 7.663966e+00
4.246864e+01 7.646543e+00
4.276983e+01 7.629133e+00
4.307103e+01 7.611907e+00
4.337222e+01 7.594909e+00
4.367342e+01 7.578071e+00
4.397462e+01 7.561339e+00
4.427581e+01 7.544671e+00
4.457701e+01 7.528038e+00
4.487820e+01 7.511413e+00
4.517940e+01 7.494912e+00
4.548060e+01 7.478643e+00
4.578179e+01 7.462537e+00
4.608299e+01 7.446541e+00
4.638418e+01 7.430614e+00
4.668538e+01 7.414725e+00
4.698658e+01 7.398849e+00
4.728777e+01 7.382968e+00
4.758897e+01 7.367322e+00
4.789016e+01 7.351864e+00
4.819136e+01 7.336535e+00
4.849256e+01 7.321291e+00
4.879375e+01 7.306099e+00
4.909495e+01 7.290932e+00
4.939614e+01 7.275770e+00
4.969734e+01 7.260599e+00
4.999854e+01 7.245669e+00
5.029973e+01 7.230911e+00
5.060093e+01 7.216272e+00
5.090212e+01 7.201712e+00
5.120332e+01 7.187199e+00
5.150452e+01 7.172709e+00
5.180571e+01 7.158223e+00
5.210691e+01 7.143726e+00
5.240810e+01 7.129383e+00
5.270930e+01 7.115223e+00
5.301050e+01 7.101192e+00
5.331169e+01 7.087248e+00
5.361289e+01 7.073359e+00
5.391408e+01 7.059499e+00
5.421528e+01 7.045650e+00
5.451648e+01 7.031796e+00
5.481767e+01 7.017927e+00
5.511887e+01 7.004263e+00
5.542006e+01 6.990757e+00
5.572126e+01 6.977361e+00
5.602246e+01 6.964039e+00
5.632365e+01 6.950761e+00
5.662485e+01 6.937506e+00
5.692604e+01 6.924258e+00
5.722724e+01 6.911003e+00
5.752844e+01 6.897732e+00
5.782963e+01 6.884617e+00
5.813083e+01 6.871661e+00
5.843202e+01 6.858816e+00
5.873322e+01 6.846046e+00
5.903442e+01 6.833323e+00
5.933561e+01 6.820627e+00
5.963681e+01 6.807940e+00
5.993800e+01 6.795250e+00
6.023920e+01 6.782547e+00
6.054040e+01 6.769858e+00
6.084159e+01 6.757352e+00
6.114279e+01 6.744977e+00
6.144398e+01 6.732693e+00
6.174518e+01 6.720471e+00
6.204638e+01 6.708285e+00
6.234757e+01 6.696118e+00
6.264877e+01 6.683956e+00
6.294996e+01 6.671788e+00
6.325116e+01 6.659606e+00
6.355236e+01 6.647414e+00
6.385355e+01 6.635399e+00
6.415475e+01 6.623512e+00
6.445594e+01 6.611714e+00
6.475714e+01 6.599976e+00
6.505834e+01 6.588275e+00
6.535953e+01 6.576595e+00
6.566073e+01 6.564921e+00
6.596192e+01 6.553243e+00
6.626312e+01 6.541553e+00
6.656432e+01 6.529845e+00
6.686551e+01 6.518200e+00
6.716671e+01 6.506702e+00
6.746790e+01 6.495310e+00
6.776910e+01 6.483991e+00
6.807030e+01 6.472721e+00
6.837149e+01 6.461480e+00
6.867269e+01 6.450253e+00
6.897388e+01 6.439030e+00
6.927508e+01 6.427800e+00
6.957628e+01 6.416559e+00
6.987747e+01 6.405299e+00
7.017867e+01 6.394072e+00
7.047986e+01 6.382989e+00
7.078106e+01 6.372010e+00
7.108226e+01 6.361103e+00
7.138345e+01 6.350246e+00
7.168465e+01 6.339418e+00
7.198584e+01 6.328607e+00
7.228704e+01 6.317800e+00
7.258824e+01 6.306990e+00
7.288943e+01 6.296170e+00
7.319063e+01 6.285335e+00
7.349182e+01 6.274481e+00
7.379302e+01 6.263706e+00
7.409422e+01 6.253054e+00
7.439541e+01 6.242490e+00
7.469661e+01 6.231987e+00
7.499780e+01 6.221524e+00
7.529900e+01 6.211086e+00
7.560020e+01 6.200660e+00
7.590139e+01 6.190237e+00
7.620259e+01 6.179810e+00
7.650378e+01 6.169373e+00
7.680498e+01 6.158921e+00
7.710618e+01 6.148451e+00
7.740737e+01 6.138010e+00
7.770857e+01 6.127695e+00
7.800976e+01 6.117470e+00
7.831096e+01 6.107308e+00
7.861216e+01 6.097190e+00
7.891335e+01 6.087100e+00
7.921455e+01 6.077024e+00
7.951574e+01 6.066954e+00
7.981694e+01 6.056882e+00
8.011814e+01 6.046803e+00
8.041933e+01 6.036713e+00
8.072053e+01 6.026608e+00
8.102172e+01 6.016485e+00
8.132292e+01 6.006403e+00
8.162412e+01 5.996434e+00
8.192531e+01 5.986547e+00
8.222651e+01 5.976719e+00
8.252770e+01 5.966929e+00
8.282890e+01 5.957164e+00
8.313010e+01 5.947413e+00
8.343129e+01 5.937667e+00
8.373249e+01 5.927920e+00
8.403368e+01 5.918166e+00
8.433488e+01 5.908402e+00
8.463608e+01 5.898625e+00
8.493727e+01 5.888832e+00
8.523847e+01 5.879022e+00
8.553966e+01 5.869312e+00
8.584086e+01 5.859692e+00
8.614206e+01 5.850138e+00
8.644325e+01 5.840630e+00
8.674445e+01 5.831152e+00
8.704564e+01 5.821693e+00
8.734684e+01 5.812243e+00
8.764804e+01 5.802796e+00
8.794923e+01 5.793346e+00
8.825043e+01 5.783889e+00
