# Serial 2TCM with k1:0.50; k2:0.85; k3:0.01; k4:0.01
# Times[minutes] Activity[kBq/ml]
0.000000e+00 -1.287763e+00
3.011960e-01 3.867432e+00
6.023920e-01 5.472175e+00
9.035880e-01 2.177554e+01
1.204784e+00 1.195302e+01
1.505980e+00 1.974730e+01
1.807176e+00 3.429820e+01
2.108372e+00 1.622112e+01
2.409568e+00 2.190979e+01
2.710764e+00 1.373123e+01
3.011960e+00 2.979262e+01
3.313156e+00 1.691710e+01
3.614352e+00 2.837110e+01
3.915548e+00 9.043786e+00
4.216744e+00 9.023323e+00
4.517940e+00 1.669717e+01
4.819136e+00 1.293200e+01
5.120332e+00 2.426742e+01
5.421528e+00 2.807654e+01
5.722724e+00 1.815060e+00
6.023920e+00 1.721634e+01
6.325116e+00 7.425953e+00
6.626312e+00 1.690802e+01
6.927508e+00 1.290341e+01
7.228704e+00 1.767341e+01
7.529900e+00 1.824756e+01
7.831096e+00 1.483063e+01
8.132292e+00 -5.781962e+00
8.433488e+00 1.509316e+01
8.734684e+00 1.810581e+01
9.035880e+00 -1.314279e+00
9.337076e+00 9.110295e+00
9.638272e+00 8.704454e+00
9.939468e+00 2.803363e+01
1.024066e+01 3.298117e+00
1.054186e+01 2.277945e+01
1.084306e+01 2.260406e+01
1.114425e+01 9.672290e+00
1.144545e+01 9.741282e+00
1.174664e+01 1.715761e+01
1.204784e+01 2.839963e+01
1.234904e+01 1.168817e+01
1.265023e+01 1.540689e+01
1.295143e+01 5.204094e-01
1.325262e+01 1.568280e+01
1.355382e+01 1.425720e+01
1.385502e+01 1.934723e+01
1.415621e+01 2.384811e+01
1.445741e+01 -3.231123e+00
1.475860e+01 -6.769102e+00
1.505980e+01 2.001793e+01
1.536100e+01 2.305780e+01
1.566219e+01 9.535209e+00
1.596339e+01 9.064797e+00
1.626458e+01 8.729583e+00
1.656578e+01 -5.463891e-01
1.686698e+01 9.316080e+00
1.716817e+01 2.577917e+00
1.746937e+01 1.574605e+01
1.777056e+01 5.393582e+00
1.807176e+01 1.045470e+01
1.837296e+01 -1.120465e+00
1.867415e+01 3.176791e+00
1.897535e+01 1.622075e+01
1.927654e+01 1.516799e+01
1.957774e+01 1.688174e+01
1.987894e+01 -9.258226e+00
2.018013e+01 1.650790e+01
2.048133e+01 2.257521e+01
2.078252e+01 -2.530045e+00
2.108372e+01 4.987553e+00
2.138492e+01 1.556016e+01
2.168611e+01 3.362403e+00
2.198731e+01 -4.912585e+00
2.228850e+01 1.703503e+01
2.258970e+01 -5.443993e+00
2.289090e+01 1.615328e+01
2.319209e+01 2.191715e+01
2.349329e+01 2.395708e+01
2.379448e+01 1.930061e+01
2.409568e+01 2.207706e+01
2.439688e+01 7.713856e-01
2.469807e+01 2.673614e+01
2.499927e+01 -9.113317e+00
2.530046e+01 4.992189e+00
2.560166e+01 1.864962e+01
2.590286e+01 3.093606e+00
2.620405e+01 1.015132e+01
2.650525e+01 2.911926e+00
2.680644e+01 1.750877e-01
2.710764e+01 1.155536e+01
2.740884e+01 7.097678e+00
2.771003e+01 1.403378e+01
2.801123e+01 1.643495e+01
2.831242e+01 1.711221e+00
2.861362e+01 4.399199e+00
2.891482e+01 -4.488455e+00
2.921601e+01 1.647439e+01
2.951721e+01 2.017573e+01
2.981840e+01 -1.949974e+00
3.011960e+01 1.969792e+01
3.042080e+01 -7.598341e-01
3.072199e+01 1.878006e+01
3.102319e+01 1.973944e+01
3.132438e+01 1.861429e+01
3.162558e+01 1.224969e+01
3.192678e+01 6.691308e+00
3.222797e+01 2.163589e+01
3.252917e+01 6.417939e+00
3.283036e+01 -4.148529e-01
3.313156e+01 1.816587e+01
3.343276e+01 7.764387e+00
3.373395e+01 1.948680e+01
3.403515e+01 5.638130e+00
3.433634e+01 9.927205e+00
3.463754e+01 -2.513936e+00
3.493874e+01 3.142298e+00
3.523993e+01 1.569952e+01
3.554113e+01 2.002462e+01
3.584232e+01 9.334289e+00
3.614352e+01 1.261811e+01
3.644472e+01 9.409860e+00
3.674591e+01 3.971946e+00
3.704711e+01 -6.050896e+00
3.734830e+01 1.063031e+01
3.764950e+01 -7.032704e+00
3.795070e+01 1.490886e+01
3.825189e+01 2.940936e+00
3.855309e+01 8.610689e+00
3.885428e+01 1.619361e+01
3.915548e+01 -1.990788e-01
3.945668e+01 -8.579626e-01
3.975787e+01 -5.605511e+00
4.005907e+01 -9.281468e+00
4.036026e+01 -2.686429e+00
4.066146e+01 7.369639e+00
4.096266e+01 6.726719e+00
4.126385e+01 9.672600e+00
4.156505e+01 1.192285e+01
4.186624e+01 1.177902e+01
4.216744e+01 1.003633e+01
4.246864e+01 1.615399e+01
4.276983e+01 1.925009e+01
4.307103e+01 1.231070e+01
4.337222e+01 3.000792e+00
4.367342e+01 1.646398e+01
4.397462e+01 -3.822273e-01
4.427581e+01 -2.722185e+00
4.457701e+01 9.603573e+00
4.487820e+01 8.490944e-01
4.517940e+01 1.949832e+01
4.548060e+01 1.009092e+01
4.578179e+01 6.297373e+00
4.608299e+01 4.307767e+00
4.638418e+01 1.360922e+01
4.668538e+01 8.348387e-01
4.698658e+01 1.225523e+01
4.728777e+01 2.054407e+01
4.758897e+01 1.206765e+01
4.789016e+01 1.686333e+01
4.819136e+01 8.992657e+00
4.849256e+01 -1.362174e+01
4.879375e+01 -1.828684e+00
4.909495e+01 2.111167e+00
4.939614e+01 1.560929e+01
4.969734e+01 6.042751e+00
4.999854e+01 3.308981e-01
5.029973e+01 -1.172026e+01
5.060093e+01 -5.566747e+00
5.090212e+01 4.547481e+00
5.120332e+01 1.340107e+01
5.150452e+01 -5.589582e+00
5.180571e+01 2.890220e+01
5.210691e+01 5.150672e+00
5.240810e+01 7.598924e+00
5.270930e+01 2.529518e+01
5.301050e+01 1.080338e+01
5.331169e+01 1.175682e+01
5.361289e+01 2.154682e+01
5.391408e+01 8.224503e+00
5.421528e+01 1.431636e-01
5.451648e+01 -3.393513e+00
5.481767e+01 9.369331e-01
5.511887e+01 -1.148420e+00
5.542006e+01 1.753498e+01
5.572126e+01 -7.807957e+00
5.602246e+01 1.132920e+01
5.632365e+01 1.208691e+01
5.662485e+01 1.306254e+01
5.692604e+01 -4.426956e+00
5.722724e+01 4.317648e+00
5.752844e+01 5.488110e+00
5.782963e+01 1.050048e+01
5.813083e+01 1.062069e+01
5.843202e+01 1.232231e+01
5.873322e+01 1.225611e+01
5.903442e+01 1.695706e+01
5.933561e+01 9.880493e+00
5.963681e+01 6.526896e+00
5.993800e+01 -6.934915e+00
6.023920e+01 1.187328e+01
6.054040e+01 4.838482e+00
6.084159e+01 3.636217e+00
6.114279e+01 1.055065e+01
6.144398e+01 1.492719e+01
6.174518e+01 8.245613e-01
6.204638e+01 1.589590e+01
6.234757e+01 -2.729781e+00
6.264877e+01 5.407903e+00
6.294996e+01 -5.344234e+00
6.325116e+01 -2.113715e+00
6.355236e+01 6.169663e+00
6.385355e+01 -9.602453e-01
6.415475e+01 1.161178e+01
6.445594e+01 1.656651e+01
6.475714e+01 1.220582e+01
6.505834e+01 6.433237e+00
6.535953e+01 6.458181e-01
6.566073e+01 6.183787e+00
6.596192e+01 -6.437432e+00
6.626312e+01 4.557701e+00
6.656432e+01 8.067541e-01
6.686551e+01 7.153571e+00
6.716671e+01 7.027764e+00
6.746790e+01 1.412002e+01
6.776910e+01 1.371382e+01
6.807030e+01 9.253684e+00
6.837149e+01 1.143403e+01
6.867269e+01 2.262815e+00
6.897388e+01 9.344405e+00
6.927508e+01 4.998703e+00
6.957628e+01 3.070532e+00
6.987747e+01 1.524287e+01
7.017867e+01 -6.265905e-01
7.047986e+01 2.354311e+00
7.078106e+01 6.400874e+00
7.108226e+01 6.841994e+00
7.138345e+01 1.518763e+01
7.168465e+01 -9.603868e-01
7.198584e+01 -3.795261e-01
7.228704e+01 1.813421e+01
7.258824e+01 5.014449e+00
7.288943e+01 1.158415e+01
7.319063e+01 1.745105e+01
7.349182e+01 2.257832e+01
7.379302e+01 1.250223e+01
7.409422e+01 8.121050e+00
7.439541e+01 7.615835e+00
7.469661e+01 8.392189e+00
7.499780e+01 2.309714e+00
7.529900e+01 4.315211e+00
7.560020e+01 7.481712e+00
7.590139e+01 2.031780e+00
7.620259e+01 1.077890e+01
7.650378e+01 1.326748e+01
7.680498e+01 4.359477e+00
7.710618e+01 2.443108e+00
7.740737e+01 4.271776e+00
7.770857e+01 1.237376e+01
7.800976e+01 1.174194e+01
7.831096e+01 -1.945982e+00
7.861216e+01 2.425145e+00
7.891335e+01 1.697821e+01
7.921455e+01 1.369432e+01
7.951574e+01 2.166456e+01
7.981694e+01 5.970713e+00
8.011814e+01 6.487942e+00
8.041933e+01 9.943443e-01
8.072053e+01 8.752965e+00
8.102172e+01 -5.414266e+00
8.132292e+01 -2.880788e+00
8.162412e+01 1.002785e+01
8.192531e+01 3.534912e+00
8.222651e+01 1.149613e+01
8.252770e+01 -3.874129e+00
8.282890e+01 1.067723e+00
8.313010e+01 -2.503171e+00
8.343129e+01 1.124935e-01
8.373249e+01 -2.288579e+00
8.403368e+01 8.650132e+00
8.433488e+01 -4.552206e+00
8.463608e+01 -8.088351e-01
8.493727e+01 7.360831e+00
8.523847e+01 1.405253e+01
8.553966e+01 1.170623e+01
8.584086e+01 -1.111955e+00
8.614206e+01 2.223468e+01
8.644325e+01 7.230514e+00
8.674445e+01 9.343047e-01
8.704564e+01 -4.602549e-01
8.734684e+01 1.004857e+00
8.764804e+01 3.580554e-01
8.794923e+01 1.325714e+01
8.825043e+01 -2.054407e+00
8.855162e+01 1.058539e+01
8.885282e+01 1.308376e+01
8.915402e+01 6.635692e+00
8.945521e+01 2.662586e-02
8.975641e+01 -1.289654e+00
9.005760e+01 8.158518e+00
9.035880e+01 6.488735e+00
9.066000e+01 7.222627e+00
9.096119e+01 4.903151e+00
9.126239e+01 2.956270e+01
9.156358e+01 1.498156e+01
9.186478e+01 -4.502792e-01
9.216598e+01 2.079104e+01
9.246717e+01 -1.329841e+01
9.276837e+01 -3.418957e+00
9.306956e+01 1.205516e+00
9.337076e+01 1.045148e+01
9.367196e+01 5.463378e+00
9.397315e+01 9.700636e+00
9.427435e+01 9.913948e+00
9.457554e+01 3.768561e+00
9.487674e+01 6.156183e+00
9.517794e+01 1.213668e+01
9.547913e+01 1.522900e+01
9.578033e+01 8.666966e+00
9.608152e+01 1.279354e+01
9.638272e+01 1.199327e+00
9.668392e+01 2.112196e+00
9.698511e+01 1.986077e+01
9.728631e+01 -5.715334e+00
9.758750e+01 -5.610116e+00
9.788870e+01 1.332842e+01
9.818990e+01 8.769407e+00
9.849109e+01 1.556691e+01
9.879229e+01 1.128173e+01
9.909348e+01 1.165850e+01
9.939468e+01 1.251193e+01
9.969588e+01 4.915070e+00
9.999707e+01 1.248477e+00
1.002983e+02 1.801135e+00
1.005995e+02 1.977352e+01
1.009007e+02 1.215239e+01
1.012019e+02 -1.410010e+01
1.015031e+02 1.083314e+00
1.018042e+02 5.217390e+00
1.021054e+02 3.163051e+00
1.024066e+02 8.215032e+00
1.027078e+02 -2.430266e+00
1.030090e+02 5.307239e+00
1.033102e+02 -4.119159e+00
1.036114e+02 9.613243e+00
1.039126e+02 1.167038e+01
1.042138e+02 -1.082617e+01
1.045150e+02 8.436135e+00
1.048162e+02 9.832152e+00
1.051174e+02 1.301152e+01
1.054186e+02 2.670356e+01
1.057198e+02 -1.595481e+00
1.060210e+02 1.305438e+01
1.063222e+02 7.337339e+00
1.066234e+02 -9.155029e+00
1.069246e+02 2.323144e+00
1.072258e+02 1.427857e+01
1.075270e+02 1.636609e+01
1.078282e+02 -1.188170e+00
1.081294e+02 1.846190e+01
1.084306e+02 9.414600e+00
1.087318e+02 1.190225e+01
1.090330e+02 -5.320246e+00
1.093341e+02 7.522878e+00
1.096353e+02 2.214790e+00
1.099365e+02 -9.443071e-02
1.102377e+02 3.950632e+00
1.105389e+02 8.788215e+00
1.108401e+02 1.854385e+01
1.111413e+02 5.149299e+00
1.114425e+02 1.726344e+01
1.117437e+02 2.263397e+00
1.120449e+02 3.238251e+00
1.123461e+02 1.450237e+01
1.126473e+02 -5.958973e+00
1.129485e+02 1.951912e+01
1.132497e+02 1.034765e+00
1.135509e+02 1.000988e+01
1.138521e+02 8.145514e+00
1.141533e+02 4.659734e+00
1.144545e+02 1.167547e+01
1.147557e+02 8.409720e+00
1.150569e+02 2.586144e+00
1.153581e+02 6.432027e+00
1.156593e+02 4.297625e+00
1.159605e+02 -5.218816e+00
1.162617e+02 1.246722e+01
1.165629e+02 9.633322e+00
1.168640e+02 1.130121e+00
1.171652e+02 8.029191e+00
1.174664e+02 9.631403e+00
1.177676e+02 -3.004725e+00
1.180688e+02 7.548211e+00
1.183700e+02 -2.865306e+00
1.186712e+02 2.627692e+00
1.189724e+02 -2.923283e+00
1.192736e+02 1.502634e+01
1.195748e+02 1.110605e+01
1.198760e+02 7.570101e+00
