Year,MinTemp,MaxTemp,Precipitation,ReferenceET,City_ID
1980,10.875437,19.239864,628.02,847.84,100
1981,11.376383,19.505945,444.24,897.64,100
1982,11.560247,19.69819,590.46,862.7,100
1983,11.4065485,19.621288,806.88,860.43,100
1984,10.855738,18.205246,659.52,819.11,100
1985,11.164877,18.661644,580.68,841.84,100
1986,11.238055,19.825672,436.13998,944.65,100
1987,11.495645,19.946575,544.74,885.57,100
1988,11.452787,19.475903,615.48,851.25,100
1989,11.570247,19.084082,526.5,798.24,100
1990,11.7375345,19.61674,706.14,798.73,100
1991,11.248466,19.554548,406.86002,834.52,100
1992,11.073798,19.750055,616.26,871.68,100
1993,11.081397,19.254438,606.06,820.32,100
1994,12.219205,20.444384,601.2,909.28,100
1995,11.797205,20.48063,571.14,910.43,100
1996,11.439262,19.289454,840.54,818.47,100
1997,12.20652,20.692274,315.48,924.83,100
1998,12.565672,20.686165,780.18,862.14,100
1999,12.398822,20.752384,599.16,907.96,100
2000,11.254863,19.945929,757.98,909.82,100
2001,11.240001,20.186548,489.24,948.27,100
2002,11.841342,20.711151,526.02,939.15,100
2003,11.378328,19.169588,948.42,802.82,100
2004,11.962513,20.470245,701.64,921.09,100
2005,11.73559,19.84989,666.66003,890.99,100
2006,12.429206,20.47674,567.24,884.16,100
2007,12.283535,20.609835,447.42,922.77,100
2008,11.676011,20.23743,697.68,894.27,100
2009,11.728712,20.236712,670.44,884.32,100
2010,11.806,20.236986,526.62,849.52,100
2011,11.502794,19.759726,781.2,873.35,100
2012,11.877842,19.894125,424.80002,930.8,100
2013,12.427946,21.095835,442.56,959.8,100
2014,12.717205,20.860659,593.7,900.88,100
2015,12.6049595,20.542986,587.27997,837.02,100
2016,13.167022,20.870684,926.16,867.16,100
2017,13.081891,21.355068,501.9,947.76,100
2018,12.73485,21.037617,610.32,963.33,100
1980,9.424481,18.092186,751.44,725.86,102
1981,9.8735895,18.142275,586.74,738.22,102
1982,10.047425,18.274931,654.78,697.07,102
1983,9.661261,18.386438,885.96,676.85,102
1984,9.010301,16.772732,987.06,652.82,102
1985,8.883123,17.179617,740.88,703.66,102
1986,8.858384,18.456274,489.9,755.31,102
1987,9.092219,18.710165,641.1,736.06,102
1988,9.114672,18.09448,735.24,672.66,102
1989,8.902192,17.308165,650.34,611.09,102
