# 1TCM with k1:0.10; k2:0.00
# Times[minutes] Activity[kBq/ml]
0.000000e+00 1.702299e+01
3.011960e-01 3.835215e+00
6.023920e-01 -4.087569e+00
9.035880e-01 -7.396204e+00
1.204784e+00 2.747108e+00
1.505980e+00 3.439798e+00
1.807176e+00 1.579331e+01
2.108372e+00 1.216795e+01
2.409568e+00 1.969343e+01
2.710764e+00 1.070606e+01
3.011960e+00 8.821648e+00
3.313156e+00 1.051464e+01
3.614352e+00 2.450705e+01
3.915548e+00 1.372342e+01
4.216744e+00 4.298359e+00
4.517940e+00 2.455433e+01
4.819136e+00 4.228792e+00
5.120332e+00 1.825046e+01
5.421528e+00 2.701241e+01
5.722724e+00 8.739197e+00
6.023920e+00 1.811877e+01
6.325116e+00 6.912258e+00
6.626312e+00 2.156502e+01
6.927508e+00 2.640104e+01
7.228704e+00 2.492711e+01
7.529900e+00 2.659956e+01
7.831096e+00 1.333631e+00
8.132292e+00 2.725492e+01
8.433488e+00 2.636113e+01
8.734684e+00 2.359549e+01
9.035880e+00 3.286972e+01
9.337076e+00 1.487572e+01
9.638272e+00 3.144356e+01
9.939468e+00 2.205636e+01
1.024066e+01 2.527070e+01
1.054186e+01 3.768246e+01
1.084306e+01 2.034018e+01
1.114425e+01 3.749984e+01
1.144545e+01 2.415166e+01
1.174664e+01 3.721957e+01
1.204784e+01 2.202194e+01
1.234904e+01 3.642720e+01
1.265023e+01 2.522040e+01
1.295143e+01 2.794057e+01
1.325262e+01 1.357569e+01
1.355382e+01 3.547766e+01
1.385502e+01 3.501711e+01
1.415621e+01 2.242038e+01
1.445741e+01 2.592881e+01
1.475860e+01 3.563204e+01
1.505980e+01 2.740994e+01
1.536100e+01 2.801986e+01
1.566219e+01 4.161197e+01
1.596339e+01 1.840372e+01
1.626458e+01 3.627274e+01
1.656578e+01 3.275540e+01
1.686698e+01 1.924052e+01
1.716817e+01 3.359745e+01
1.746937e+01 3.585540e+01
1.777056e+01 2.282269e+01
1.807176e+01 2.209403e+01
1.837296e+01 2.213111e+01
1.867415e+01 4.687288e+01
1.897535e+01 4.890246e+01
1.927654e+01 3.482914e+01
1.957774e+01 3.315720e+01
1.987894e+01 3.400951e+01
2.018013e+01 3.621790e+01
2.048133e+01 2.915352e+01
2.078252e+01 3.575280e+01
2.108372e+01 4.593778e+01
2.138492e+01 3.550869e+01
2.168611e+01 4.666200e+01
2.198731e+01 4.186723e+01
2.228850e+01 4.251574e+01
2.258970e+01 3.233749e+01
2.289090e+01 5.151780e+01
2.319209e+01 3.297371e+01
2.349329e+01 4.121278e+01
2.379448e+01 3.793918e+01
2.409568e+01 3.907312e+01
2.439688e+01 2.760423e+01
2.469807e+01 4.503137e+01
2.499927e+01 4.431180e+01
2.530046e+01 4.312161e+01
2.560166e+01 5.734059e+01
2.590286e+01 4.218415e+01
2.620405e+01 5.314919e+01
2.650525e+01 4.528467e+01
2.680644e+01 4.901463e+01
2.710764e+01 4.690387e+01
2.740884e+01 3.653213e+01
2.771003e+01 4.575382e+01
2.801123e+01 5.993523e+01
2.831242e+01 4.207992e+01
2.861362e+01 5.520692e+01
2.891482e+01 4.692699e+01
2.921601e+01 5.757314e+01
2.951721e+01 4.979575e+01
2.981840e+01 5.326588e+01
3.011960e+01 6.104762e+01
3.042080e+01 5.001824e+01
3.072199e+01 4.826934e+01
3.102319e+01 5.734235e+01
3.132438e+01 6.441986e+01
3.162558e+01 3.482208e+01
3.192678e+01 4.459527e+01
3.222797e+01 4.428891e+01
3.252917e+01 6.342279e+01
3.283036e+01 4.616226e+01
3.313156e+01 5.803552e+01
3.343276e+01 5.973038e+01
3.373395e+01 4.976337e+01
3.403515e+01 4.725950e+01
3.433634e+01 5.502906e+01
3.463754e+01 5.547418e+01
3.493874e+01 6.235997e+01
3.523993e+01 4.112881e+01
3.554113e+01 5.640145e+01
3.584232e+01 4.243177e+01
3.614352e+01 5.998103e+01
3.644472e+01 5.612609e+01
3.674591e+01 5.746794e+01
3.704711e+01 4.303090e+01
3.734830e+01 6.563282e+01
3.764950e+01 6.743175e+01
3.795070e+01 5.923264e+01
3.825189e+01 5.617253e+01
3.855309e+01 6.191915e+01
3.885428e+01 5.779589e+01
3.915548e+01 5.410174e+01
3.945668e+01 5.064673e+01
3.975787e+01 6.671086e+01
4.005907e+01 5.624574e+01
4.036026e+01 4.987885e+01
4.066146e+01 6.406495e+01
4.096266e+01 6.676967e+01
4.126385e+01 7.075011e+01
4.156505e+01 6.614096e+01
4.186624e+01 5.268209e+01
4.216744e+01 7.316183e+01
4.246864e+01 5.918193e+01
4.276983e+01 5.480438e+01
4.307103e+01 5.958257e+01
4.337222e+01 7.123085e+01
4.367342e+01 6.307777e+01
4.397462e+01 5.285856e+01
4.427581e+01 5.423541e+01
4.457701e+01 5.589257e+01
4.487820e+01 4.697506e+01
4.517940e+01 7.226743e+01
4.548060e+01 6.149073e+01
4.578179e+01 6.541909e+01
4.608299e+01 4.386493e+01
4.638418e+01 6.850971e+01
4.668538e+01 6.111599e+01
4.698658e+01 6.704535e+01
4.728777e+01 5.264503e+01
4.758897e+01 6.496574e+01
4.789016e+01 7.065522e+01
4.819136e+01 6.057938e+01
4.849256e+01 6.228423e+01
4.879375e+01 5.933095e+01
4.909495e+01 7.687393e+01
4.939614e+01 7.144495e+01
4.969734e+01 7.339356e+01
4.999854e+01 4.643170e+01
5.029973e+01 6.656554e+01
5.060093e+01 7.588629e+01
5.090212e+01 5.846694e+01
5.120332e+01 8.334597e+01
5.150452e+01 5.660021e+01
5.180571e+01 6.756408e+01
5.210691e+01 6.294001e+01
5.240810e+01 6.637461e+01
5.270930e+01 7.155280e+01
5.301050e+01 7.229436e+01
5.331169e+01 5.854622e+01
5.361289e+01 6.839094e+01
5.391408e+01 6.128030e+01
5.421528e+01 5.638902e+01
5.451648e+01 5.666780e+01
5.481767e+01 7.417728e+01
5.511887e+01 7.380213e+01
5.542006e+01 6.600941e+01
5.572126e+01 6.296180e+01
5.602246e+01 7.602606e+01
5.632365e+01 7.159058e+01
5.662485e+01 6.037554e+01
5.692604e+01 7.062563e+01
5.722724e+01 6.291067e+01
5.752844e+01 7.586886e+01
5.782963e+01 5.495517e+01
5.813083e+01 7.204790e+01
5.843202e+01 7.222774e+01
5.873322e+01 7.450154e+01
5.903442e+01 7.098446e+01
5.933561e+01 8.010642e+01
