OBJECTID,SPECIES,TAXONNAME,GENUS,CLASS,COMPCLASS,MAXDIAM,MORPHOLOGY_1,MORPHOLOGY_2,HABITAT_1,HABITAT_2,HABITAT_3,EXPOSED,HIGHENERGY,SAMOA,MARIANAS_,HAWAII,JOHNSTON,LINE,PHOENIX,WAKE,MARIANAS,KINGDOM,PHYLUM,S_ORDER,FAMILY,SCIENTIFIC_NAME,APHIAID,AUTHORITY,RANK,CITATION,FULL_CLASSIFICATION,URL,GENCODE,INACTIVE_FLAG_YN,NEW_SPECIES,ADU_FLAG_YN,JUV_FLAG_YN
84,FGRA,Fungia granulosa,Fungia,Anthozoa,Fungia,,,,,,,,,,,,,,,,Favia,Animalia,Cnidaria,Scleractinia,Fungiidae,Fungia granulosa,207348,"Klunzinger, 1879",Species,WoRMS (2010). Fungia granulosa. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=207348 on 2011-09-15,Biota (Superdomain) > Animalia (Kingdom) > Cnidaria (Phylum) > Anthozoa (Class) > Hexacorallia (Subclass) > Scleractinia (Order) > Fungiidae (Family) > Fungia (Genus) > Fungia granulosa (Species) > ,http://www.marinespecies.org/aphia.php?p=taxdetails&id=207348,FUSP,0,,0,0
85,FHAL,Favites halicora,Favites,Anthozoa,Favites,,massive,,shallow reef environments,,,No,No,Yes,No,No,No,Yes,No,Yes,Favia,Animalia,Cnidaria,Scleractinia,Faviidae,Favites halicora,207447,"(Ehrenberg, 1834)",Species,"WoRMS (2010). Favites halicora (Ehrenberg, 1834). Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=207447 on 2011-09-15",Biota (Superdomain) > Animalia (Kingdom) > Cnidaria (Phylum) > Anthozoa (Class) > Hexacorallia (Subclass) > Scleractinia (Order) > Faviidae (Family) > Favites (Genus) > Favites halicora (Species) > ,http://www.marinespecies.org/aphia.php?p=taxdetails&id=207447,FAVS,0,,0,0
86,FHEL,Favia helianthoides,Favia,Anthozoa,Favia,,massive,,shallow reef environments,,,No,No,No,Yes,No,No,No,No,Yes,Favia,Animalia,Cnidaria,Scleractinia,Faviidae,Favia helianthoides,207429,,Species,WoRMS (2010). Favia helianthoides. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=207429 on 2011-09-15,Biota (Superdomain) > Animalia (Kingdom) > Cnidaria (Phylum) > Anthozoa (Class) > Hexacorallia (Subclass) > Scleractinia (Order) > Faviidae (Family) > Favia (Genus) > Favia helianthoides (Species) > ,http://www.marinespecies.org/aphia.php?p=taxdetails&id=207429,FASP,0,,0,0
87,FMAT,Favia matthaii,Favia,Anthozoa,Favia,,massive,,upper reef slopes,,,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Favia,Animalia,Cnidaria,Scleractinia,Faviidae,Favia matthaii,207437,"Vaughan, 1918",Species,WoRMS (2010). Favia matthaii. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=207437 on 2011-09-15,Biota (Superdomain) > Animalia (Kingdom) > Cnidaria (Phylum) > Anthozoa (Class) > Hexacorallia (Subclass) > Scleractinia (Order) > Faviidae (Family) > Favia (Genus) > Favia matthaii (Species) > ,http://www.marinespecies.org/aphia.php?p=taxdetails&id=207437,FASP,0,,-1,0
88,FPAL,Favia pallida,Favia,Anthozoa,Favia,,massive,,all reef environments,back reef margins,,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Other,Animalia,Cnidaria,Scleractinia,Faviidae,Favia pallida,207440,"(Dana, 1846)",Species,WoRMS (2010). Favia pallida. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=207440 on 2011-09-15,Biota (Superdomain) > Animalia (Kingdom) > Cnidaria (Phylum) > Anthozoa (Class) > Hexacorallia (Subclass) > Scleractinia (Order) > Faviidae (Family) > Favia (Genus) > Favia pallida (Species) > ,http://www.marinespecies.org/aphia.php?p=taxdetails&id=207440,FASP,0,,-1,0
89,FPEN,Favites pentagona,Favites,Anthozoa,Favites,,massive,encrusting,shallow reef environments,,,No,No,Yes,Yes,No,No,Yes,Yes,No,Favia,Animalia,Cnidaria,Scleractinia,Faviidae,Favites pentagona,207446,"(Esper, 1794)",Species,"WoRMS (2010). Favites pentagona (Esper, 1794). Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=207446 on 2011-09-15",Biota (Superdomain) > Animalia (Kingdom) > Cnidaria (Phylum) > Anthozoa (Class) > Hexacorallia (Subclass) > Scleractinia (Order) > Faviidae (Family) > Favites (Genus) > Favites pentagona (Species) > ,http://www.marinespecies.org/aphia.php?p=taxdetails&id=207446,FAVS,0,,0,0
90,FREP,Fungia repanda,Fungia,Anthozoa,Fungia,,free-living,,reef slopes,lagoons,,No,No,Yes,Yes,No,No,Yes,Yes,No,Favia,Animalia,Cnidaria,Scleractinia,Fungiidae,Fungia repanda,207359,"(Dana, 1846)",Species,"WoRMS (2010). Fungia repanda (Dana, 1846). Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=207359 on 2011-09-15",Biota (Superdomain) > Animalia (Kingdom) > Cnidaria (Phylum) > Anthozoa (Class) > Hexacorallia (Subclass) > Scleractinia (Order) > Fungiidae (Family) > Fungia (Genus) > Fungia repanda (Species) > ,http://www.marinespecies.org/aphia.php?p=taxdetails&id=207359,FUSP,0,,0,0
91,FROT,Favia rotumana,Favia,Anthozoa,Favia,,encrusting,,upper reef slopes,,,No,No,Yes,Yes,No,No,Yes,Yes,No,Other,Animalia,Cnidaria,Scleractinia,Faviidae,Favia rotumana,207438,"(Gardiner, 1899)",Species,WoRMS (2010). Favia rotumana. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=207438 on 2011-09-15,Biota (Superdomain) > Animalia (Kingdom) > Cnidaria (Phylum) > Anthozoa (Class) > Hexacorallia (Subclass) > Scleractinia (Order) > Faviidae (Family) > Favia (Genus) > Favia rotumana (Species) > ,http://www.marinespecies.org/aphia.php?p=taxdetails&id=207438,FASP,0,,0,0
92,FRUS,Favites russelli,Favites,Anthozoa,Favites,,massive,encrusting,many reef environments,,,No,No,Yes,Yes,No,No,Yes,Yes,No,Favia,Animalia,Cnidaria,Scleractinia,Faviidae,Favites russelli,207454,"(Wells, 1954)",Species,"WoRMS (2010). Favites russelli (Wells, 1954). Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=207454 on 2011-09-15",Biota (Superdomain) > Animalia (Kingdom) > Cnidaria (Phylum) > Anthozoa (Class) > Hexacorallia (Subclass) > Scleractinia (Order) > Faviidae (Family) > Favites (Genus) > Favites russelli (Species) > ,http://www.marinespecies.org/aphia.php?p=taxdetails&id=207454,FAVS,0,,0,0
93,FSCU,Fungia scutaria,Fungia,Anthozoa,Fungia,,free-living,,reef slopes,,,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Other,Animalia,Cnidaria,Scleractinia,Fungiidae,Fungia scutaria,207341,"Lamarck, 1801",Species,"WoRMS (2010). Fungia scutaria Lamarck, 1801. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=207341 on 2011-09-15",Biota (Superdomain) > Animalia (Kingdom) > Cnidaria (Phylum) > Anthozoa (Class) > Hexacorallia (Subclass) > Scleractinia (Order) > Fungiidae (Family) > Fungia (Genus) > Fungia scutaria (Species) > ,http://www.marinespecies.org/aphia.php?p=taxdetails&id=207341,FUSP,0,,0,0
