subj_month,region_type,start,end,position,subregion_rank
25_12,subregion,10,3600000,1,2
25_12,subregion,3600000,4687190,2,4
25_12,silence,4687190,10197060,1,
25_12,silence,13535860,22498720,2,
25_12,silence,22801420,22997390,3,
25_12,silence,23273860,23452090,4,
25_12,subregion,23700000,24077020,3,3
25_12,silence,24077020,24505780,5,
25_12,subregion,24505780,27300000,3,3
25_12,extra,27300830,27600000,1,
25_12,subregion,27600000,31200000,4,1
25_12,makeup,32700000,33739500,5,
25_12,silence,33739500,34664460,6,
25_12,makeup,34664460,36300000,5,
25_12,extra,36309250,36478290,2,
25_12,silence,36996720,37015430,7,
