Directory,Time (s),Peak RAM (MB)
CTD,39.49,0.95
plus_CTD_BGC,132.87,0.93
plus_DRIFTER,155.63,0.95
plus_ARGO,506.98,0.96
plus_UNDERWAY,796.10,0.97
