subj_month,region_type,start,end,position,subregion_rank
06_07,subregion,300000,3900000,1,2
06_07,extra,3900000,4920000,1,
06_07,silence,5792880,12979860,1,
06_07,subregion,12979860,15000000,2,5
06_07,subregion,15000000,18600000,3,1
06_07,subregion,18600000,20177880,4,4
06_07,silence,20177880,29002700,2,
06_07,silence,29463520,30889880,3,
06_07,silence,31541840,32139910,4,
06_07,silence,32266100,32566150,5,
06_07,silence,39076810,39597010,6,
06_07,subregion,39597010,40024060,5,3
06_07,silence,40024060,40412990,7,
06_07,subregion,40412990,42573280,5,3
06_07,silence,42573280,48637900,8,
06_07,silence,49912700,57599990,9,
