pillow<13.0.0,>=10.4.0
pydantic<3.0.0,>=2.8.2
pyside6-essentials<7.0.0,>=6.10.0
pytesseract<1.0.0,>=0.3.13
pyyaml<7.0.0,>=6.0.2

[dev]
pyinstaller<7.0.0,>=6.0.0
pytest<10.0.0,>=8.3.3
pytest-cov<8.0.0,>=4.1.0
pytest-mock<4.0.0,>=3.14.0
pytest-qt<5.0.0,>=4.4.0
pytest-xdist<4.0.0,>=3.6.1
pytest-xvfb<4.0.0,>=3.0.0
ruff<1.0.0,>=0.2.0
tox<5.0.0,>=4.0.0
