scene_id,surface_type_min,surface_type_max,surface_wind_min,surface_wind_max,cloud_fraction_min,cloud_fraction_max,cloud_phase_min,cloud_phase_max,optical_depth_min,optical_depth_max
1,0,1,,3.5,,0.1,,,,
2,0,1,3.5,5.5,,0.1,,,,
3,0,1,5.5,7.5,,0.1,,,,
4,0,1,7.5,,,0.1,,,,
11,1,2,,,,0.1,,,,
12,2,3,,,,0.1,,,,
13,3,4,,,,0.1,,,,
14,4,5,,,,0.1,,,,
15,0,1,,,0.1,10,1,2,0,1
16,0,1,,,0.1,10,1,2,1,2.5
17,0,1,,,0.1,10,1,2,2.5,5
18,0,1,,,0.1,10,1,2,5,7.5
19,0,1,,,0.1,10,1,2,7.5,10
20,0,1,,,0.1,10,1,2,10,12.5
21,0,1,,,0.1,10,1,2,12.5,15
22,0,1,,,0.1,10,1,2,15,17.5
23,0,1,,,0.1,10,1,2,17.5,20
24,0,1,,,0.1,10,1,2,20,25
25,0,1,,,0.1,10,1,2,25,30
26,0,1,,,0.1,10,1,2,30,40
27,0,1,,,0.1,10,1,2,40,50
28,0,1,,,0.1,10,1,2,50,
29,0,1,,,10,20,1,2,0,1
30,0,1,,,10,20,1,2,1,2.5
31,0,1,,,10,20,1,2,2.5,5
32,0,1,,,10,20,1,2,5,7.5
33,0,1,,,10,20,1,2,7.5,10
34,0,1,,,10,20,1,2,10,12.5
35,0,1,,,10,20,1,2,12.5,15
36,0,1,,,10,20,1,2,15,17.5
37,0,1,,,10,20,1,2,17.5,20
38,0,1,,,10,20,1,2,20,25
39,0,1,,,10,20,1,2,25,30
40,0,1,,,10,20,1,2,30,40
41,0,1,,,10,20,1,2,40,50
42,0,1,,,10,20,1,2,50,
43,0,1,,,20,30,1,2,0,1
44,0,1,,,20,30,1,2,1,2.5
45,0,1,,,20,30,1,2,2.5,5
46,0,1,,,20,30,1,2,5,7.5
47,0,1,,,20,30,1,2,7.5,10
48,0,1,,,20,30,1,2,10,12.5
49,0,1,,,20,30,1,2,12.5,15
50,0,1,,,20,30,1,2,15,17.5
51,0,1,,,20,30,1,2,17.5,20
52,0,1,,,20,30,1,2,20,25
53,0,1,,,20,30,1,2,25,30
54,0,1,,,20,30,1,2,30,40
55,0,1,,,20,30,1,2,40,50
56,0,1,,,20,30,1,2,50,
57,0,1,,,30,40,1,2,0,1
58,0,1,,,30,40,1,2,1,2.5
59,0,1,,,30,40,1,2,2.5,5
60,0,1,,,30,40,1,2,5,7.5
61,0,1,,,30,40,1,2,7.5,10
62,0,1,,,30,40,1,2,10,12.5
63,0,1,,,30,40,1,2,12.5,15
64,0,1,,,30,40,1,2,15,17.5
65,0,1,,,30,40,1,2,17.5,20
66,0,1,,,30,40,1,2,20,25
67,0,1,,,30,40,1,2,25,30
68,0,1,,,30,40,1,2,30,40
69,0,1,,,30,40,1,2,40,50
70,0,1,,,30,40,1,2,50,
71,0,1,,,40,50,1,2,0,1
72,0,1,,,40,50,1,2,1,2.5
73,0,1,,,40,50,1,2,2.5,5
74,0,1,,,40,50,1,2,5,7.5
75,0,1,,,40,50,1,2,7.5,10
76,0,1,,,40,50,1,2,10,12.5
77,0,1,,,40,50,1,2,12.5,15
78,0,1,,,40,50,1,2,15,17.5
79,0,1,,,40,50,1,2,17.5,20
80,0,1,,,40,50,1,2,20,25
81,0,1,,,40,50,1,2,25,30
82,0,1,,,40,50,1,2,30,40
83,0,1,,,40,50,1,2,40,50
84,0,1,,,40,50,1,2,50,
85,0,1,,,50,60,1,2,0,1
86,0,1,,,50,60,1,2,1,2.5
87,0,1,,,50,60,1,2,2.5,5
88,0,1,,,50,60,1,2,5,7.5
89,0,1,,,50,60,1,2,7.5,10
90,0,1,,,50,60,1,2,10,12.5
91,0,1,,,50,60,1,2,12.5,15
92,0,1,,,50,60,1,2,15,17.5
93,0,1,,,50,60,1,2,17.5,20
94,0,1,,,50,60,1,2,20,25
95,0,1,,,50,60,1,2,25,30
96,0,1,,,50,60,1,2,30,40
97,0,1,,,50,60,1,2,40,50
98,0,1,,,50,60,1,2,50,
99,0,1,,,60,70,1,2,0,1
100,0,1,,,60,70,1,2,1,2.5
101,0,1,,,60,70,1,2,2.5,5
102,0,1,,,60,70,1,2,5,7.5
103,0,1,,,60,70,1,2,7.5,10
104,0,1,,,60,70,1,2,10,12.5
105,0,1,,,60,70,1,2,12.5,15
106,0,1,,,60,70,1,2,15,17.5
107,0,1,,,60,70,1,2,17.5,20
108,0,1,,,60,70,1,2,20,25
109,0,1,,,60,70,1,2,25,30
110,0,1,,,60,70,1,2,30,40
111,0,1,,,60,70,1,2,40,50
112,0,1,,,60,70,1,2,50,
113,0,1,,,70,80,1,2,0,1
114,0,1,,,70,80,1,2,1,2.5
115,0,1,,,70,80,1,2,2.5,5
116,0,1,,,70,80,1,2,5,7.5
117,0,1,,,70,80,1,2,7.5,10
118,0,1,,,70,80,1,2,10,12.5
119,0,1,,,70,80,1,2,12.5,15
120,0,1,,,70,80,1,2,15,17.5
121,0,1,,,70,80,1,2,17.5,20
122,0,1,,,70,80,1,2,20,25
