region,Hemisphere,seg_index,face,plot_order
putamen,L,15,medial,1
pallidum,L,13,medial,2
accumbens,L,14,medial,3
caudate,L,16,medial,4
thalamus_anterior,L,12,medial,5
amygdala,L,10,medial,6
hippocampus,L,9,medial,7
thalamus_posterior,L,11,medial,8
accumbens,L,14,lateral,9
caudate,L,16,lateral,10
thalamus_anterior,L,12,lateral,11
thalamus_posterior,L,11,lateral,12
hippocampus,L,9,lateral,13
amygdala,L,10,lateral,14
putamen,L,15,lateral,15
putamen,R,7,medial,16
pallidum,R,5,medial,17
accumbens,R,6,medial,18
caudate,R,8,medial,19
thalamus_anterior,R,4,medial,20
amygdala,R,2,medial,21
hippocampus,R,1,medial,22
thalamus_posterior,R,3,medial,23
accumbens,R,6,lateral,24
caudate,R,8,lateral,25
thalamus_anterior,R,4,lateral,26
thalamus_posterior,R,3,lateral,27
hippocampus,R,1,lateral,28
amygdala,R,2,lateral,29
putamen,R,7,lateral,30
