region,Hemisphere,seg_index,face,plot_order
Thalamus-9,R,384,lateral,1
Thalamus-7,R,380,lateral,2
Caudate-1,R,348,lateral,3
Caudate-3,R,352,lateral,4
Amygdala-1,R,346,lateral,5
Caudate-2,R,350,lateral,6
Caudate-4,R,354,lateral,7
Thalamus-6,R,378,lateral,8
Thalamus-5,R,376,lateral,9
Thalamus-2,R,370,lateral,10
Caudate-5,R,356,lateral,11
Caudate-6,R,358,lateral,12
Caudate-7,R,360,lateral,13
Putamen-2,R,364,lateral,14
Putamen-3,R,366,lateral,15
Putamen-3,R,366,medial,16
Putamen-2,R,364,medial,17
Pallidum-1,R,362,medial,18
Thalamus-1,R,368,medial,19
Thalamus-5,R,376,medial,20
Thalamus-6,R,378,medial,21
Thalamus-7,R,380,medial,22
Thalamus-8,R,382,medial,23
Thalamus-2,R,370,medial,24
Thalamus-4,R,374,medial,25
Caudate-5,R,356,medial,26
Amygdala-1,R,346,medial,27
Thalamus-9,R,384,medial,28
Caudate-3,R,352,medial,29
Caudate-4,R,354,medial,30
Caudate-6,R,358,medial,31
Caudate-7,R,360,medial,32
Caudate-1,R,348,medial,33
Caudate-2,R,350,medial,34
Thalamus-3,R,372,medial,35
