region,Hemisphere,seg_index,face,plot_order
Medio_Dorsal,L,3,lateral,1
Ventral_Latero_Dorsal,L,4,lateral,2
Ventral_Anterior,L,6,lateral,3
Anterior,L,2,lateral,4
Pulvinar,L,1,lateral,5
Ventral_Latero_Ventral,L,7,lateral,6
Ventral_Latero_Ventral,L,7,medial,7
Anterior,L,2,medial,8
Pulvinar,L,1,medial,9
Ventral_Anterior,L,6,medial,10
Ventral_Latero_Dorsal,L,4,medial,11
Central_Lateral-Lateral_Posterior-Medial_Pulvinar,L,5,medial,12
Medio_Dorsal,L,3,medial,13
Medio_Dorsal,R,10,lateral,14
Ventral_Latero_Dorsal,R,11,lateral,15
Ventral_Anterior,R,13,lateral,16
Anterior,R,9,lateral,17
Pulvinar,R,8,lateral,18
Ventral_Latero_Ventral,R,14,lateral,19
Ventral_Latero_Ventral,R,14,medial,20
Anterior,R,9,medial,21
Pulvinar,R,8,medial,22
Ventral_Anterior,R,13,medial,23
Ventral_Latero_Dorsal,R,11,medial,24
Central_Lateral-Lateral_Posterior-Medial_Pulvinar,R,12,medial,25
Medio_Dorsal,R,10,medial,26
