region,Hemisphere,seg_index,face,plot_order
IV,L,1,medial,1
IV,R,2,medial,2
V,L,3,medial,3
V,R,4,medial,4
VI,L,5,medial,5
VI,V,6,medial,6
VI,R,7,medial,7
Crus_I,L,8,medial,8
Crus_I,R,9,medial,9
Crus_II,L,10,medial,10
Crus_II,V,11,medial,11
Crus_II,R,12,medial,12
VIIb,L,13,medial,13
VIIb,V,14,medial,14
VIIb,R,15,medial,15
VIIIa,L,16,medial,16
VIIIa,V,17,medial,17
VIIIa,R,18,medial,18
VIIIb,L,19,medial,19
VIIIb,V,20,medial,20
VIIIb,R,21,medial,21
IX,L,22,medial,22
IX,V,23,medial,23
IX,R,24,medial,24
X,L,25,medial,25
X,V,26,medial,26
X,R,27,medial,27
