scene_id,surface_type_min,surface_type_max,cloud_fraction_min,cloud_fraction_max
1,0,1,,5
2,5,6,,5
3,1,3,,5
4,3,5,,5
5,0,1,5,50
6,5,6,5,50
7,1,5,5,50
8,0,1,50,95
9,5,6,50,95
10,1,5,50,95
11,0,,95,
