index	name	abbreviation	mapping
0	Unknown	Unknown	0
1	Left-Cerebral-White-Matter	LeftCerebralWM	2
2	Left-Lateral-Ventricle	LeftLateralVentricle	4
3	Left-Inf-Lat-Vent	LeftInfLatVent	5
4	Left-Cerebellum-White-Matter	LeftCBMWM	7
5	Left-Cerebellum-Cortex	LeftCBMCortex	8
6	Left-Thalamus	LeftThalamus	10
7	Left-Caudate	LeftCaudate	11
8	Left-Putamen	LeftPutamen	12
9	Left-Pallidum	LeftPallidum	13
10	3rd-Ventricle	3rdVentricle	14
11	4th-Ventricle	4thVentricle	15
12	Brain-Stem	BrainStem	16
13	Left-Hippocampus	LeftHippocampus	17
14	Left-Amygdala	LeftAmygdala	18
15	CSF	CSF	24
16	Left-Accumbens-area	LeftAccumbensarea	26
17	Left-VentralDC	LeftVentralDC	28
18	Left-vessel	Leftvessel	30
19	Left-choroid-plexus	Leftchoroidplexus	31
20	Right-Cerebral-White-Matter	RightCerebralWM	41
21	Right-Lateral-Ventricle	RightLateralVentricle	43
22	Right-Inf-Lat-Vent	RightInfLatVent	44
23	Right-Cerebellum-White-Matter	RightCBMWM	46
24	Right-Cerebellum-Cortex	RightCBMCortex	47
25	Right-Thalamus	RightThalamus	49
26	Right-Caudate	RightCaudate	50
27	Right-Putamen	RightPutamen	51
28	Right-Pallidum	RightPallidum	52
29	Right-Hippocampus	RightHippocampus	53
30	Right-Amygdala	RightAmygdala	54
31	Right-Accumbens-area	RightAccumbensarea	58
32	Right-VentralDC	RightVentralDC	60
33	Right-vessel	Rightvessel	62
34	Right-choroid-plexus	Rightchoroidplexus	63
35	Optic-Chiasm	OpticChiasm	85
36	AirCavity	AirCavity	130
37	Skull	Skull	165
38	Vermis	Vermis	172
39	Pons	Pons	174
40	CC_Posterior	CCPosterior	251
41	CC_Mid_Posterior	CCMidPosterior	252
42	CC_Central	CCCentral	253
43	CC_Mid_Anterior	CCMidAnterior	254
44	CC_Anterior	CCAnterior	255
45	CSF-ExtraCerebral	CSFExtraCerebral	257
46	Head-ExtraCerebral	HeadExtraCerebral	258
47	ctx-lh-bankssts	ctxlhbankssts	1001
