db,indcode,isparent,indname,parentcode
hgjd,A01,True,国民经济核算,""
hgjd,A0101,False,国内生产总值(现价),A01
hgjd,A0102,False,国内生产总值(不变价),A01
hgjd,A0103,False,国内生产总值指数,A01
hgjd,A0104,False,国内生产总值环比增长速度,A01
hgjd,A0105,False,三大需求对国内生产总值增长的贡献率,A01
hgjd,A0106,False,三次产业贡献率,A01
hgjd,A02,True,农业,""
hgjd,A0201,False,农林牧渔业总产值,A02
hgjd,A03,True,工业,""
hgjd,A0301,True,主要工业产品的销售与库存,A03
hgjd,A030101,False,铁矿石原矿,A0301
hgjd,A030102,False,原盐,A0301
hgjd,A030103,False,成品糖,A0301
hgjd,A030104,False,精制食用植物油,A0301
hgjd,A030105,False,乳制品,A0301
hgjd,A030106,False,白酒(折65度，商品量),A0301
hgjd,A030107,False,啤酒,A0301
hgjd,A030108,False,饮料,A0301
hgjd,A030109,False,卷烟,A0301
hgjd,A03010A,False,纱,A0301
hgjd,A03010B,False,布,A0301
hgjd,A03010C,False,服装,A0301
hgjd,A03010D,False,棉布,A0301
hgjd,A03010E,False,棉混纺布(混纺交织布),A0301
hgjd,A03010F,False,化学纤维布(纯化纤布),A0301
hgjd,A03010G,False,毛机织物(呢绒),A0301
hgjd,A03010H,False,机制纸及纸板,A0301
hgjd,A03010I,False,硫酸(折100%),A0301
hgjd,A03010J,False,烧碱(折100%),A0301
hgjd,A03010K,False,纯碱(碳酸钠),A0301
hgjd,A03010L,False,碳化钙(电石，折300升/千克),A0301
hgjd,A03010M,False,乙烯,A0301
hgjd,A03010N,False,合成氨(无水氨),A0301
hgjd,A03010O,False,汽油,A0301
hgjd,A03010P,False,煤油,A0301
hgjd,A03010Q,False,柴油,A0301
hgjd,A03010R,False,农用氮磷钾化学肥料总计(折纯),A0301
hgjd,A03010S,False,氮肥(折含氮100%),A0301
hgjd,A03010T,False,磷肥(折五氧化二磷100%),A0301
hgjd,A03010U,False,化学农药原药(折有效成份100%),A0301
hgjd,A03010V,False,涂料,A0301
hgjd,A03010W,False,初级形态塑料,A0301
hgjd,A03010X,False,合成橡胶,A0301
hgjd,A03010Y,False,合成洗涤剂,A0301
hgjd,A03010Z,False,化学药品原药,A0301
hgjd,A030110,False,化学纤维,A0301
hgjd,A030111,False,橡胶轮胎外胎,A0301
hgjd,A030112,False,塑料制品,A0301
hgjd,A030113,False,农用薄膜,A0301
