db,indcode,isparent,indname,parentcode
fsyd,A01,True,价格指数,""
fsyd,A0101,True,居民消费价格分类指数,A01
fsyd,A01010B,False,居民消费价格分类指数(上年同月=100)(2021-),A0101
fsyd,A010101,False,居民消费价格分类指数(上年同月=100)(2016-2020),A0101
fsyd,A010102,False,居民消费价格分类指数(上年同月=100)(-2015),A0101
fsyd,A010103,False,食品类居民消费价格指数(上年同月=100),A0101
fsyd,A01010C,False,居民消费价格分类指数(上年同期=100)(2021-),A0101
fsyd,A010104,False,居民消费价格分类指数(上年同期=100)(2016-2020),A0101
fsyd,A010105,False,居民消费价格分类指数(上年同期=100)(-2015),A0101
fsyd,A010106,False,食品类居民消费价格指数(上年同期=100),A0101
fsyd,A01010D,False,居民消费价格分类指数(上月=100)(2021-),A0101
fsyd,A010107,False,居民消费价格分类指数(上月=100)(2016-2020),A0101
fsyd,A010108,False,居民消费价格分类指数(上月=100)(-2015),A0101
fsyd,A010109,False,食品类居民消费价格指数(上月=100),A0101
fsyd,A01010A,False,按城乡分居民消费价格指数,A0101
fsyd,A0102,True,商品零售价格分类指数,A01
fsyd,A010204,False,商品零售价格指数(上年同月=100),A0102
fsyd,A010205,False,商品零售价格指数(上年同期=100),A0102
fsyd,A010206,False,商品零售价格指数(上月=100),A0102
fsyd,A010207,False,按城乡分商品零售价格指数,A0102
fsyd,A0103,False,工业生产者价格指数,A01
fsyd,A02,True,工业,""
fsyd,A0201,False,工业增加值增长速度,A02
fsyd,A0204,False,产品销售率(按现价计算),A02
fsyd,A0202,True,工业主要产品产量,A02
fsyd,A020202,False,铁矿石原矿量,A0202
fsyd,A020203,False,磷矿石,A0202
fsyd,A020204,False,原盐,A0202
fsyd,A020205,False,成品糖,A0202
fsyd,A020206,False,饮料,A0202
fsyd,A020207,False,纱,A0202
fsyd,A020208,False,布,A0202
fsyd,A020209,False,机制纸及纸板,A0202
fsyd,A02020A,False,新闻纸,A0202
fsyd,A02020F,False,硫酸,A0202
fsyd,A02020G,False,烧碱(折100%),A0202
fsyd,A02020H,False,纯碱(碳酸钠),A0202
fsyd,A02020I,False,农用氮磷钾化肥(折纯),A0202
fsyd,A02020J,False,化学农药原药,A0202
fsyd,A02020K,False,乙烯,A0202
fsyd,A02020L,False,初级形态的塑料,A0202
fsyd,A02020M,False,合成洗涤剂,A0202
fsyd,A02020N,False,化学纤维,A0202
fsyd,A02020O,False,塑料制品,A0202
fsyd,A02020P,False,水泥,A0202
fsyd,A02020Q,False,平板玻璃,A0202
fsyd,A02020R,False,生铁,A0202
fsyd,A02020S,False,粗钢,A0202
fsyd,A02020T,False,钢材,A0202
fsyd,A02020U,False,十种有色金属,A0202
fsyd,A02020V,False,氧化铝,A0202
fsyd,A02020W,False,铜材,A0202
fsyd,A02020X,False,铝材,A0202
fsyd,A02020Y,False,工业锅炉,A0202
fsyd,A02020Z,False,发动机,A0202
fsyd,A020210,False,金属切削机床,A0202
fsyd,A020211,False,电动手提式工具,A0202
fsyd,A020212,False,金属冶炼设备,A0202
fsyd,A020213,False,水泥专用设备,A0202
fsyd,A020214,False,包装专用设备,A0202
fsyd,A020215,False,大型拖拉机,A0202
fsyd,A020216,False,中型拖拉机,A0202
fsyd,A020217,False,小型拖拉机,A0202
fsyd,A020218,False,大气污染防治设备,A0202
fsyd,A020219,False,铁路机车,A0202
fsyd,A02021A,False,汽车,A0202
fsyd,A02021V,False,新能源汽车,A0202
fsyd,A02021B,False,民用钢质船舶,A0202
fsyd,A02021C,False,发电设备,A0202
fsyd,A02021D,False,交流电动机,A0202
fsyd,A02021E,False,家用洗衣机,A0202
fsyd,A02021F,False,家用电冰箱,A0202
fsyd,A02021G,False,家用冷柜,A0202
fsyd,A02021H,False,房间空气调节器,A0202
fsyd,A02021I,False,程控交换机,A0202
fsyd,A02021J,False,传真机,A0202
fsyd,A02021K,False,移动通信基站设备,A0202
fsyd,A02021L,False,移动通信手持机,A0202
fsyd,A02021W,False,智能手机,A0202
fsyd,A02021U,False,电子计算机整机,A0202
fsyd,A02021M,False,微型计算机设备,A0202
fsyd,A02021N,False,集成电路,A0202
fsyd,A02021O,False,彩色电视机,A0202
fsyd,A02021P,False,电工仪器仪表,A0202
fsyd,A02021Q,False,复印和胶版印制设备,A0202
fsyd,A0203,False,工业企业主要经济指标,A02
fsyd,A03,True,能源,""
fsyd,A0301,True,能源主要产品产量,A03
fsyd,A030101,False,原煤,A0301
fsyd,A030102,False,原油,A0301
fsyd,A030103,False,天然气,A0301
fsyd,A030104,False,煤层气,A0301
fsyd,A030105,False,液化天然气,A0301
fsyd,A030106,False,原油加工量,A0301
fsyd,A030107,False,汽油,A0301
fsyd,A030108,False,煤油,A0301
fsyd,A030109,False,柴油,A0301
fsyd,A03010A,False,燃料油,A0301
fsyd,A03010B,False,石脑油,A0301
fsyd,A03010C,False,液化石油气,A0301
fsyd,A03010D,False,石油焦,A0301
fsyd,A03010E,False,石油沥青,A0301
fsyd,A03010F,False,焦炭,A0301
fsyd,A03010G,False,发电量,A0301
fsyd,A03010H,False,火力发电量,A0301
fsyd,A03010I,False,水力发电量,A0301
fsyd,A03010J,False,核能发电量,A0301
fsyd,A03010K,False,风力发电量,A0301
fsyd,A03010L,False,太阳能发电量,A0301
fsyd,A03010M,False,煤气,A0301
fsyd,A04,True,固定资产投资(不含农户),""
fsyd,A0401,False,固定资产投资增速情况,A04
fsyd,A0402,False,固定资产投资项目计划总投资增长情况（2018-）,A04
fsyd,A14,True,房地产,""
fsyd,A1401,False,房地产开发投资情况,A14
fsyd,A1403,False,房地产施工、竣工面积,A14
fsyd,A1404,False,商品住宅施工、竣工面积,A14
fsyd,A1405,False,办公楼施工、竣工面积,A14
fsyd,A1406,False,商业营业用房施工、竣工面积,A14
fsyd,A1407,False,商品房销售面积,A14
