db,indcode,isparent,indname,parentcode
hgyd,A01,True,价格指数,""
hgyd,A0101,True,居民消费价格分类指数(上年同月=100),A01
hgyd,A01010G,False,全国居民消费价格分类指数(上年同月=100)(2021-),A0101
hgyd,A010101,False,全国居民消费价格分类指数(上年同月=100)(2016-2020),A0101
hgyd,A010102,False,全国居民消费价格分类指数(上年同月=100)(-2015),A0101
hgyd,A010103,False,全国食品类居民消费价格指数(上年同月=100),A0101
hgyd,A01010H,False,城市居民消费价格分类指数(上年同月=100)(2021-),A0101
hgyd,A010104,False,城市居民消费价格分类指数(上年同月=100)(2016-2020),A0101
hgyd,A010105,False,城市居民消费价格分类指数(上年同月=100)(-2015),A0101
hgyd,A010106,False,食品类城市居民消费价格指数(上年同月=100),A0101
hgyd,A01010I,False,农村居民消费价格分类指数(上年同月=100)(2021-),A0101
hgyd,A010107,False,农村居民消费价格分类指数(上年同月=100)(2016-2020),A0101
hgyd,A010108,False,农村居民消费价格分类指数(上年同月=100)(-2015),A0101
hgyd,A010109,False,食品类农村居民消费价格指数(上年同月=100),A0101
hgyd,A01010A,False,全国衣着类居民消费价格指数(上年同月=100),A0101
hgyd,A01010B,False,全国居住类居民消费价格指数(上年同月=100),A0101
hgyd,A01010C,False,全国生活用品及服务类居民消费价格指数(上年同月=100),A0101
hgyd,A01010D,False,全国交通通信类居民消费价格指数(上年同月=100),A0101
hgyd,A01010E,False,全国教育文化娱乐类居民消费价格指数(上年同月=100),A0101
hgyd,A01010F,False,全国医疗保健类居民消费价格指数(上年同月=100),A0101
hgyd,A0102,True,居民消费价格分类指数(上年同期=100),A01
hgyd,A01020G,False,全国居民消费价格分类指数(上年同期=100)(2021-),A0102
hgyd,A010201,False,全国居民消费价格分类指数(上年同期=100)(2016-2020),A0102
hgyd,A010202,False,全国居民消费价格分类指数(上年同期=100)(-2015),A0102
hgyd,A010203,False,全国食品类居民消费价格指数(上年同期=100),A0102
hgyd,A01020H,False,城市居民消费价格分类指数(上年同期=100)(2021-),A0102
hgyd,A010204,False,城市居民消费价格分类指数(上年同期=100)(2016-2020),A0102
hgyd,A010205,False,城市居民消费价格分类指数(上年同期=100)(-2015),A0102
hgyd,A010206,False,食品类城市居民消费价格指数(上年同期=100),A0102
hgyd,A01020I,False,农村居民消费价格分类指数(上年同期=100)(2021-),A0102
hgyd,A010207,False,农村居民消费价格分类指数(上年同期=100)(2016-2020),A0102
hgyd,A010208,False,农村居民消费价格分类指数(上年同期=100)(-2015),A0102
hgyd,A010209,False,食品类农村居民消费价格指数(上年同期=100),A0102
hgyd,A01020A,False,全国衣着类居民消费价格指数(上年同期=100),A0102
hgyd,A01020B,False,全国居住类居民消费价格指数(上年同期=100),A0102
hgyd,A01020C,False,全国生活用品及服务类居民消费价格指数(上年同期=100),A0102
hgyd,A01020D,False,全国交通通信类居民消费价格指数(上年同期=100),A0102
hgyd,A01020E,False,全国教育文化娱乐类居民消费价格指数(上年同期=100),A0102
hgyd,A01020F,False,全国医疗保健类居民消费价格指数(上年同期=100),A0102
hgyd,A0103,True,居民消费价格分类指数(上月=100),A01
hgyd,A01030G,False,全国居民消费价格分类指数(上月=100)(2021-),A0103
hgyd,A010301,False,全国居民消费价格分类指数(上月=100)(2016-2020),A0103
hgyd,A010302,False,全国居民消费价格分类指数(上月=100)(-2015),A0103
hgyd,A010303,False,食品类居民消费价格指数(上月=100),A0103
hgyd,A01030H,False,城市居民消费价格分类指数(上月=100)(2021-),A0103
hgyd,A010304,False,城市居民消费价格分类指数(上月=100)(2016-2020),A0103
hgyd,A010305,False,城市居民消费价格分类指数(上月=100)(-2015),A0103
hgyd,A010306,False,食品类城市居民消费价格指数(上月=100),A0103
hgyd,A01030I,False,农村居民消费价格分类指数(上月=100)(2021-),A0103
hgyd,A010307,False,农村居民消费价格分类指数(上月=100)(2016-2020),A0103
hgyd,A010308,False,农村居民消费价格分类指数(上月=100)(-2015),A0103
hgyd,A010309,False,食品类农村居民消费价格指数(上月=100),A0103
hgyd,A01030A,False,全国衣着类居民消费价格指数(上月=100),A0103
hgyd,A01030B,False,全国居住类居民消费价格指数(上月=100),A0103
hgyd,A01030C,False,全国生活用品及服务类居民消费价格指数(上月=100),A0103
hgyd,A01030D,False,全国交通通信类居民消费价格指数(上月=100),A0103
hgyd,A01030E,False,全国教育文化娱乐类居民消费价格指数(上月=100),A0103
hgyd,A01030F,False,全国医疗保健类居民消费价格指数(上月=100),A0103
hgyd,A0104,True,商品零售价格分类指数(上年同月=100),A01
hgyd,A010401,False,商品零售价格指数(上年同月=100),A0104
hgyd,A010402,False,城市商品零售价格指数(上年同月=100),A0104
hgyd,A010403,False,农村商品零售价格指数(上年同月=100),A0104
hgyd,A0105,True,商品零售价格分类指数(上年同期=100),A01
hgyd,A010501,False,商品零售价格指数(上年同期=100),A0105
hgyd,A010502,False,城市商品零售价格指数(上年同期=100),A0105
hgyd,A010503,False,农村商品零售价格指数(上年同期=100),A0105
hgyd,A0106,True,商品零售价格分类指数(上月=100),A01
hgyd,A010601,False,商品零售价格指数(上月=100),A0106
hgyd,A010602,False,城市商品零售价格指数(上月=100),A0106
hgyd,A010603,False,农村商品零售价格指数(上月=100),A0106
hgyd,A0107,True,工业生产者购进价格指数,A01
hgyd,A010701,False,工业生产者购进价格指数(上年同月=100),A0107
hgyd,A010702,False,工业生产者购进价格指数(上年同期=100),A0107
hgyd,A010703,False,工业生产者购进价格指数(上月=100),A0107
hgyd,A0108,True,工业生产者出厂价格分类指数,A01
hgyd,A010801,False,工业生产者出厂价格指数(上年同月=100),A0108
hgyd,A010802,False,生产资料工业生产者出厂价格指数(上年同月=100),A0108
hgyd,A010803,False,生活资料工业生产者出厂价格指数(上年同月=100),A0108
hgyd,A010804,False,工业生产者出厂价格指数(上年同期=100),A0108
hgyd,A010805,False,生产资料工业生产者出厂价格指数(上年同期=100),A0108
hgyd,A010806,False,生活资料工业生产者出厂价格指数(上年同期=100),A0108
hgyd,A010807,False,工业生产者出厂价格指数(上月=100),A0108
hgyd,A010808,False,生产资料工业生产者出厂价格指数(上月=100),A0108
hgyd,A010809,False,生活资料工业生产者出厂价格指数(上月=100),A0108
hgyd,A01080A,False,按工业部门分工业生产者出厂价格指数(上年同月=100),A0108
hgyd,A0109,False,分行业工业生产者出厂价格指数(上年同月=100)(2007-2013),A01
hgyd,A010A,False,分行业工业生产者出厂价格指数(上年同月=100)(2014-2017),A01
hgyd,A010B,False,分行业工业生产者出厂价格指数(上年同月=100)(2018-至今),A01
hgyd,A010C,True,分行业中类工业生产者出厂价格指数(上年同月=100)(2014-2017),A01
hgyd,A010C01,False,煤炭开采和洗选业工业生产者出厂价格指数(上年同月=100),A010C
hgyd,A010C02,False,石油和天然气开采业工业生产者出厂价格指数(上年同月=100),A010C
hgyd,A010C03,False,黑色金属矿采选业工业生产者出厂价格指数(上年同月=100),A010C
hgyd,A010C04,False,有色金属矿采选业工业生产者出厂价格指数(上年同月=100),A010C
hgyd,A010C05,False,非金属矿采选业工业生产者出厂价格指数(上年同月=100),A010C
hgyd,A010C06,False,开采辅助活动工业生产者出厂价格指数(上年同月=100),A010C
hgyd,A010C07,False,农副食品加工业工业生产者出厂价格指数(上年同月=100),A010C
hgyd,A010C08,False,食品制造业工业生产者出厂价格指数(上年同月=100),A010C
hgyd,A010C09,False,酒、饮料和精制茶制造业工业生产者出厂价格指数(上年同月=100),A010C
hgyd,A010C0A,False,烟草制品业工业生产者出厂价格指数(上年同月=100),A010C
hgyd,A010C0B,False,纺织业工业生产者出厂价格指数(上年同月=100),A010C
hgyd,A010C0C,False,纺织服装、服饰业工业生产者出厂价格指数(上年同月=100),A010C
hgyd,A010C0D,False,皮革、毛皮、羽毛及其制品和制鞋业工业生产者出厂价格指数(上年同月=100),A010C
hgyd,A010C0E,False,木材加工和木、竹、藤、棕、草制品业工业生产者出厂价格指数(上年同月=100),A010C
hgyd,A010C0F,False,家具制造业工业生产者出厂价格指数(上年同月=100),A010C
hgyd,A010C0G,False,造纸和纸制品业工业生产者出厂价格指数(上年同月=100),A010C
