db,indcode,isparent,indname,parentcode
fsjd,A01,True,国民经济核算,""
fsjd,A0101,False,地区生产总值,A01
fsjd,A02,True,建筑业,""
fsjd,A0201,False,建筑业总产值,A02
fsjd,A0202,False,建筑业企业签订合同情况,A02
fsjd,A0203,False,建筑业企业房屋建筑施工面积,A02
fsjd,A0204,False,建筑业企业个数、从业人数和劳动生产率,A02
fsjd,A0205,False,建筑业企业房屋建筑竣工面积,A02
fsjd,A0206,False,建筑业企业房屋建筑竣工价值,A02
fsjd,A0207,False,建筑业企业总收入,A02
fsjd,A0208,False,建筑业企业利润,A02
fsjd,A0209,False,建筑业企业费用情况,A02
fsjd,A020A,False,建筑业企业资产负债情况,A02
fsjd,A020B,False,国有及国有控股建筑业企业建筑业总产值,A02
fsjd,A020C,False,国有及国有控股建筑业企业签订合同情况,A02
fsjd,A020D,False,国有及国有控股建筑业企业房屋建筑施工面积,A02
fsjd,A020E,False,国有及国有控股建筑业企业个数、从业人数和劳动生产率,A02
fsjd,A020F,False,国有及国有控股建筑业企业房屋建筑竣工面积,A02
fsjd,A020G,False,国有及国有控股建筑业企业房屋建筑竣工价值,A02
fsjd,A020H,False,国有及国有控股建筑业企业总收入,A02
fsjd,A020I,False,国有及国有控股建筑业企业利润,A02
fsjd,A020J,False,国有及国有控股建筑业企业费用情况,A02
fsjd,A020K,False,国有及国有控股建筑业企业资产负债情况,A02
fsjd,A03,True,人民生活,""
fsjd,A0301,False,居民人均可支配收入,A03
fsjd,A0302,False,居民人均消费支出,A03
fsjd,A04,True,农业,""
fsjd,A0401,False,农林牧渔业总产值,A04
fsjd,A05,True,价格指数,""
fsjd,A0501,False,农产品生产者价格指数,A05
fsjd,A0502,False,固定资产投资价格指数(-2018),A05
fsjd,A0503,False,固定资产投资价格指数(2019-),A05
fsjd,A06,True,国内贸易,""
fsjd,A0601,False,社会消费品零售总额(2011-),A06
